ICD10,System,Description
A00,"Bacterial infections, and other intestinal infectious diseases, and STDs",Intestinal infectious diseases
A01,"Bacterial infections, and other intestinal infectious diseases, and STDs",Intestinal infectious diseases
A02,"Bacterial infections, and other intestinal infectious diseases, and STDs",Intestinal infectious diseases
A03,"Bacterial infections, and other intestinal infectious diseases, and STDs",Intestinal infectious diseases
A04,"Bacterial infections, and other intestinal infectious diseases, and STDs",Intestinal infectious diseases
A05,"Bacterial infections, and other intestinal infectious diseases, and STDs",Intestinal infectious diseases
A06,"Bacterial infections, and other intestinal infectious diseases, and STDs",Intestinal infectious diseases
A07,"Bacterial infections, and other intestinal infectious diseases, and STDs",Intestinal infectious diseases
A08,"Bacterial infections, and other intestinal infectious diseases, and STDs",Intestinal infectious diseases
A09,"Bacterial infections, and other intestinal infectious diseases, and STDs",Intestinal infectious diseases
A15,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
A16,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
A17,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
A18,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
A19,"Bacterial infections, and other intestinal infectious diseases, and STDs",Tuberculosis
A20,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
A21,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
A22,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
A23,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
A24,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
A25,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
A26,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
A27,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
A28,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
A30,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A31,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A32,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A33,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A34,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A35,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A36,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A37,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
A38,"Bacterial infections, and other intestinal infectious diseases, and STDs",Other bacterial diseases
