,Condition,System,Relative Risk (Spring),99.0% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.0% C.I. (Autumn),Autumn Significant?
0,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0031185146707478,"{'CI': array([0.90112016, 1.10014222]), 'Gelman-Rubin': 0.9998666403877139}",No,1.0003066868607076,"{'CI': array([0.96435315, 1.03873483]), 'Gelman-Rubin': 0.9999348906562169}",No
1,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-20","bacterial infections, and other intestinal infectious diseases, and stds",1.005303764316756,"{'CI': array([0.91678392, 1.10472882]), 'Gelman-Rubin': 1.0000161626452875}",No,0.9966829851440377,"{'CI': array([0.95157701, 1.0280399 ]), 'Gelman-Rubin': 1.036311115894937}",No
2,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-20","bacterial infections, and other intestinal infectious diseases, and stds",0.9845428433406512,"{'CI': array([0.89006143, 1.06983905]), 'Gelman-Rubin': 1.0004764312624213}",No,1.0013076030366088,"{'CI': array([0.96548005, 1.03943311]), 'Gelman-Rubin': 1.0009825071602667}",No
3,Cerebrovascular diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,0.9987372310632192,"{'CI': array([0.91830727, 1.0831134 ]), 'Gelman-Rubin': 0.9998629156376104}",No,0.9991492617257842,"{'CI': array([0.96283219, 1.03172419]), 'Gelman-Rubin': 0.9998725387526722}",No
4,Cerebrovascular diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0227299284668965,"{'CI': array([0.94738881, 1.11445893]), 'Gelman-Rubin': 1.0014720628232774}",No,0.998669280903368,"{'CI': array([0.96206897, 1.03119385]), 'Gelman-Rubin': 1.0000220982965615}",No
5,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$61-",diseases of the circulatory system,0.9726291148222798,"{'CI': array([0.87411712, 1.04914248]), 'Gelman-Rubin': 1.001698747714711}",No,1.003328329621403,"{'CI': array([0.97324666, 1.04303723]), 'Gelman-Rubin': 1.0039828626853453}",No
6,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$M$61-",diseases of the circulatory system,1.0029455982996573,"{'CI': array([0.91459206, 1.09468179]), 'Gelman-Rubin': 0.9998925788778275}",No,0.999112511475151,"{'CI': array([0.96227838, 1.03389699]), 'Gelman-Rubin': 1.0026307726539745}",No
7,Ischemic heart diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,0.9960827798933717,"{'CI': array([0.9310937 , 1.06109503]), 'Gelman-Rubin': 0.9998676841880111}",No,1.0028774136028145,"{'CI': array([0.97542931, 1.03977061]), 'Gelman-Rubin': 1.0254482839192833}",No
8,Ischemic heart diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0127840181600125,"{'CI': array([0.93540433, 1.1093952 ]), 'Gelman-Rubin': 1.0000643506160334}",No,1.0002784480495377,"{'CI': array([0.9657032, 1.0338584]), 'Gelman-Rubin': 0.9998106569390561}",No
9,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.008220701965683,"{'CI': array([0.94454412, 1.07933087]), 'Gelman-Rubin': 1.0001588993447454}",No,1.0030223156613838,"{'CI': array([0.97441934, 1.04004511]), 'Gelman-Rubin': 1.0431253115402848}",No
10,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0239653765936574,"{'CI': array([0.95094185, 1.11244216]), 'Gelman-Rubin': 1.0019142945594859}",No,0.9981480142079169,"{'CI': array([0.96007272, 1.02809271]), 'Gelman-Rubin': 1.0141917230853916}",No
11,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.036290455257385,"{'CI': array([0.96007939, 1.12994342]), 'Gelman-Rubin': 1.0065770041786324}",No,1.0019101232604368,"{'CI': array([0.97170746, 1.04096269]), 'Gelman-Rubin': 1.0406407184971949}",No
12,Diseases of appendix|diseases of the digestive system$F$0-20,diseases of the digestive system,0.9733123828231622,"{'CI': array([0.86712921, 1.06368661]), 'Gelman-Rubin': 1.001045975086509}",No,0.9998031741433221,"{'CI': array([0.95849558, 1.03479548]), 'Gelman-Rubin': 1.0023403148034704}",No
13,Diseases of appendix|diseases of the digestive system$F$21-40,diseases of the digestive system,0.9942224323921072,"{'CI': array([0.89007391, 1.08864081]), 'Gelman-Rubin': 1.0000457252225194}",No,1.0010366577998289,"{'CI': array([0.97003557, 1.04250019]), 'Gelman-Rubin': 1.0159730695325713}",No
14,Diseases of appendix|diseases of the digestive system$M$0-20,diseases of the digestive system,1.0005308730615217,"{'CI': array([0.90908832, 1.09901747]), 'Gelman-Rubin': 0.9997559684565438}",No,0.9998500305793485,"{'CI': array([0.962841  , 1.03552603]), 'Gelman-Rubin': 1.0025716661340887}",No
15,Diseases of appendix|diseases of the digestive system$M$21-40,diseases of the digestive system,0.9626006070595448,"{'CI': array([0.84890141, 1.04880536]), 'Gelman-Rubin': 1.0040643457383511}",No,1.0004844800836536,"{'CI': array([0.96600158, 1.03596124]), 'Gelman-Rubin': 1.000235334132058}",No
16,"Disorders of gallbladder, biliary tract and pancreas|diseases of the digestive system$F$61-",diseases of the digestive system,0.9654735778179617,"{'CI': array([0.87124491, 1.0487162 ]), 'Gelman-Rubin': 1.0027088111207612}",No,0.9993215978946809,"{'CI': array([0.95872437, 1.03029247]), 'Gelman-Rubin': 1.0251179142178393}",No
17,"Disorders of gallbladder, biliary tract and pancreas|diseases of the digestive system$M$61-",diseases of the digestive system,0.9789954680220826,"{'CI': array([0.87189246, 1.06139405]), 'Gelman-Rubin': 1.000664223195348}",No,0.998900156831985,"{'CI': array([0.95812615, 1.03646119]), 'Gelman-Rubin': 1.000445148313142}",No
18,Other diseases of intestines|diseases of the digestive system$F$61-,diseases of the digestive system,1.0143477264478347,"{'CI': array([0.92688126, 1.11121404]), 'Gelman-Rubin': 1.0006464351657036}",No,0.9967449064290177,"{'CI': array([0.95754495, 1.0288863 ]), 'Gelman-Rubin': 1.003344119669627}",No
19,Other diseases of intestines|diseases of the digestive system$M$61-,diseases of the digestive system,0.9979691012881396,"{'CI': array([0.91154481, 1.08267797]), 'Gelman-Rubin': 0.9999791047442017}",No,1.0004679672781551,"{'CI': array([0.96459589, 1.03702858]), 'Gelman-Rubin': 1.0044199440850021}",No
20,Other diseases of the digestive system|diseases of the digestive system$F$61-,diseases of the digestive system,0.9954375426523744,"{'CI': array([0.90506846, 1.0814142 ]), 'Gelman-Rubin': 0.9999331976129343}",No,0.996844256353112,"{'CI': array([0.95413733, 1.02762253]), 'Gelman-Rubin': 1.0098713930382692}",No
21,Other diseases of the digestive system|diseases of the digestive system$M$61-,diseases of the digestive system,0.9853595994616489,"{'CI': array([0.88355037, 1.06934696]), 'Gelman-Rubin': 1.0010102512129346}",No,1.0002119013370836,"{'CI': array([0.96749712, 1.04139394]), 'Gelman-Rubin': 1.014171459211837}",No
22,Diseases of middle ear and mastoid|diseases of the ear and mastoid process$M$0-20,diseases of the ear and mastoid process,0.979948293391777,"{'CI': array([0.87333325, 1.06782466]), 'Gelman-Rubin': 1.001519391482649}",No,0.9978856152343191,"{'CI': array([0.95548333, 1.03408829]), 'Gelman-Rubin': 1.0205839806945243}",No
23,"Diseases of male genital organs|diseases of the genitourinary system: pelvis, genitals and breasts$M$61-","diseases of the genitourinary system: pelvis, genitals and breasts",0.9876498465133122,"{'CI': array([0.9111099 , 1.06004928]), 'Gelman-Rubin': 1.0005372348710166}",No,1.001178021283921,"{'CI': array([0.96913967, 1.03436147]), 'Gelman-Rubin': 1.002547959957439}",No
24,"Inflammatory diseases of female pelvic organs|diseases of the genitourinary system: pelvis, genitals and breasts$F$21-40","diseases of the genitourinary system: pelvis, genitals and breasts",0.9820617207097578,"{'CI': array([0.89690005, 1.06834025]), 'Gelman-Rubin': 1.0003818683294519}",No,0.9952899561009776,"{'CI': array([0.95040454, 1.02668029]), 'Gelman-Rubin': 1.010895201981513}",No
25,"Noninflammatory disorders of female genital tract|diseases of the genitourinary system: pelvis, genitals and breasts$F$21-40","diseases of the genitourinary system: pelvis, genitals and breasts",0.9775952269462141,"{'CI': array([0.89559287, 1.05223434]), 'Gelman-Rubin': 1.0024864391702968}",No,0.998336167172187,"{'CI': array([0.96001293, 1.02821372]), 'Gelman-Rubin': 1.01782793086927}",No
26,Other diseases of urinary system|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,0.9809817771606093,"{'CI': array([0.89480401, 1.05882806]), 'Gelman-Rubin': 1.0008922583425852}",No,0.9945382574787238,"{'CI': array([0.95069773, 1.02357459]), 'Gelman-Rubin': 1.0274163792524378}",No
27,Other diseases of urinary system|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,1.0113361022592826,"{'CI': array([0.92847884, 1.11345122]), 'Gelman-Rubin': 1.0001932722227966}",No,0.9984385407847014,"{'CI': array([0.95658039, 1.03086649]), 'Gelman-Rubin': 1.0103649323101986}",No
28,Other disorders of kidney and ureter|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,1.0115469241990729,"{'CI': array([0.92904536, 1.10582053]), 'Gelman-Rubin': 1.0001741938950814}",No,1.0008973593907662,"{'CI': array([0.96567317, 1.04211381]), 'Gelman-Rubin': 1.0088421769858575}",No
29,Inflammatory polyarthropathies|diseases of the musculoskeletal system and connective tissue$F$61-,diseases of the musculoskeletal system and connective tissue,0.9726996930366677,"{'CI': array([0.8775125 , 1.05112472]), 'Gelman-Rubin': 1.0018286430308176}",No,1.0010256437521747,"{'CI': array([0.96599769, 1.0369113 ]), 'Gelman-Rubin': 1.0001440028870774}",No
30,Episodic and paroxysmal disorders|diseases of the nervous system$F$61-,diseases of the nervous system,1.0005803344234254,"{'CI': array([0.9067679 , 1.11086918]), 'Gelman-Rubin': 0.999980942330941}",No,0.9997858320706685,"{'CI': array([0.96569826, 1.03922399]), 'Gelman-Rubin': 1.0217801706739458}",No
31,Acute upper respiratory infections|diseases of the respiratory system$F$0-20,diseases of the respiratory system,1.016359911467583,"{'CI': array([0.92144496, 1.11342545]), 'Gelman-Rubin': 1.0008872577523296}",No,0.999433374364935,"{'CI': array([0.96143481, 1.03541443]), 'Gelman-Rubin': 1.0194345659013484}",No
32,Acute upper respiratory infections|diseases of the respiratory system$M$0-20,diseases of the respiratory system,1.0097010338469403,"{'CI': array([0.92484757, 1.10272883]), 'Gelman-Rubin': 0.9999824089080993}",No,0.9964606708796692,"{'CI': array([0.95489731, 1.02966703]), 'Gelman-Rubin': 1.0183293382075067}",No
