,Condition,System,Relative Risk (Spring),99.0% C.I. (Spring),False Coverage Rate Corrected 99.0% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.0% C.I. (Autumn),False Coverage Rate Corrected 99.0% C.I. (Autumn),Autumn Significant?
0,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0416613581347942,"{'CI': array([0.80207819, 1.35280874])}","{'CI': array([0.80207819, 1.35280874])}",No,1.01396449704142,"{'CI': array([0.78518757, 1.30939924])}","{'CI': array([0.78518757, 1.30939924])}",No
1,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-20","bacterial infections, and other intestinal infectious diseases, and stds",1.0356340364457723,"{'CI': array([0.85201927, 1.25881878])}","{'CI': array([0.85201927, 1.25881878])}",No,0.8090371167294244,"{'CI': array([0.64742644, 1.01098907])}","{'CI': array([0.64742644, 1.01098907])}",No
2,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-20","bacterial infections, and other intestinal infectious diseases, and stds",0.9380992615995003,"{'CI': array([0.78490739, 1.12118988])}","{'CI': array([0.78490739, 1.12118988])}",No,1.0493096646942799,"{'CI': array([0.85684697, 1.28500281])}","{'CI': array([0.85684697, 1.28500281])}",No
3,Cerebrovascular diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0004649524480451,"{'CI': array([0.88304353, 1.13350031])}","{'CI': array([0.88304353, 1.13350031])}",No,0.9899792991005184,"{'CI': array([0.89430044, 1.09589459])}","{'CI': array([0.89430044, 1.09589459])}",No
4,Cerebrovascular diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0796441798483956,"{'CI': array([0.94337113, 1.23560231])}","{'CI': array([0.94337113, 1.23560231])}",No,0.9824022131714439,"{'CI': array([0.87870508, 1.09833678])}","{'CI': array([0.87870508, 1.09833678])}",No
5,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$61-",diseases of the circulatory system,0.9041009947508939,"{'CI': array([0.77246749, 1.05816571])}","{'CI': array([0.77246749, 1.05816571])}",No,1.0604629647476052,"{'CI': array([0.93605125, 1.20141039])}","{'CI': array([0.93605125, 1.20141039])}",No
6,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$M$61-",diseases of the circulatory system,1.0153150652337708,"{'CI': array([0.86400492, 1.19312363])}","{'CI': array([0.86400492, 1.19312363])}",No,0.9825546717058415,"{'CI': array([0.85938538, 1.1233769 ])}","{'CI': array([0.85938538, 1.1233769 ])}",No
7,Ischemic heart diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,0.9964362956578298,"{'CI': array([0.91338963, 1.08703368])}","{'CI': array([0.91338963, 1.08703368])}",No,1.0272277735601287,"{'CI': array([0.95567332, 1.10413974])}","{'CI': array([0.95567332, 1.10413974])}",No
8,Ischemic heart diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0543773213067535,"{'CI': array([0.90224318, 1.23216396])}","{'CI': array([0.90224318, 1.23216396])}",No,1.0064985293320654,"{'CI': array([0.88524149, 1.1443649 ])}","{'CI': array([0.88524149, 1.1443649 ])}",No
9,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0197686818144531,"{'CI': array([0.93849926, 1.10807563])}","{'CI': array([0.93849926, 1.10807563])}",No,1.0291165967207987,"{'CI': array([0.9603862 , 1.10276571])}","{'CI': array([0.9603862 , 1.10276571])}",No
10,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0710593682523428,"{'CI': array([0.9510275, 1.2062408])}","{'CI': array([0.9510275, 1.2062408])}",No,0.9719473923771651,"{'CI': array([0.87832663, 1.07554719])}","{'CI': array([0.87832663, 1.07554719])}",No
11,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.1040073698756332,"{'CI': array([0.98226904, 1.24083345])}","{'CI': array([0.98226904, 1.24083345])}",No,1.0373486218842933,"{'CI': array([0.9383632 , 1.14677575])}","{'CI': array([0.9383632 , 1.14677575])}",No
12,Diseases of appendix|diseases of the digestive system$F$0-20,diseases of the digestive system,0.820526544676011,"{'CI': array([0.63791727, 1.05540929])}","{'CI': array([0.63791727, 1.05540929])}",No,0.9898527004909984,"{'CI': array([0.80547093, 1.21644163])}","{'CI': array([0.80547093, 1.21644163])}",No
13,Diseases of appendix|diseases of the digestive system$F$21-40,diseases of the digestive system,0.9635900612567967,"{'CI': array([0.72920464, 1.27331309])}","{'CI': array([0.72920464, 1.27331309])}",No,1.0965901834745222,"{'CI': array([0.88748214, 1.35496814])}","{'CI': array([0.88748214, 1.35496814])}",No
14,Diseases of appendix|diseases of the digestive system$M$0-20,diseases of the digestive system,1.0146354854760393,"{'CI': array([0.80045051, 1.2861322 ])}","{'CI': array([0.80045051, 1.2861322 ])}",No,0.9794946224554352,"{'CI': array([0.79767446, 1.20275847])}","{'CI': array([0.79767446, 1.20275847])}",No
15,Diseases of appendix|diseases of the digestive system$M$21-40,diseases of the digestive system,0.7676616841130706,"{'CI': array([0.60167193, 0.97944482])}","{'CI': array([0.53293275, 1.1057764 ])}",No,1.012698623761718,"{'CI': array([0.83581804, 1.22701169])}","{'CI': array([0.83581804, 1.22701169])}",No
16,"Disorders of gallbladder, biliary tract and pancreas|diseases of the digestive system$F$61-",diseases of the digestive system,0.8782066352283885,"{'CI': array([0.74963531, 1.02882947])}","{'CI': array([0.74963531, 1.02882947])}",No,0.9733887487282896,"{'CI': array([0.85907747, 1.10291062])}","{'CI': array([0.85907747, 1.10291062])}",No
17,"Disorders of gallbladder, biliary tract and pancreas|diseases of the digestive system$M$61-",diseases of the digestive system,0.8946382045070164,"{'CI': array([0.73095846, 1.0949699 ])}","{'CI': array([0.73095846, 1.0949699 ])}",No,0.9761483560056121,"{'CI': array([0.83075333, 1.14698982])}","{'CI': array([0.83075333, 1.14698982])}",No
18,Other diseases of intestines|diseases of the digestive system$F$61-,diseases of the digestive system,1.0656776172690798,"{'CI': array([0.90267072, 1.25812077])}","{'CI': array([0.90267072, 1.25812077])}",No,0.9467455621301775,"{'CI': array([0.830291  , 1.07953375])}","{'CI': array([0.830291  , 1.07953375])}",No
19,Other diseases of intestines|diseases of the digestive system$M$61-,diseases of the digestive system,0.9956436740914059,"{'CI': array([0.84841995, 1.16841468])}","{'CI': array([0.84841995, 1.16841468])}",No,1.0181720851535687,"{'CI': array([0.89767194, 1.15484773])}","{'CI': array([0.89767194, 1.15484773])}",No
20,Other diseases of the digestive system|diseases of the digestive system$F$61-,diseases of the digestive system,0.9848833800929607,"{'CI': array([0.81672424, 1.18766558])}","{'CI': array([0.81672424, 1.18766558])}",No,0.9106633011958456,"{'CI': array([0.77830692, 1.06552778])}","{'CI': array([0.77830692, 1.06552778])}",No
21,Other diseases of the digestive system|diseases of the digestive system$M$61-,diseases of the digestive system,0.9276528909394325,"{'CI': array([0.75436875, 1.14074169])}","{'CI': array([0.75436875, 1.14074169])}",No,1.0336279737989138,"{'CI': array([0.87793611, 1.21693   ])}","{'CI': array([0.87793611, 1.21693   ])}",No
22,Diseases of middle ear and mastoid|diseases of the ear and mastoid process$M$0-20,diseases of the ear and mastoid process,0.8631258193671827,"{'CI': array([0.6691917 , 1.11326273])}","{'CI': array([0.6691917 , 1.11326273])}",No,0.8713268478587904,"{'CI': array([0.69258731, 1.09619461])}","{'CI': array([0.69258731, 1.09619461])}",No
23,"Diseases of male genital organs|diseases of the genitourinary system: pelvis, genitals and breasts$M$61-","diseases of the genitourinary system: pelvis, genitals and breasts",0.9722822396444225,"{'CI': array([0.8673034 , 1.08996777])}","{'CI': array([0.8673034 , 1.08996777])}",No,1.0153846153846153,"{'CI': array([0.92948157, 1.10922685])}","{'CI': array([0.92948157, 1.10922685])}",No
24,"Inflammatory diseases of female pelvic organs|diseases of the genitourinary system: pelvis, genitals and breasts$F$21-40","diseases of the genitourinary system: pelvis, genitals and breasts",0.9382887118325333,"{'CI': array([0.80238999, 1.09720424])}","{'CI': array([0.80238999, 1.09720424])}",No,0.921812722771408,"{'CI': array([0.81364077, 1.04436593])}","{'CI': array([0.81364077, 1.04436593])}",No
25,"Noninflammatory disorders of female genital tract|diseases of the genitourinary system: pelvis, genitals and breasts$F$21-40","diseases of the genitourinary system: pelvis, genitals and breasts",0.9392400034055113,"{'CI': array([0.82641221, 1.06747187])}","{'CI': array([0.82641221, 1.06747187])}",No,0.9687348298980569,"{'CI': array([0.87120346, 1.07718485])}","{'CI': array([0.87120346, 1.07718485])}",No
26,Other diseases of urinary system|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,0.9441117764471058,"{'CI': array([0.81819264, 1.08940976])}","{'CI': array([0.81819264, 1.08940976])}",No,0.9140697333277451,"{'CI': array([0.81343612, 1.02715315])}","{'CI': array([0.81343612, 1.02715315])}",No
