,Condition,System,Relative Risk (Spring),99.0% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.0% C.I. (Autumn),Autumn Significant?
0,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.999789473180018,"{'CI': array([0.97464127, 1.02637976]), 'Gelman-Rubin': 0.9998460057900986}",No,1.004215368725863,"{'CI': array([0.95422674, 1.05068054]), 'Gelman-Rubin': 0.99983905455847}",No
1,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0006188111234162,"{'CI': array([0.974153  , 1.02554497]), 'Gelman-Rubin': 1.002206930654077}",No,0.9958190323627691,"{'CI': array([0.95013199, 1.0445798 ]), 'Gelman-Rubin': 0.9998825820754587}",No
2,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.999859859025954,"{'CI': array([0.97174019, 1.02523562]), 'Gelman-Rubin': 1.000269083028674}",No,1.0050886973122983,"{'CI': array([0.95988467, 1.05963122]), 'Gelman-Rubin': 0.9999033829072224}",No
3,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-20","bacterial infections, and other intestinal infectious diseases, and stds",1.0010740724432168,"{'CI': array([0.97575758, 1.0231275 ]), 'Gelman-Rubin': 1.0069168677158329}",No,1.0068639976283917,"{'CI': array([0.96192721, 1.05722843]), 'Gelman-Rubin': 0.9998443595581069}",No
4,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9995635259444555,"{'CI': array([0.97178449, 1.0235318 ]), 'Gelman-Rubin': 1.0000524362363654}",No,1.0050599362167625,"{'CI': array([0.95851167, 1.05569435]), 'Gelman-Rubin': 0.9998345447391327}",No
5,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9997328197992644,"{'CI': array([0.9763547, 1.0255786]), 'Gelman-Rubin': 0.9998510514136882}",No,0.9914570109387718,"{'CI': array([0.94424451, 1.03863188]), 'Gelman-Rubin': 0.99992802910076}",No
6,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0023564611402755,"{'CI': array([0.97975748, 1.0281239 ]), 'Gelman-Rubin': 1.0290277779930146}",No,0.9925133816560253,"{'CI': array([0.94872215, 1.03339237]), 'Gelman-Rubin': 0.9998670218704667}",No
7,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-20","bacterial infections, and other intestinal infectious diseases, and stds",1.0042400743574562,"{'CI': array([0.98337353, 1.03369156]), 'Gelman-Rubin': 1.0669476515964167}",No,0.9913493974556382,"{'CI': array([0.94254479, 1.03329018]), 'Gelman-Rubin': 1.0000049242473543}",No
8,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.0004900731727067,"{'CI': array([0.97603901, 1.02493074]), 'Gelman-Rubin': 1.004022163405279}",No,1.0010623918041623,"{'CI': array([0.95346411, 1.04991754]), 'Gelman-Rubin': 0.9997935503585457}",No
9,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0003155185786639,"{'CI': array([0.97681159, 1.02559025]), 'Gelman-Rubin': 1.0012379063024086}",No,1.0032637619053553,"{'CI': array([0.95835409, 1.05141496]), 'Gelman-Rubin': 0.9999014226070506}",No
