,Condition,System,Relative Risk (Spring),99.0% C.I. (Spring),False Coverage Rate Corrected 99.0% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.0% C.I. (Autumn),False Coverage Rate Corrected 99.0% C.I. (Autumn),Autumn Significant?
0,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.997389835713189,"{'CI': array([0.85343325, 1.16562892])}","{'CI': array([0.85343325, 1.16562892])}",No,1.0266090681380913,"{'CI': array([0.89132581, 1.18242529])}","{'CI': array([0.89132581, 1.18242529])}",No
1,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0590818363273453,"{'CI': array([0.8998158 , 1.24653773])}","{'CI': array([0.8998158 , 1.24653773])}",No,0.9414010307310555,"{'CI': array([0.80672306, 1.09856275])}","{'CI': array([0.80672306, 1.09856275])}",No
2,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9720783152795531,"{'CI': array([0.76608184, 1.23346645])}","{'CI': array([0.76608184, 1.23346645])}",No,1.113590066931807,"{'CI': array([0.88951942, 1.39410429])}","{'CI': array([0.88951942, 1.39410429])}",No
3,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-20","bacterial infections, and other intestinal infectious diseases, and stds",1.020278392558223,"{'CI': array([0.94888869, 1.09703911])}","{'CI': array([0.94888869, 1.09703911])}",No,1.0303327053785571,"{'CI': array([0.91664757, 1.15811738])}","{'CI': array([0.91664757, 1.15811738])}",No
4,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9922652072560021,"{'CI': array([0.85852924, 1.14683367])}","{'CI': array([0.85852924, 1.14683367])}",No,1.031666312457355,"{'CI': array([0.90079964, 1.18154507])}","{'CI': array([0.90079964, 1.18154507])}",No
5,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9955555555555555,"{'CI': array([0.83843316, 1.1821227 ])}","{'CI': array([0.83843316, 1.1821227 ])}",No,0.8953477500100177,"{'CI': array([0.76643709, 1.0459405 ])}","{'CI': array([0.76643709, 1.0459405 ])}",No
6,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.046902966178682,"{'CI': array([0.96744827, 1.13288312])}","{'CI': array([0.96744827, 1.13288312])}",No,0.9471803930772937,"{'CI': array([0.86322849, 1.03929691])}","{'CI': array([0.86322849, 1.03929691])}",No
7,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-20","bacterial infections, and other intestinal infectious diseases, and stds",1.0647151489288291,"{'CI': array([0.99327158, 1.14129747])}","{'CI': array([0.99327158, 1.14129747])}",No,0.9269664191761203,"{'CI': array([0.82589277, 1.04040957])}","{'CI': array([0.82589277, 1.04040957])}",No
8,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.054451680580445,"{'CI': array([0.89200115, 1.24648757])}","{'CI': array([0.89200115, 1.24648757])}",No,0.9965556831228473,"{'CI': array([0.85145142, 1.1663886 ])}","{'CI': array([0.85145142, 1.1663886 ])}",No
9,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0340697914515795,"{'CI': array([0.86497757, 1.23621742])}","{'CI': array([0.86497757, 1.23621742])}",No,1.0218062660600202,"{'CI': array([0.86963862, 1.2005999 ])}","{'CI': array([0.86963862, 1.2005999 ])}",No
10,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0296637919362013,"{'CI': array([0.93646084, 1.13214293])}","{'CI': array([0.93646084, 1.13214293])}",No,0.9161267159593962,"{'CI': array([0.82078385, 1.02254469])}","{'CI': array([0.82078385, 1.02254469])}",No
11,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-20","bacterial infections, and other intestinal infectious diseases, and stds",0.9173547178770213,"{'CI': array([0.73976031, 1.13758425])}","{'CI': array([0.73976031, 1.13758425])}",No,0.981980962181631,"{'CI': array([0.81456444, 1.18380641])}","{'CI': array([0.81456444, 1.18380641])}",No
12,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9254050039455971,"{'CI': array([0.7335905 , 1.16737393])}","{'CI': array([0.7335905 , 1.16737393])}",No,0.927810650887574,"{'CI': array([0.74810431, 1.15068526])}","{'CI': array([0.74810431, 1.15068526])}",No
13,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0654552963039439,"{'CI': array([0.91413676, 1.24182184])}","{'CI': array([0.91413676, 1.24182184])}",No,0.9568405436283955,"{'CI': array([0.83164881, 1.10087794])}","{'CI': array([0.83164881, 1.10087794])}",No
14,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.995528537699328,"{'CI': array([0.92550102, 1.07085465])}","{'CI': array([0.92550102, 1.07085465])}",No,1.0043311169401574,"{'CI': array([0.94210541, 1.07066681])}","{'CI': array([0.94210541, 1.07066681])}",No
15,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-20","bacterial infections, and other intestinal infectious diseases, and stds",0.9739021019873947,"{'CI': array([0.801634  , 1.18318997])}","{'CI': array([0.801634  , 1.18318997])}",No,0.9303785747669733,"{'CI': array([0.7800382 , 1.10969474])}","{'CI': array([0.7800382 , 1.10969474])}",No
16,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.132996531986128,"{'CI': array([0.93557847, 1.37207212])}","{'CI': array([0.93557847, 1.37207212])}",No,0.9893112426035503,"{'CI': array([0.82728335, 1.18307317])}","{'CI': array([0.82728335, 1.18307317])}",No
17,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9752909177286229,"{'CI': array([0.85405195, 1.11374065])}","{'CI': array([0.85405195, 1.11374065])}",No,1.0089621985010986,"{'CI': array([0.89604465, 1.13610936])}","{'CI': array([0.89604465, 1.13610936])}",No
18,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0629307422890069,"{'CI': array([0.99217919, 1.13872754])}","{'CI': array([0.99217919, 1.13872754])}",No,0.9969192949834146,"{'CI': array([0.93737472, 1.06024631])}","{'CI': array([0.93737472, 1.06024631])}",No
19,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$F$0-20,certain conditions originating in the perinatal period,1.0419161676646704,"{'CI': array([0.90714448, 1.19671047])}","{'CI': array([0.90714448, 1.19671047])}",No,0.9069120009579212,"{'CI': array([0.79332802, 1.03675826])}","{'CI': array([0.79332802, 1.03675826])}",No
20,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$M$0-20,certain conditions originating in the perinatal period,0.9558939264328485,"{'CI': array([0.83993198, 1.08786572])}","{'CI': array([0.83993198, 1.08786572])}",No,0.9777631362213803,"{'CI': array([0.86717789, 1.10245056])}","{'CI': array([0.86717789, 1.10245056])}",No
21,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery|certain conditions originating in the perinatal period$M$0-20",certain conditions originating in the perinatal period,0.9960277464872235,"{'CI': array([0.79788854, 1.24337075])}","{'CI': array([0.79788854, 1.24337075])}",No,0.8571029213064343,"{'CI': array([0.69595033, 1.05557162])}","{'CI': array([0.69595033, 1.05557162])}",No
22,Haemorrhagic and haematological disorders of fetus and newborn|certain conditions originating in the perinatal period$F$0-20,certain conditions originating in the perinatal period,1.0607552802704048,"{'CI': array([0.89902561, 1.25157921])}","{'CI': array([0.89902561, 1.25157921])}",No,1.0058394047072912,"{'CI': array([0.85605758, 1.18182811])}","{'CI': array([0.85605758, 1.18182811])}",No
