,Condition,System,Relative Risk (Spring),99.0% C.I. (Spring),False Coverage Rate Corrected 99.0% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.0% C.I. (Autumn),False Coverage Rate Corrected 99.0% C.I. (Autumn),Autumn Significant?
0,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-20","abnormal clinical and laboratory findings, not elsewhere classified",0.874055168351821,"{'CI': array([0.64886612, 1.1773961 ])}","{'CI': array([0.64886612, 1.1773961 ])}",No,1.0569271577229136,"{'CI': array([0.83616888, 1.33596818])}","{'CI': array([0.83616888, 1.33596818])}",No
1,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0411976047904192,"{'CI': array([0.83585676, 1.29698352])}","{'CI': array([0.83585676, 1.29698352])}",No,1.036565012896374,"{'CI': array([0.84575241, 1.2704274 ])}","{'CI': array([0.84575241, 1.2704274 ])}",No
2,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9423814600416471,"{'CI': array([0.8265195 , 1.07448502])}","{'CI': array([0.8265195 , 1.07448502])}",No,0.9685411434166276,"{'CI': array([0.87446317, 1.07274037])}","{'CI': array([0.87446317, 1.07274037])}",No
3,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0113390240795006,"{'CI': array([0.86016446, 1.18908264])}","{'CI': array([0.86016446, 1.18908264])}",No,1.051296241113618,"{'CI': array([0.92175317, 1.19904528])}","{'CI': array([0.92175317, 1.19904528])}",No
4,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-20","bacterial infections, and other intestinal infectious diseases, and stds",1.0679207309175325,"{'CI': array([0.89391994, 1.27579063])}","{'CI': array([0.89391994, 1.27579063])}",No,0.8206187204638418,"{'CI': array([0.67503002, 0.99760762])}","{'CI': array([0.61850451, 1.08877959])}",No
5,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.1404088374974188,"{'CI': array([0.9354522 , 1.39027127])}","{'CI': array([0.9354522 , 1.39027127])}",No,1.0280685783644363,"{'CI': array([0.87025158, 1.21450513])}","{'CI': array([0.87025158, 1.21450513])}",No
6,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-20","bacterial infections, and other intestinal infectious diseases, and stds",0.9309914874620938,"{'CI': array([0.79043002, 1.09654887])}","{'CI': array([0.79043002, 1.09654887])}",No,1.0895774122909192,"{'CI': array([0.91747865, 1.2939581 ])}","{'CI': array([0.91747865, 1.2939581 ])}",No
7,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0384392505311957,"{'CI': array([0.81846796, 1.31752999])}","{'CI': array([0.81846796, 1.31752999])}",No,0.9816789545296332,"{'CI': array([0.81241833, 1.18620363])}","{'CI': array([0.81241833, 1.18620363])}",No
8,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0532257224681072,"{'CI': array([0.87740772, 1.26427474])}","{'CI': array([0.87740772, 1.26427474])}",No,0.9617464624325549,"{'CI': array([0.83085615, 1.11325679])}","{'CI': array([0.83085615, 1.11325679])}",No
9,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9067512943165892,"{'CI': array([0.74054362, 1.11026263])}","{'CI': array([0.74054362, 1.11026263])}",No,1.0294551130794642,"{'CI': array([0.88197023, 1.20160272])}","{'CI': array([0.88197023, 1.20160272])}",No
