,Condition,System,Relative Risk (Spring),99.0% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.0% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9961103289018968,"{'CI': array([0.94563491, 1.04865977]), 'Gelman-Rubin': 1.0000728284361868}",No,0.9999628476915244,"{'CI': array([0.94422031, 1.05958263]), 'Gelman-Rubin': 0.9997922795620852}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9955168644288486,"{'CI': array([0.94716103, 1.04856823]), 'Gelman-Rubin': 0.9999394943624114}",No,1.002494454859366,"{'CI': array([0.94354211, 1.06048542]), 'Gelman-Rubin': 0.999847696965832}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0024086808624326,"{'CI': array([0.95076631, 1.05606945]), 'Gelman-Rubin': 0.99988358761019}",No,0.9966214836392675,"{'CI': array([0.939499  , 1.06179481]), 'Gelman-Rubin': 1.00062160701939}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0008967926122765,"{'CI': array([0.94951047, 1.05160084]), 'Gelman-Rubin': 0.9999044560634356}",No,1.0070563598847373,"{'CI': array([0.9524157 , 1.06223772]), 'Gelman-Rubin': 0.9998537969502354}",No
4,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0041143911918737,"{'CI': array([0.94974044, 1.05490642]), 'Gelman-Rubin': 1.000395603891955}",No,0.9936511794332042,"{'CI': array([0.93335157, 1.05240314]), 'Gelman-Rubin': 0.9999189102789515}",No
5,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9962504186280037,"{'CI': array([0.94218252, 1.04947678]), 'Gelman-Rubin': 0.9999850382805147}",No,1.0025945411385289,"{'CI': array([0.94277613, 1.067312  ]), 'Gelman-Rubin': 0.9997771426387697}",No
6,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9994706047012021,"{'CI': array([0.95083778, 1.05096684]), 'Gelman-Rubin': 0.9998123853586997}",No,1.0085288482094277,"{'CI': array([0.95063128, 1.06515759]), 'Gelman-Rubin': 0.9998552585247522}",No
7,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9831805829990816,"{'CI': array([0.93117637, 1.03596584]), 'Gelman-Rubin': 0.9999085932932112}",No,1.0048259352299513,"{'CI': array([0.94739854, 1.066458  ]), 'Gelman-Rubin': 0.9998616220062964}",No
8,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9995160321656581,"{'CI': array([0.94840057, 1.05365911]), 'Gelman-Rubin': 0.9998187829702495}",No,1.0092339277799254,"{'CI': array([0.95022582, 1.06907714]), 'Gelman-Rubin': 1.0000405183952619}",No
9,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$0-20","bacterial infections, and other intestinal infectious diseases, and stds",1.0000472824203026,"{'CI': array([0.94790152, 1.05326714]), 'Gelman-Rubin': 0.9999335732712255}",No,1.0092546158213036,"{'CI': array([0.95003293, 1.07213629]), 'Gelman-Rubin': 0.9998893531397907}",No
10,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9981373975682803,"{'CI': array([0.94988656, 1.049245  ]), 'Gelman-Rubin': 0.9997972760387588}",No,1.005392270601042,"{'CI': array([0.95205624, 1.06926769]), 'Gelman-Rubin': 0.9998499118562576}",No
11,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9995249674862681,"{'CI': array([0.94792786, 1.0494413 ]), 'Gelman-Rubin': 0.9998485781578301}",No,1.0092886162207977,"{'CI': array([0.95285244, 1.07159741]), 'Gelman-Rubin': 0.9999476460505835}",No
12,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9978661899981133,"{'CI': array([0.94705451, 1.05246043]), 'Gelman-Rubin': 0.9997586971244827}",No,0.9966470747131871,"{'CI': array([0.93526594, 1.05578848]), 'Gelman-Rubin': 1.0000916760439342}",No
13,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-20","bacterial infections, and other intestinal infectious diseases, and stds",1.0114103437018953,"{'CI': array([0.97004995, 1.05686301]), 'Gelman-Rubin': 0.9999466644538926}",No,1.0133821921953936,"{'CI': array([0.95717274, 1.06928831]), 'Gelman-Rubin': 1.0001726640836013}",No
