,Condition,System,Relative Risk (Spring),99.0% C.I. (Spring),False Coverage Rate Corrected 99.0% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.0% C.I. (Autumn),False Coverage Rate Corrected 99.0% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9636801164027086,"{'CI': array([0.82593717, 1.12439469])}","{'CI': array([0.82593717, 1.12439469])}",No,0.9850784666838178,"{'CI': array([0.86080916, 1.1272877 ])}","{'CI': array([0.86080916, 1.1272877 ])}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9523353293413173,"{'CI': array([0.80714274, 1.12364584])}","{'CI': array([0.80714274, 1.12364584])}",No,0.997116663757246,"{'CI': array([0.86484657, 1.14961622])}","{'CI': array([0.86484657, 1.14961622])}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0359536246655625,"{'CI': array([0.8455854, 1.2691798])}","{'CI': array([0.8455854, 1.2691798])}",No,0.9593478325079503,"{'CI': array([0.79789329, 1.15347287])}","{'CI': array([0.79789329, 1.15347287])}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0012073612449235,"{'CI': array([0.8914313 , 1.12450189])}","{'CI': array([0.8914313 , 1.12450189])}",No,1.0081132828328132,"{'CI': array([0.91064118, 1.11601848])}","{'CI': array([0.91064118, 1.11601848])}",No
4,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0474208091231045,"{'CI': array([0.87654662, 1.25160525])}","{'CI': array([0.87654662, 1.25160525])}",No,0.9407808112695719,"{'CI': array([0.79645024, 1.11126658])}","{'CI': array([0.79645024, 1.11126658])}",No
5,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9408521087321758,"{'CI': array([0.753128  , 1.17536818])}","{'CI': array([0.753128  , 1.17536818])}",No,1.0109317019356132,"{'CI': array([0.84207549, 1.21364761])}","{'CI': array([0.84207549, 1.21364761])}",No
6,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9930492712324547,"{'CI': array([0.87487146, 1.12719057])}","{'CI': array([0.87487146, 1.12719057])}",No,1.0194387792616901,"{'CI': array([0.91023131, 1.14174871])}","{'CI': array([0.91023131, 1.14174871])}",No
7,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.823479311333791,"{'CI': array([0.68682515, 0.98732287])}","{'CI': array([0.63581227, 1.06653835])}",No,1.015968789210611,"{'CI': array([0.87364042, 1.18148446])}","{'CI': array([0.87364042, 1.18148446])}",No
8,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9940764327104671,"{'CI': array([0.85857908, 1.15095741])}","{'CI': array([0.85857908, 1.15095741])}",No,1.0318328215114974,"{'CI': array([0.90770132, 1.17293976])}","{'CI': array([0.90770132, 1.17293976])}",No
9,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$0-20","bacterial infections, and other intestinal infectious diseases, and stds",1.0028344564788918,"{'CI': array([0.84079612, 1.19610085])}","{'CI': array([0.84079612, 1.19610085])}",No,1.040576692452656,"{'CI': array([0.89850209, 1.20511667])}","{'CI': array([0.89850209, 1.20511667])}",No
10,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9841377193484446,"{'CI': array([0.86234289, 1.1231345 ])}","{'CI': array([0.86234289, 1.1231345 ])}",No,1.006103188969899,"{'CI': array([0.9018207 , 1.12244443])}","{'CI': array([0.9018207 , 1.12244443])}",No
11,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9951007076755579,"{'CI': array([0.85916745, 1.15254065])}","{'CI': array([0.85916745, 1.15254065])}",No,1.0294709025104842,"{'CI': array([0.90795755, 1.16724658])}","{'CI': array([0.90795755, 1.16724658])}",No
12,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9727466805519395,"{'CI': array([0.80642665, 1.17336908])}","{'CI': array([0.80642665, 1.17336908])}",No,0.964237396996324,"{'CI': array([0.82717646, 1.12400897])}","{'CI': array([0.82717646, 1.12400897])}",No
13,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-20","bacterial infections, and other intestinal infectious diseases, and stds",1.0261981355181389,"{'CI': array([0.95874595, 1.09839589])}","{'CI': array([0.95874595, 1.09839589])}",No,1.0343381633508828,"{'CI': array([0.93163001, 1.14836944])}","{'CI': array([0.93163001, 1.14836944])}",No
14,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9826291689067683,"{'CI': array([0.86736697, 1.11320827])}","{'CI': array([0.86736697, 1.11320827])}",No,1.0107202099477606,"{'CI': array([0.89882408, 1.13654647])}","{'CI': array([0.89882408, 1.13654647])}",No
15,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0101364281745786,"{'CI': array([0.87584798, 1.16501451])}","{'CI': array([0.87584798, 1.16501451])}",No,0.9576098554660976,"{'CI': array([0.84390973, 1.08662882])}","{'CI': array([0.84390973, 1.08662882])}",No
16,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.006855628974909,"{'CI': array([0.94316127, 1.07485145])}","{'CI': array([0.94316127, 1.07485145])}",No,0.9651485130721156,"{'CI': array([0.89826946, 1.03700693])}","{'CI': array([0.89826946, 1.03700693])}",No
17,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-20","bacterial infections, and other intestinal infectious diseases, and stds",1.0667494354580975,"{'CI': array([0.9999018 , 1.13806612])}","{'CI': array([0.9999018 , 1.13806612])}",No,0.9237353478822112,"{'CI': array([0.83483267, 1.02210542])}","{'CI': array([0.83483267, 1.02210542])}",No
