,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0139830523797733,"{'CI': array([0.97259204, 1.05259564]), 'Gelman-Rubin': 0.9997908859545278}",No,1.0084119683825123,"{'CI': array([0.97173334, 1.04421237]), 'Gelman-Rubin': 0.9998323751187661}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0159414665478714,"{'CI': array([0.97538634, 1.05662368]), 'Gelman-Rubin': 0.9998736975183142}",No,1.0155823108955675,"{'CI': array([0.97970091, 1.05535866]), 'Gelman-Rubin': 0.9998606536391594}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9908176294350866,"{'CI': array([0.97408313, 1.00690712]), 'Gelman-Rubin': 0.9998364332205887}",No,1.0070523941229907,"{'CI': array([0.99014755, 1.02259873]), 'Gelman-Rubin': 1.000077201356474}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.000334057704663,"{'CI': array([0.99222043, 1.00922614]), 'Gelman-Rubin': 0.9997848295011035}",No,0.9979339356607222,"{'CI': array([0.98989719, 1.00694568]), 'Gelman-Rubin': 0.9998339918486685}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0134543466370576,"{'CI': array([1.00149669, 1.02413604]), 'Gelman-Rubin': 0.9998250615109829}",Yes,0.9925013455951148,"{'CI': array([0.98220524, 1.00264573]), 'Gelman-Rubin': 1.0000036670877521}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0146274204616417,"{'CI': array([0.9784271 , 1.05174796]), 'Gelman-Rubin': 1.0001027981564297}",No,1.0024517489271076,"{'CI': array([0.96907183, 1.03744656]), 'Gelman-Rubin': 0.9997959479628514}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0153892946876768,"{'CI': array([0.97609959, 1.05447834]), 'Gelman-Rubin': 0.9998124062495255}",No,1.0088219189912875,"{'CI': array([0.97268087, 1.04758244]), 'Gelman-Rubin': 1.0000443879473737}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9895482868903088,"{'CI': array([0.96432303, 1.01231176]), 'Gelman-Rubin': 1.0000438865058257}",No,0.989004721348286,"{'CI': array([0.96774977, 1.01223208]), 'Gelman-Rubin': 0.999863434655487}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9992193045924493,"{'CI': array([0.98669313, 1.01290986]), 'Gelman-Rubin': 0.9998000287320282}",No,0.9900643211590436,"{'CI': array([0.9766671 , 1.00301091]), 'Gelman-Rubin': 0.9997763058526473}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0232620212243355,"{'CI': array([1.01023088, 1.03685878]), 'Gelman-Rubin': 1.0001180432003154}",Yes,0.9918881675867491,"{'CI': array([0.97913405, 1.00685275]), 'Gelman-Rubin': 0.9998308259038329}",No
