,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0236253330870515,"{'CI': array([0.97482752, 1.074052  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97482752, 1.074052  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0073816786357381,"{'CI': array([0.95799789, 1.05844221]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95799789, 1.05844221]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0258765058454835,"{'CI': array([0.97956592, 1.07364951]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97956592, 1.07364951]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0175648988631698,"{'CI': array([0.97175622, 1.06480705]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97175622, 1.06480705]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9931362004378878,"{'CI': array([0.97619221, 1.01027426]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97619221, 1.01027426]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0007866562728198,"{'CI': array([0.98390052, 1.01786486]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98390052, 1.01786486]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0031762411361067,"{'CI': array([0.99483428, 1.0115648 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99483428, 1.0115648 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9910938947679824,"{'CI': array([0.98317205, 0.9990579 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98211666, 1.00012531]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0166649034972186,"{'CI': array([1.00540614, 1.02800829]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00375784, 1.02968331]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9855478315813713,"{'CI': array([0.97512902, 0.99603978]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97374228, 0.99744738]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0228946080377357,"{'CI': array([0.97943626, 1.06764045]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97943626, 1.06764045]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.996815174269167,"{'CI': array([0.95331293, 1.04161802]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95331293, 1.04161802]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0252352776589342,"{'CI': array([0.97729194, 1.07474804]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97729194, 1.07474804]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.00737383281423,"{'CI': array([0.96101898, 1.0552022 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96101898, 1.0552022 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.991246053509088,"{'CI': array([0.96708515, 1.01580373]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96708515, 1.01580373]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9803832349649139,"{'CI': array([0.95580218, 1.00537626]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95580218, 1.00537626]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0020807096308626,"{'CI': array([0.98868453, 1.01559752]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98868453, 1.01559752]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9828198803284771,"{'CI': array([0.96950999, 0.99624956]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96774037, 0.99805334]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0270923045878702,"{'CI': array([1.01291563, 1.04140293]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01084237, 1.04351848]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9847581169725713,"{'CI': array([0.97125118, 0.99838826]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96945549, 1.00021908]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0241531058599898,"{'CI': array([0.94780984, 1.10455851]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94780984, 1.10455851]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0218668637281652,"{'CI': array([0.94306181, 1.10500777]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94306181, 1.10500777]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
