,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0236235246166572,"{'CI': array([0.97482754, 1.07404824]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97482754, 1.07404824]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0073811219771178,"{'CI': array([0.95799922, 1.05843964]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95799922, 1.05843964]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.025874796336764,"{'CI': array([0.97956576, 1.07364615]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97956576, 1.07364615]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.017563816166715,"{'CI': array([0.97175664, 1.06480437]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97175664, 1.06480437]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.99313625985484,"{'CI': array([0.97619234, 1.01027425]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97619234, 1.01027425]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.000786659122843,"{'CI': array([0.9839006 , 1.01786478]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9839006 , 1.01786478]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0031762342233046,"{'CI': array([0.99483429, 1.01156478]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99483429, 1.01156478]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9910939138512302,"{'CI': array([0.98317208, 0.99905791]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98211669, 1.00012532]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0166648425239055,"{'CI': array([1.0054061 , 1.02800821]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0037578 , 1.02968323]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9855478871863097,"{'CI': array([0.9751291 , 0.99603982]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97374235, 0.99744742]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0228932205730301,"{'CI': array([0.97943616, 1.0676377 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97943616, 1.0676377 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9968153750298716,"{'CI': array([0.95331441, 1.04161685]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95331441, 1.04161685]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0252334885055732,"{'CI': array([0.97729188, 1.07474441]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97729188, 1.07474441]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0073733971977814,"{'CI': array([0.9610201, 1.0552001]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9610201, 1.0552001]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9912462107877819,"{'CI': array([0.96708553, 1.01580366]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96708553, 1.01580366]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9803836364346753,"{'CI': array([0.95580281, 1.00537642]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95580281, 1.00537642]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0020806978621926,"{'CI': array([0.98868456, 1.01559747]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98868456, 1.01559747]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9828199813241979,"{'CI': array([0.96951013, 0.99624963]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96774051, 0.9980534 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0270921471058465,"{'CI': array([1.01291552, 1.04140273]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01084227, 1.04351827]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9847582162089502,"{'CI': array([0.97125132, 0.99838832]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96945563, 1.00021914]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0241485073980143,"{'CI': array([0.94781228, 1.10454611]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94781228, 1.10454611]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.021862614852248,"{'CI': array([0.94306529, 1.10499492]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94306529, 1.10499492]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
11,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0464822972532661,"{'CI': array([0.99258867, 1.10235282]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99258867, 1.10235282]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0100163897042924,"{'CI': array([0.95716598, 1.06478906]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95716598, 1.06478906]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
12,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.002232960708481,"{'CI': array([0.98239921, 1.02233233]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98239921, 1.02233233]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9904132205330852,"{'CI': array([0.9707882 , 1.01029906]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9707882 , 1.01029906]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0130779985805902,"{'CI': array([1.00095005, 1.02530437]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99917509, 1.0271104 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9988040280066893,"{'CI': array([0.98712714, 1.01057252]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98712714, 1.01057252]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
