,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.021353630001254,"{'CI': array([1.0086878 , 1.03386822]), 'Gelman-Rubin': 0.999862426721685}",Yes,0.9848720981720048,"{'CI': array([0.97223175, 0.99718261]), 'Gelman-Rubin': 1.0002300399690884}",Yes
1,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$21-40,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9636056642840465,"{'CI': array([0.93833623, 0.98913175]), 'Gelman-Rubin': 0.9999614577018067}",Yes,1.0292635147990035,"{'CI': array([1.00137239, 1.05523455]), 'Gelman-Rubin': 0.9997636237280024}",Yes
2,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9631605592663987,"{'CI': array([0.95124204, 0.97434668]), 'Gelman-Rubin': 0.9998344801227529}",Yes,1.0326099267497255,"{'CI': array([1.01972037, 1.0448624 ]), 'Gelman-Rubin': 0.999814543588214}",Yes
3,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9305283869072826,"{'CI': array([0.9199573 , 0.94038234]), 'Gelman-Rubin': 1.0000495170146217}",Yes,1.0104093460403865,"{'CI': array([1.00095297, 1.02154424]), 'Gelman-Rubin': 0.9997766093849805}",Yes
4,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9414893908600597,"{'CI': array([0.92428067, 0.95854215]), 'Gelman-Rubin': 0.9998918008141737}",Yes,1.046754182911814,"{'CI': array([1.02880893, 1.06522893]), 'Gelman-Rubin': 0.9998898148007187}",Yes
5,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$61-",diseases of the circulatory system,1.0171362433769606,"{'CI': array([1.00591418, 1.02865202]), 'Gelman-Rubin': 0.9997870780984877}",Yes,0.9856785759950446,"{'CI': array([0.97457935, 0.99619269]), 'Gelman-Rubin': 0.9998310574654955}",Yes
6,Hypertensive diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,1.0101089104474612,"{'CI': array([1.0054064, 1.0147213]), 'Gelman-Rubin': 0.9999898852901287}",Yes,0.9897494130762154,"{'CI': array([0.98502052, 0.99462158]), 'Gelman-Rubin': 0.9998177339864506}",Yes
7,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0302968465535467,"{'CI': array([1.02552806, 1.03508098]), 'Gelman-Rubin': 0.999871665929544}",Yes,0.9792956001103175,"{'CI': array([0.97467709, 0.98363189]), 'Gelman-Rubin': 0.9998583051756555}",Yes
8,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0087048605992146,"{'CI': array([1.00407046, 1.01377398]), 'Gelman-Rubin': 1.0003286168984866}",Yes,0.983745453679816,"{'CI': array([0.97885891, 0.98823177]), 'Gelman-Rubin': 1.0004736897011355}",Yes
9,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0334310599723309,"{'CI': array([1.02829387, 1.0388398 ]), 'Gelman-Rubin': 0.9998472356728829}",Yes,0.9820645902912082,"{'CI': array([0.97699707, 0.98713565]), 'Gelman-Rubin': 0.9997822586735532}",Yes
10,Ischemic heart diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.011753347732239,"{'CI': array([1.00281338, 1.02032535]), 'Gelman-Rubin': 0.9998337524882811}",Yes,0.989817482337833,"{'CI': array([0.98197327, 0.99858502]), 'Gelman-Rubin': 1.000038195618072}",Yes
11,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0112430266441903,"{'CI': array([1.00593934, 1.0171774 ]), 'Gelman-Rubin': 1.0000748108249877}",Yes,0.9818119732137022,"{'CI': array([0.97607068, 0.987428  ]), 'Gelman-Rubin': 0.999933170201555}",Yes
12,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.019854660756477,"{'CI': array([1.01451048, 1.02542407]), 'Gelman-Rubin': 0.9997821175416317}",Yes,0.9867149014877994,"{'CI': array([0.98137263, 0.99191588]), 'Gelman-Rubin': 0.9997873374186537}",Yes
