,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0166649034972186,"{'CI': array([1.00540614, 1.02800829]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00375784, 1.02968331]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9855478315813713,"{'CI': array([0.97512902, 0.99603978]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97374228, 0.99744738]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0249171369292671,"{'CI': array([1.01222705, 1.03771462]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01037018, 1.0396054 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9775434693873645,"{'CI': array([0.96522006, 0.98996966]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96358101, 0.99163802]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.964770026038322,"{'CI': array([0.9520564 , 0.97759363]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95019628, 0.97948847]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0271097996967347,"{'CI': array([1.01372154, 1.04061749]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01194143, 1.04243165]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9405383512257766,"{'CI': array([0.92280731, 0.95848583]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92021816, 0.96114331]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0442001279971784,"{'CI': array([1.0250814 , 1.06356194]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02254461, 1.06616805]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$61-",diseases of the circulatory system,1.0204571369835091,"{'CI': array([1.00910285, 1.03189739]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00744061, 1.03358677]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9785322018404264,"{'CI': array([0.96766025, 0.98948401]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96621346, 0.99095357]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$M$61-",diseases of the circulatory system,1.0124132347078239,"{'CI': array([1.00191729, 1.02298278]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00038024, 1.02454308]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9838323795775654,"{'CI': array([0.97377603, 0.99395688]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97243735, 0.995315  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Hypertensive diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,1.0130365761014093,"{'CI': array([1.00852824, 1.01755844]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00786653, 1.01822442]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9829680433665217,"{'CI': array([0.97854646, 0.98740277]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97795662, 0.98799635]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0333787860397003,"{'CI': array([1.02890259, 1.03786823]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02824559, 1.03852941]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9725379790967958,"{'CI': array([0.96841084, 0.97667659]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96786022, 0.97723048]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0116265085350524,"{'CI': array([1.00712331, 1.01614322]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00646235, 1.01680844]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9769719237386262,"{'CI': array([0.9725736 , 0.98138328]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97198686, 0.98197373]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0365614879385345,"{'CI': array([1.03155654, 1.04158298]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03082207, 1.04232268]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9752732112156772,"{'CI': array([0.97066061, 0.97990014]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97004533, 0.9805195 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
10,Ischemic heart diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0148461718460688,"{'CI': array([1.00664697, 1.02309019]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00544522, 1.02430609]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9829186440485945,"{'CI': array([0.97493439, 0.99094581]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97387072, 0.99202172]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
11,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0161952574232895,"{'CI': array([1.01003368, 1.0223821 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00912988, 1.02329387]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9879447089052575,"{'CI': array([0.98199802, 0.99391513]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98120518, 0.99471474]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
12,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.014216756180038,"{'CI': array([1.00882703, 1.01962582]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00803622, 1.02042273]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9750043322120496,"{'CI': array([0.96977043, 0.98025669]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96907245, 0.98095993]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
13,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0228848597376143,"{'CI': array([1.01772096, 1.02806646]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01696321, 1.02882979]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.979920657557287,"{'CI': array([0.97495703, 0.98490085]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97429502, 0.98556758]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
14,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$M$61-",diseases of the digestive system,1.0170016465290785,"{'CI': array([1.00504387, 1.0290549 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00329369, 1.03083523]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9802582804593082,"{'CI': array([0.9689027 , 0.99170095]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96739181, 0.99323667]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
15,Noninfective enteritis and colitis|diseases of the digestive system$F$21-40,diseases of the digestive system,1.0216003729822418,"{'CI': array([1.00726734, 1.03607071]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00517136, 1.03821004]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9823613423275663,"{'CI': array([0.96806723, 0.9967937 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96616744, 0.9987329 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
16,Noninfective enteritis and colitis|diseases of the digestive system$F$61-,diseases of the digestive system,1.02835559653234,"{'CI': array([1.01331465, 1.04354736]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0111157 , 1.04579393]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9747099884997934,"{'CI': array([0.96028027, 0.9892809 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95836258, 0.99123885]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
17,Noninfective enteritis and colitis|diseases of the digestive system$M$21-40,diseases of the digestive system,1.0282668114690905,"{'CI': array([1.0108669 , 1.04586903]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00832532, 1.04847449]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9713062999273758,"{'CI': array([0.9539332 , 0.98888481]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95162691, 0.99124967]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
18,Other diseases of intestines|diseases of the digestive system$F$61-,diseases of the digestive system,1.011667391056831,"{'CI': array([1.00220681, 1.02118775]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00082084, 1.0225926 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.984535078162697,"{'CI': array([0.97576578, 0.99335615]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97459786, 0.99453883]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
19,Other diseases of intestines|diseases of the digestive system$M$41-60,diseases of the digestive system,0.9887619628601131,"{'CI': array([0.98027681, 0.99729557]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97903331, 0.99855436]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9875512094093676,"{'CI': array([0.97914679, 0.99600315]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97802732, 0.99713618]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
20,Diseases of external ear|diseases of the ear and mastoid process$F$61-,diseases of the ear and mastoid process,1.0338456736522268,"{'CI': array([1.00992728, 1.05814704]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00644189, 1.06175335]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9725439691189832,"{'CI': array([0.95051301, 0.99490602]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94759343, 0.99792002]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
21,Diseases of external ear|diseases of the ear and mastoid process$M$61-,diseases of the ear and mastoid process,1.0375262464919008,"{'CI': array([1.01263921, 1.06282761]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00901391, 1.06658372]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9647663887109171,"{'CI': array([0.94224805, 0.98763162]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93926447, 0.99071412]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
22,Other disorders of ear|diseases of the ear and mastoid process$F$61-,diseases of the ear and mastoid process,1.0226006805342145,"{'CI': array([1.00377926, 1.04165932]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0010315 , 1.04448197]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9650840662641345,"{'CI': array([0.94798518, 0.98238222]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94571508, 0.98470915]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
23,Disorders of choroid and retina|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.0516445929281266,"{'CI': array([1.03879097, 1.06460736]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0369102 , 1.06652259]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9792307166981303,"{'CI': array([0.96796204, 0.99058519]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96646267, 0.99210902]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
24,Disorders of choroid and retina|diseases of the eye and adnexa$M$61-,diseases of the eye and adnexa,1.0528140444277143,"{'CI': array([1.03778269, 1.06799481]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03558503, 1.07023963]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9757873848310431,"{'CI': array([0.96260666, 0.98908577]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96085414, 0.99087184]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
25,Glaucoma|diseases of the eye and adnexa$F$41-60,diseases of the eye and adnexa,1.0527129856149124,"{'CI': array([1.03728947, 1.06829396]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03503481, 1.07059832]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9759790684727502,"{'CI': array([0.96174738, 0.99034811]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95985588, 0.99227878]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
26,Glaucoma|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.098870375770891,"{'CI': array([1.08658525, 1.11125366]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.08478716, 1.11308273]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9683712467025841,"{'CI': array([0.95801805, 0.97879709]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95664003, 0.98019582]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
27,Glaucoma|diseases of the eye and adnexa$M$41-60,diseases of the eye and adnexa,1.0449961121631846,"{'CI': array([1.02747703, 1.06271914]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02491806, 1.0653425 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9692788047550709,"{'CI': array([0.95303388, 0.98570336]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95087645, 0.987912  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
