,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0166648425239055,"{'CI': array([1.0054061 , 1.02800821]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0037578 , 1.02968323]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9855478871863097,"{'CI': array([0.9751291 , 0.99603982]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97374235, 0.99744742]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0249170147764475,"{'CI': array([1.01222696, 1.03771447]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01037009, 1.03960524]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9775435839826389,"{'CI': array([0.96522021, 0.98996974]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96358115, 0.9916381 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9647702115613151,"{'CI': array([0.95205662, 0.97759378]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9501965 , 0.97948862]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0271096579306263,"{'CI': array([1.01372144, 1.04061731]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01194133, 1.04243147]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9405389831098377,"{'CI': array([0.92280803, 0.95848637]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92021889, 0.96114384]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0441996605630817,"{'CI': array([1.02508104, 1.06356136]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02254426, 1.06616745]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$61-",diseases of the circulatory system,1.0204570604717724,"{'CI': array([1.00910279, 1.03189729]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00744056, 1.03358666]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9785322895060157,"{'CI': array([0.96766036, 0.98948407]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96621357, 0.99095364]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$M$61-",diseases of the circulatory system,1.012413196236461,"{'CI': array([1.00191727, 1.02298273]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00038022, 1.02454302]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9838324376121611,"{'CI': array([0.97377611, 0.99395693]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97243743, 0.99531504]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Hypertensive diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,1.0130365679526374,"{'CI': array([1.00852823, 1.01755844]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00786653, 1.01822441]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9829680544674483,"{'CI': array([0.97854647, 0.98740278]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97795663, 0.98799636]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0333787663006497,"{'CI': array([1.02890257, 1.03786821]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02824557, 1.03852939]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9725379953825475,"{'CI': array([0.96841086, 0.9766766 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96786024, 0.97723049]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0116265012607224,"{'CI': array([1.0071233 , 1.01614321]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00646235, 1.01680843]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9769719385385044,"{'CI': array([0.97257361, 0.98138329]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97198687, 0.98197375]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0365614611015186,"{'CI': array([1.03155652, 1.04158296]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03082205, 1.04232265]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9752732296762978,"{'CI': array([0.97066063, 0.97990015]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97004535, 0.98051951]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
