,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0134543466370576,"{'CI': array([1.00149669, 1.02413604]), 'Gelman-Rubin': 0.9998250615109829}",Yes,0.9925013455951148,"{'CI': array([0.98220524, 1.00264573]), 'Gelman-Rubin': 1.0000036670877521}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0232620212243355,"{'CI': array([1.01023088, 1.03685878]), 'Gelman-Rubin': 1.0001180432003154}",Yes,0.9918881675867491,"{'CI': array([0.97913405, 1.00685275]), 'Gelman-Rubin': 0.9998308259038329}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0161786528208876,"{'CI': array([1.0039154 , 1.02863881]), 'Gelman-Rubin': 0.9998068361604259}",Yes,0.9990990643786816,"{'CI': array([0.9867027 , 1.01120037]), 'Gelman-Rubin': 0.9998098648096317}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0318169768688403,"{'CI': array([1.01498614, 1.04816595]), 'Gelman-Rubin': 1.0000288717073353}",Yes,0.9973056936438219,"{'CI': array([0.9818329 , 1.01364814]), 'Gelman-Rubin': 0.9999011778050081}",No
4,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.073934621218078,"{'CI': array([1.04114213, 1.10711159]), 'Gelman-Rubin': 0.9999879222527053}",Yes,0.982695876043108,"{'CI': array([0.95246581, 1.01181496]), 'Gelman-Rubin': 0.9998704018376728}",No
5,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0258919082794398,"{'CI': array([1.00951219, 1.04142246]), 'Gelman-Rubin': 0.9997744496814329}",Yes,1.0021585134056503,"{'CI': array([0.98593442, 1.01744636]), 'Gelman-Rubin': 1.0002545829872405}",No
6,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9559009467047123,"{'CI': array([0.92296326, 0.99375513]), 'Gelman-Rubin': 0.9999084028386817}",Yes,1.0076873580197758,"{'CI': array([0.97189713, 1.04100844]), 'Gelman-Rubin': 1.0002629135701473}",No
7,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9675287164822354,"{'CI': array([0.93768725, 0.99953137]), 'Gelman-Rubin': 0.9998151050181029}",Yes,1.0037354508153316,"{'CI': array([0.97190734, 1.03492154]), 'Gelman-Rubin': 0.9998468070957953}",No
8,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9744882640745252,"{'CI': array([0.95071916, 0.99731999]), 'Gelman-Rubin': 0.9998303071019643}",Yes,1.000025537178362,"{'CI': array([0.97545357, 1.0266733 ]), 'Gelman-Rubin': 0.9998743995518731}",No
9,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9751089250115793,"{'CI': array([0.94818698, 0.99995293]), 'Gelman-Rubin': 1.0000393517686963}",Yes,0.9928955802086322,"{'CI': array([0.96689303, 1.02111065]), 'Gelman-Rubin': 0.9997948887481984}",No
