,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0270923045878702,"{'CI': array([1.01291563, 1.04140293]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01084237, 1.04351848]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9847581169725713,"{'CI': array([0.97125118, 0.99838826]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96945549, 1.00021908]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0211129438987505,"{'CI': array([1.00433628, 1.03807792]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00188518, 1.04058847]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9862551642037797,"{'CI': array([0.97076699, 1.0019055 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97076699, 1.0019055 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.019532665198538,"{'CI': array([1.00682858, 1.03234456]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00496968, 1.03423749]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9922108630069787,"{'CI': array([0.9799362 , 1.00458702]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9799362 , 1.00458702]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0366520425425674,"{'CI': array([1.01923604, 1.05427   ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01669207, 1.05687774]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9904624125816773,"{'CI': array([0.97432924, 1.00677134]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97432924, 1.00677134]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0941680243357095,"{'CI': array([1.05793064, 1.13127463]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.05267262, 1.13680718]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9698298394671779,"{'CI': array([0.93440737, 1.0061174 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93440737, 1.0061174 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0303546099870662,"{'CI': array([1.01325556, 1.04764883]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01075763, 1.05020838]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9954824320537268,"{'CI': array([0.97951289, 1.01162399]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97951289, 1.01162399]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9439773715990292,"{'CI': array([0.90386784, 0.98520973]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89805975, 0.99137254]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.004320190649131,"{'CI': array([0.96337266, 1.04641386]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96337266, 1.04641386]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",0.7898933817200972,"{'CI': array([0.64462494, 0.95206112]), 'Error Bound': 8.928578941595764e-225, 'Reliable CI?': 'Yes'}","{'CI': array([0.62434556, 0.97775039]), 'Error Bound': 8.928578941595764e-225, 'Reliable CI?': 'Yes'}",Yes,0.9908193560793682,"{'CI': array([0.81013682, 1.19633037]), 'Error Bound': 1.32876427929948e-192, 'Reliable CI?': 'Yes'}","{'CI': array([0.81013682, 1.19633037]), 'Error Bound': 1.32876427929948e-192, 'Reliable CI?': 'Yes'}",No
8,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.0563510064744774,"{'CI': array([1.01162422, 1.10242651]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00515509, 1.10932175]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9770696042417724,"{'CI': array([0.93105095, 1.02455525]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93105095, 1.02455525]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9553450399334268,"{'CI': array([0.93065018, 0.98045962]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92705351, 0.98418882]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9951258154434243,"{'CI': array([0.97007145, 1.02060626]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97007145, 1.02060626]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9750908825634574,"{'CI': array([0.95528916, 0.99515956]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95239966, 0.99813334]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9958987886674799,"{'CI': array([0.97601975, 1.01604485]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97601975, 1.01604485]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
11,Circulatory system|congenital malformations and deformations$M$11-20,congenital malformations and deformations,1.0795723229492387,"{'CI': array([1.01300589, 1.14914673]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00345023, 1.15965365]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0152585495745459,"{'CI': array([0.95437853, 1.0786988 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95437853, 1.0786988 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
12,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9799498422383653,"{'CI': array([0.96946819, 0.99050575]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96793329, 0.99206409]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0007287125590705,"{'CI': array([0.99002275, 1.01151157]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99002275, 1.01151157]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.948273033512269,"{'CI': array([0.93869447, 0.95791419]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93729138, 0.95933704]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0023145099844974,"{'CI': array([0.99238138, 1.01231373]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99238138, 1.01231373]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
