,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0270921471058465,"{'CI': array([1.01291552, 1.04140273]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01084227, 1.04351827]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9847582162089502,"{'CI': array([0.97125132, 0.99838832]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96945563, 1.00021914]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0211127711791652,"{'CI': array([1.00433618, 1.03807767]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0018851 , 1.04058821]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9862552817668381,"{'CI': array([0.97076716, 1.00190556]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97076716, 1.00190556]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0195325695162827,"{'CI': array([1.00682852, 1.03234443]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00496963, 1.03423736]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9922109033595488,"{'CI': array([0.97993627, 1.00458703]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97993627, 1.00458703]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.036651721390496,"{'CI': array([1.0192358 , 1.05426959]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01669184, 1.05687732]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9904625063864886,"{'CI': array([0.9743294 , 1.00677136]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9743294 , 1.00677136]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0941645658246966,"{'CI': array([1.05792792, 1.1312704 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.05267   , 1.13680284]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9698311197069551,"{'CI': array([0.93440934, 1.00611796]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93440934, 1.00611796]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0303543439741378,"{'CI': array([1.01325537, 1.04764849]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01075746, 1.05020802]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9954824743562287,"{'CI': array([0.979513  , 1.01162397]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.979513  , 1.01162397]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9439804952425759,"{'CI': array([0.90387196, 0.9852118 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89806402, 0.99137444]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0043200534802113,"{'CI': array([0.9633736, 1.0464126]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9633736, 1.0464126]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",0.7900976108595643,"{'CI': array([0.6448736 , 0.95220861]), 'Error Bound': 5.412621051369728e-225, 'Reliable CI?': 'Yes'}","{'CI': array([0.62460014, 0.97788794]), 'Error Bound': 5.412621051369728e-225, 'Reliable CI?': 'Yes'}",Yes,0.9908300059444569,"{'CI': array([0.81024396, 1.19621609]), 'Error Bound': 8.054533267981108e-193, 'Reliable CI?': 'Yes'}","{'CI': array([0.81024396, 1.19621609]), 'Error Bound': 8.054533267981108e-193, 'Reliable CI?': 'Yes'}",No
8,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.056347671071291,"{'CI': array([1.01162228, 1.1024217 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00515334, 1.10931671]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9770712669826149,"{'CI': array([0.93105413, 1.0245553 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93105413, 1.0245553 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9553459453160028,"{'CI': array([0.93065132, 0.98046028]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92705468, 0.98418945]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9951259265233393,"{'CI': array([0.9700718 , 1.02060612]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9700718 , 1.02060612]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9750912107457244,"{'CI': array([0.95528961, 0.99515976]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95240013, 0.99813352]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9958988629394382,"{'CI': array([0.97601994, 1.0160448 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97601994, 1.0160448 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
11,Circulatory system|congenital malformations and deformations$M$11-20,congenital malformations and deformations,1.079562087549038,"{'CI': array([1.01300026, 1.14913147]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00344525, 1.15963761]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0152568820588028,"{'CI': array([0.9543804 , 1.07869329]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9543804 , 1.07869329]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
12,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.979949912397616,"{'CI': array([0.96946828, 0.9905058 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96793338, 0.99206414]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0007287127356712,"{'CI': array([0.99002277, 1.01151155]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99002277, 1.01151155]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.948273194560832,"{'CI': array([0.93869465, 0.95791434]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93729156, 0.95933719]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.002314508105374,"{'CI': array([0.99238139, 1.01231371]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99238139, 1.01231371]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
14,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$21-40,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9607241732759271,"{'CI': array([0.93296756, 0.98901124]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92892953, 0.99321678]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0291800327410592,"{'CI': array([0.99936766, 1.05959057]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99936766, 1.05959057]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
15,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9318552523462247,"{'CI': array([0.92201143, 0.94176556]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92056966, 0.94322832]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0038662786772197,"{'CI': array([0.99347762, 1.0143272 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99347762, 1.0143272 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
16,Certain disorders involving the immune mechanism|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0290455391275068,"{'CI': array([1.00628681, 1.05215127]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00296903, 1.05557862]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9858035924781364,"{'CI': array([0.96513852, 1.0067584 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96513852, 1.0067584 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
17,Certain disorders involving the immune mechanism|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0525206501833397,"{'CI': array([1.02448843, 1.08107699]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02040948, 1.08532144]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9910937447964414,"{'CI': array([0.96583106, 1.01678995]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96583106, 1.01678995]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
18,Haemolytic anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$0-10,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.1081324847391587,"{'CI': array([1.01454686, 1.20771959]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0012325 , 1.22293518]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0142721092942377,"{'CI': array([0.92856476, 1.10514689]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92856476, 1.10514689]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
19,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$11-20,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0739771242803278,"{'CI': array([1.00937777, 1.14141089]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0000985 , 1.15158645]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0062900689549843,"{'CI': array([0.94328725, 1.07204738]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94328725, 1.07204738]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
20,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9397482051454777,"{'CI': array([0.92648794, 0.95312909]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92454831, 0.9551068 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9991467450973137,"{'CI': array([0.98529228, 1.01313025]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98529228, 1.01313025]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
21,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.8948209855550103,"{'CI': array([0.88094853, 0.90882755]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87891999, 0.91089843]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.007127056290322,"{'CI': array([0.99184053, 1.02257039]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99184053, 1.02257039]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
22,Cerebrovascular diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,0.9783777848894548,"{'CI': array([0.96872548, 0.98809302]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96731157, 0.98952679]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9993326720684882,"{'CI': array([0.98953607, 1.00919362]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98953607, 1.00919362]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
23,Cerebrovascular diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,0.9827649297420936,"{'CI': array([0.96799371, 0.99768392]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96583415, 0.99989012]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.995137171959656,"{'CI': array([0.98009251, 1.01033443]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98009251, 1.01033443]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
24,Cerebrovascular diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,0.9882671097440321,"{'CI': array([0.97823054, 0.99837151]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97676054, 0.99986291]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0023372902234657,"{'CI': array([0.99219062, 1.01255293]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99219062, 1.01255293]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
