,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9917770991080455,"{'CI': array([0.95561243, 1.02701435]), 'Gelman-Rubin': 0.9998686771108759}",No,0.9812019618938465,"{'CI': array([0.94277643, 1.02279095]), 'Gelman-Rubin': 0.9998020204287288}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9988241604351735,"{'CI': array([0.96488558, 1.03504165]), 'Gelman-Rubin': 0.9998996051845759}",No,1.0067331932234174,"{'CI': array([0.96538349, 1.04229417]), 'Gelman-Rubin': 0.9999701398196905}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9967898879591867,"{'CI': array([0.9816796 , 1.01299908]), 'Gelman-Rubin': 0.9998160238624817}",No,1.0056973764002846,"{'CI': array([0.98824918, 1.02225856]), 'Gelman-Rubin': 0.9998312820249923}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9989607366132508,"{'CI': array([0.99081474, 1.00773578]), 'Gelman-Rubin': 0.9999808210515273}",No,0.9969542420272596,"{'CI': array([0.98826008, 1.00508544]), 'Gelman-Rubin': 0.9998729712630036}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0082856833768563,"{'CI': array([0.9978808 , 1.01939308]), 'Gelman-Rubin': 0.9997938502554814}",No,0.998878509162329,"{'CI': array([0.98769186, 1.00966835]), 'Gelman-Rubin': 0.9998959362878906}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9940975907029157,"{'CI': array([0.96126139, 1.03139053]), 'Gelman-Rubin': 0.9998193097601555}",No,1.0055598262961274,"{'CI': array([0.9711461 , 1.04224366]), 'Gelman-Rubin': 0.9998614134361455}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0083386013504556,"{'CI': array([0.97114624, 1.04436434]), 'Gelman-Rubin': 0.9997881974881822}",No,0.9989352326903725,"{'CI': array([0.96153359, 1.03611177]), 'Gelman-Rubin': 0.9998105173221029}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9861676996146761,"{'CI': array([0.96383992, 1.00668011]), 'Gelman-Rubin': 0.9998897732238315}",No,0.9870398280226517,"{'CI': array([0.96475999, 1.0093133 ]), 'Gelman-Rubin': 0.9997846310827938}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9962611482276968,"{'CI': array([0.98127794, 1.00947819]), 'Gelman-Rubin': 0.9997860456025264}",No,0.9954965042269383,"{'CI': array([0.98153933, 1.00844841]), 'Gelman-Rubin': 0.9999855943837381}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0121611974632065,"{'CI': array([0.99877563, 1.02606724]), 'Gelman-Rubin': 0.9999348242593205}",No,1.0071786140482697,"{'CI': array([0.992539  , 1.01983537]), 'Gelman-Rubin': 0.9998466690010751}",No
