,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9956265022626566,"{'CI': array([0.94622818, 1.04671038]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94622818, 1.04671038]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.967111036987407,"{'CI': array([0.91793373, 1.01797497]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91793373, 1.01797497]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0084372381887508,"{'CI': array([0.96229987, 1.05603408]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96229987, 1.05603408]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0048383343311054,"{'CI': array([0.95931061, 1.05178781]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95931061, 1.05178781]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0067083725540387,"{'CI': array([0.98947151, 1.0241451 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98947151, 1.0241451 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.001251560152135,"{'CI': array([0.9840956 , 1.01860582]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9840956 , 1.01860582]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0092124980551531,"{'CI': array([1.00080951, 1.01766267]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99968684, 1.01879883]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.992184945031093,"{'CI': array([0.98404464, 1.00036976]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98404464, 1.00036976]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.018984610209345,"{'CI': array([1.00778448, 1.03026833]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00628964, 1.03178708]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9941059476795037,"{'CI': array([0.98336259, 1.00492681]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98336259, 1.00492681]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.000762553252431,"{'CI': array([0.95691757, 1.045928  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95691757, 1.045928  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0031007507932812,"{'CI': array([0.95864597, 1.04891226]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95864597, 1.04891226]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.025379734740147,"{'CI': array([0.97691398, 1.07544917]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97691398, 1.07544917]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.993838847804203,"{'CI': array([0.94828677, 1.04081953]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94828677, 1.04081953]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9935712793558016,"{'CI': array([0.96912063, 1.01842784]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96912063, 1.01842784]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9807112670102706,"{'CI': array([0.95605987, 1.00577696]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95605987, 1.00577696]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0062913926824748,"{'CI': array([0.99269311, 1.02001378]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99269311, 1.02001378]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9905977639811645,"{'CI': array([0.97702517, 1.00429461]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97702517, 1.00429461]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0233498753283776,"{'CI': array([1.00920142, 1.0376318 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00731512, 1.03955627]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0026630752693366,"{'CI': array([0.98873536, 1.01672093]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98873536, 1.01672093]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
