,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Bonferroni Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Bonferroni Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9956267938977093,"{'CI': array([0.94623036, 1.04670865]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94623036, 1.04670865]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9671136373963493,"{'CI': array([0.91793819, 1.01797558]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91793819, 1.01797558]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0084367031643398,"{'CI': array([0.96230087, 1.05603191]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96230087, 1.05603191]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0048380851566705,"{'CI': array([0.95931183, 1.05178599]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95931183, 1.05178599]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0067083147743114,"{'CI': array([0.98947154, 1.02414496]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98947154, 1.02414496]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0012515559288766,"{'CI': array([0.98409568, 1.01860573]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98409568, 1.01860573]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0092124790550483,"{'CI': array([1.0008095 , 1.01766264]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99968684, 1.0187988 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9921849628650342,"{'CI': array([0.98404467, 1.00036977]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98404467, 1.00036977]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0189845474038761,"{'CI': array([1.00778444, 1.03026825]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00628961, 1.03178699]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9941059796984746,"{'CI': array([0.98336264, 1.00492682]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98336264, 1.00492682]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0007624688135726,"{'CI': array([0.95691881, 1.04592651]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95691881, 1.04592651]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0031005232691268,"{'CI': array([0.95864712, 1.04891058]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95864712, 1.04891058]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0253779383026937,"{'CI': array([0.97691396, 1.07544547]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97691396, 1.07544547]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9938393283972463,"{'CI': array([0.94828873, 1.04081845]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94828873, 1.04081845]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9935714099765229,"{'CI': array([0.96912098, 1.01842774]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96912098, 1.01842774]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9807116640482733,"{'CI': array([0.9560605 , 1.00577712]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9560605 , 1.00577712]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.006291359145668,"{'CI': array([0.99269312, 1.02001371]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99269312, 1.02001371]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.990597823377434,"{'CI': array([0.97702527, 1.00429463]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97702527, 1.00429463]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0233497489343253,"{'CI': array([1.00920134, 1.03763163]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00731505, 1.03955609]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.002663078014177,"{'CI': array([0.98873541, 1.01672089]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98873541, 1.01672089]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9834683251723705,"{'CI': array([0.90955805, 1.06123348]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90955805, 1.06123348]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0645234122244702,"{'CI': array([0.98346871, 1.1501074 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98346871, 1.1501074 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
11,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0048238103983451,"{'CI': array([0.95200178, 1.05957007]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95200178, 1.05957007]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0141961317629684,"{'CI': array([0.96149173, 1.0688091 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96149173, 1.0688091 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
12,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0079662610528275,"{'CI': array([0.98804614, 1.02815369]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98804614, 1.02815369]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9979597121850844,"{'CI': array([0.97823017, 1.01795226]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97823017, 1.01795226]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0060541422296299,"{'CI': array([0.99399357, 1.01821224]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99399357, 1.01821224]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9909133655657402,"{'CI': array([0.97919618, 1.00272304]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97919618, 1.00272304]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
14,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0462619317208213,"{'CI': array([1.0294244 , 1.06328739]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02718172, 1.06558383]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.984096071281944,"{'CI': array([0.96841135, 0.99994709]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96596308, 1.0024517 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
