,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,0.9804725025243534,"{'CI': array([0.96445984, 0.99786643]), 'Gelman-Rubin': 1.0000712955703712}",Yes,1.030077013116733,"{'CI': array([1.0114628 , 1.04829394]), 'Gelman-Rubin': 0.9999138516710467}",Yes
1,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0181418048248647,"{'CI': array([1.00828764, 1.02898086]), 'Gelman-Rubin': 0.9997733359292417}",Yes,1.012909450640061,"{'CI': array([1.00299304, 1.0235954 ]), 'Gelman-Rubin': 0.9997568440232137}",Yes
2,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0120115405201433,"{'CI': array([1.00155516, 1.02202535]), 'Gelman-Rubin': 0.9997715471869116}",Yes,1.0116525350823218,"{'CI': array([1.00190459, 1.02210666]), 'Gelman-Rubin': 0.9998398276174271}",Yes
3,Certain disorders involving the immune mechanism|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0375255939161279,"{'CI': array([1.01412082, 1.06317191]), 'Gelman-Rubin': 0.9998606844312586}",Yes,1.0288429763060105,"{'CI': array([1.00505306, 1.05218063]), 'Gelman-Rubin': 0.9999119851740653}",Yes
4,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.022668231366973,"{'CI': array([1.00877962, 1.03566961]), 'Gelman-Rubin': 0.9999958556878903}",Yes,1.0192029153520468,"{'CI': array([1.00474651, 1.03252177]), 'Gelman-Rubin': 0.999952427172861}",Yes
5,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0196182717681335,"{'CI': array([1.00063208, 1.03768599]), 'Gelman-Rubin': 0.9998112420732553}",Yes,1.033100454950342,"{'CI': array([1.01268679, 1.05190565]), 'Gelman-Rubin': 0.9998714126341265}",Yes
6,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0284232262201405,"{'CI': array([1.02367988, 1.03322585]), 'Gelman-Rubin': 0.9997671992319134}",Yes,0.9947584332889112,"{'CI': array([0.9904172 , 0.99956331]), 'Gelman-Rubin': 1.0000097263187704}",Yes
7,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0047566103894903,"{'CI': array([1.00053778, 1.00984965]), 'Gelman-Rubin': 0.9997677016013563}",Yes,0.9885264262979214,"{'CI': array([0.98351845, 0.993364  ]), 'Gelman-Rubin': 0.9998981202929272}",Yes
8,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0229008954055092,"{'CI': array([1.01652479, 1.02910119]), 'Gelman-Rubin': 1.0002160854916624}",Yes,1.0071859586210277,"{'CI': array([1.00106987, 1.01290437]), 'Gelman-Rubin': 1.00062753362175}",Yes
9,Noninfective enteritis and colitis|diseases of the digestive system$F$61-,diseases of the digestive system,1.017076748655984,"{'CI': array([1.00187735, 1.03054201]), 'Gelman-Rubin': 0.9999222666416872}",Yes,0.9857837416082768,"{'CI': array([0.97143895, 0.99982885]), 'Gelman-Rubin': 1.000038838005977}",Yes
