,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0324258136811453,"{'CI': array([1.01313003, 1.05197027]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01056231, 1.05460911]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.030780572541735,"{'CI': array([1.0113858 , 1.05042665]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00836237, 1.05353521]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,Hypertensive diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,1.0116210941557482,"{'CI': array([1.00707492, 1.01618103]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00646666, 1.01679323]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9899156044750531,"{'CI': array([0.9854075 , 0.99443734]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9847008 , 0.99514865]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.039148967042528,"{'CI': array([1.03467995, 1.04363115]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03408199, 1.04423288]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9900393390744863,"{'CI': array([0.98579585, 0.99429488]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98513057, 0.99496425]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0150808320913247,"{'CI': array([1.01051494, 1.0196606 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00990404, 1.02027546]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9837780615473976,"{'CI': array([0.97928787, 0.9882818 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97858398, 0.98899028]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.040529965535279,"{'CI': array([1.03553464, 1.04554174]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03486639, 1.0462147 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9934846303374335,"{'CI': array([0.98871772, 0.99826674]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98797052, 0.99901909]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,Other forms of heart disease|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.01120282150206,"{'CI': array([1.00316423, 1.01928455]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00209011, 1.02037101]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9839419708441323,"{'CI': array([0.97596022, 0.99196662]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97471067, 0.99323071]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0287689342531683,"{'CI': array([1.02358221, 1.03397346]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02288841, 1.03467235]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.991393627101405,"{'CI': array([0.9863118 , 0.99649274]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98551534, 0.99729506]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,"Diseases of oral cavity, salivary glands and jaws|diseases of the digestive system$F$61-",diseases of the digestive system,1.0420909136506733,"{'CI': array([1.00571233, 1.07935945]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00090099, 1.08442546]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9543471757479528,"{'CI': array([0.92096086, 0.98850392]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9157846 , 0.99394128]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Noninfective enteritis and colitis|diseases of the digestive system$F$61-,diseases of the digestive system,1.0288205122725054,"{'CI': array([1.0137489 , 1.04404338]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0117402 , 1.04609536]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9805125631127612,"{'CI': array([0.96597194, 0.99519617]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96370128, 0.99751526]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Other diseases of intestines|diseases of the digestive system$F$61-,diseases of the digestive system,1.0170649154672493,"{'CI': array([1.00772627, 1.02646164]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00647902, 1.0277255 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9745630242112223,"{'CI': array([0.96574928, 0.9834292 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96436992, 0.98482632]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
