,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Bonferroni Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Bonferroni Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0324254574134073,"{'CI': array([1.01312978, 1.0519698 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01056208, 1.05460863]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0307802352966229,"{'CI': array([1.01138558, 1.05042619]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00836217, 1.05353474]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,Hypertensive diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,1.0116210870530244,"{'CI': array([1.00707491, 1.01618102]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00646666, 1.01679322]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9899156114369945,"{'CI': array([0.98540751, 0.99443735]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98470081, 0.99514866]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0391489449915887,"{'CI': array([1.03467993, 1.04363113]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03408197, 1.04423286]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9900393464598433,"{'CI': array([0.98579586, 0.99429489]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98513057, 0.99496425]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0150808227238692,"{'CI': array([1.01051493, 1.01966058]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00990404, 1.02027544]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9837780725098023,"{'CI': array([0.97928788, 0.98828181]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97858399, 0.98899029]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.040529936999576,"{'CI': array([1.03553461, 1.04554171]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03486636, 1.04621467]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9934846372177438,"{'CI': array([0.98871773, 0.99826675]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98797053, 0.99901909]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,Other forms of heart disease|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0112028001584072,"{'CI': array([1.00316422, 1.01928452]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00209009, 1.02037098]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.983942004984559,"{'CI': array([0.97596026, 0.99196665]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97471071, 0.99323074]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0287689126823274,"{'CI': array([1.02358219, 1.03397344]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02288839, 1.03467233]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9913936366550735,"{'CI': array([0.98631181, 0.99649275]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98551535, 0.99729507]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,"Diseases of oral cavity, salivary glands and jaws|diseases of the digestive system$F$61-",diseases of the digestive system,1.0420893519442518,"{'CI': array([1.00571151, 1.07935711]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00090027, 1.08442301]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9543489888625807,"{'CI': array([0.92096325, 0.98850513]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91578708, 0.9939424 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Noninfective enteritis and colitis|diseases of the digestive system$F$61-,diseases of the digestive system,1.0288203330429786,"{'CI': array([1.01374878, 1.04404315]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01174008, 1.04609512]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9805127146938156,"{'CI': array([0.96597214, 0.99519627]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96370148, 0.99751536]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Other diseases of intestines|diseases of the digestive system$F$61-,diseases of the digestive system,1.017064876743769,"{'CI': array([1.00772625, 1.02646159]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.006479  , 1.02772545]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9745630951648695,"{'CI': array([0.96574936, 0.98342926]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96437001, 0.98482637]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
