,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0327211308175113,"{'CI': array([1.01610963, 1.0484478 ]), 'Gelman-Rubin': 0.9997968434979954}",Yes,0.9892922236010745,"{'CI': array([0.97476269, 1.0041822 ]), 'Gelman-Rubin': 0.9997513856420697}",No
1,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0390123353637086,"{'CI': array([1.02311265, 1.05535246]), 'Gelman-Rubin': 1.0000987116029914}",Yes,1.003580007533626,"{'CI': array([0.98748036, 1.01934048]), 'Gelman-Rubin': 0.9997865095759181}",No
2,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0240282922574953,"{'CI': array([1.01163611, 1.03690686]), 'Gelman-Rubin': 0.9998509275509574}",Yes,1.0059709990108643,"{'CI': array([0.99326158, 1.01838446]), 'Gelman-Rubin': 1.000041655046583}",No
3,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.02493288302026,"{'CI': array([1.00980032, 1.04114435]), 'Gelman-Rubin': 0.9998193760491381}",Yes,0.9935339302108025,"{'CI': array([0.9784994 , 1.00851108]), 'Gelman-Rubin': 0.9997687957692862}",No
4,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0447975949158563,"{'CI': array([1.01127377, 1.07843318]), 'Gelman-Rubin': 0.9999107145286744}",Yes,1.0059161831390846,"{'CI': array([0.97178612, 1.04207368]), 'Gelman-Rubin': 0.9999744996631915}",No
5,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,0.9692600199270134,"{'CI': array([0.95171392, 0.98696266]), 'Gelman-Rubin': 0.999757154333146}",Yes,1.0146022145207734,"{'CI': array([0.99479707, 1.03199866]), 'Gelman-Rubin': 0.9998832765114947}",No
6,Certain disorders involving the immune mechanism|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0419435402815989,"{'CI': array([1.02241461, 1.06261066]), 'Gelman-Rubin': 0.999798242404442}",Yes,1.0093583509600033,"{'CI': array([0.99019369, 1.02945541]), 'Gelman-Rubin': 0.999786647528576}",No
7,"Coagulation defects, purpura and other haemorrhagic conditions|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-",diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0383042931744073,"{'CI': array([1.0168234, 1.0595325]), 'Gelman-Rubin': 0.9998428726272756}",Yes,1.0131253590939353,"{'CI': array([0.99275582, 1.03541889]), 'Gelman-Rubin': 0.9997602119706772}",No
8,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0145549751796397,"{'CI': array([1.00229412, 1.02827348]), 'Gelman-Rubin': 0.9998928712403128}",Yes,1.0056570499121504,"{'CI': array([0.99127389, 1.01774562]), 'Gelman-Rubin': 0.9999671155142936}",No
9,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$61-",diseases of the circulatory system,1.0120715100883702,"{'CI': array([1.00099104, 1.02301906]), 'Gelman-Rubin': 0.9999058703732814}",Yes,0.9988665058320504,"{'CI': array([0.98762203, 1.01011912]), 'Gelman-Rubin': 0.9999615212098879}",No
10,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$M$61-",diseases of the circulatory system,1.0134408168888185,"{'CI': array([1.00259391, 1.023276  ]), 'Gelman-Rubin': 0.9997801172056439}",Yes,0.9939414078808182,"{'CI': array([0.98373207, 1.00353583]), 'Gelman-Rubin': 0.9998340921705391}",No
11,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0297438062000122,"{'CI': array([1.02454224, 1.03478233]), 'Gelman-Rubin': 0.9999559364263334}",Yes,0.9982305382188039,"{'CI': array([0.99328945, 1.00322863]), 'Gelman-Rubin': 0.9999514555279914}",No
