,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.018984610209345,"{'CI': array([1.00778448, 1.03026833]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00628964, 1.03178708]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9941059476795037,"{'CI': array([0.98336259, 1.00492681]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98336259, 1.00492681]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0233498753283776,"{'CI': array([1.00920142, 1.0376318 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00731512, 1.03955627]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0026630752693366,"{'CI': array([0.98873536, 1.01672093]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98873536, 1.01672093]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0462622954524525,"{'CI': array([1.02942469, 1.06328783]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.027182  , 1.06558428]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9840959236811934,"{'CI': array([0.96841114, 0.999947  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96596286, 1.00245162]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0156390152251944,"{'CI': array([1.0029028, 1.0284837]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00120394, 1.03021359]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9869745306318677,"{'CI': array([0.9745712 , 0.99948167]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97263272, 1.00145532]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0534239853298666,"{'CI': array([1.03601206, 1.07103648]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03369333, 1.0734126 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9990098283688005,"{'CI': array([0.98251868, 1.01568398]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98251868, 1.01568398]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0358043111932427,"{'CI': array([1.0229637 , 1.04875445]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02125092, 1.05049855]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0014347209797965,"{'CI': array([0.98876457, 1.01421269]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98876457, 1.01421269]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0378039516413735,"{'CI': array([1.02075492, 1.05504648]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01848429, 1.05737245]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9885752977833919,"{'CI': array([0.97230999, 1.00501951]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97230999, 1.00501951]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0868228259798474,"{'CI': array([1.03959976, 1.13553409]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0333768 , 1.14218307]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.003572195384343,"{'CI': array([0.96014422, 1.04829075]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96014422, 1.04829075]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.062386919613987,"{'CI': array([1.0150495 , 1.11123211]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00881246, 1.11790078]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9783029586772188,"{'CI': array([0.93478566, 1.02312759]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93478566, 1.02312759]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,0.9752198842033164,"{'CI': array([0.95597593, 0.99471616]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95341541, 0.99734886]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0109736025075138,"{'CI': array([0.99087248, 1.03134685]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99087248, 1.03134685]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
