,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0189845474038761,"{'CI': array([1.00778444, 1.03026825]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00628961, 1.03178699]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9941059796984746,"{'CI': array([0.98336264, 1.00492682]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98336264, 1.00492682]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0233497489343253,"{'CI': array([1.00920134, 1.03763163]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00731505, 1.03955609]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.002663078014177,"{'CI': array([0.98873541, 1.01672089]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98873541, 1.01672089]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0462619317208213,"{'CI': array([1.0294244 , 1.06328739]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02718172, 1.06558383]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.984096071281944,"{'CI': array([0.96841135, 0.99994709]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96596308, 1.0024517 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0156389400124957,"{'CI': array([1.00290276, 1.02848359]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0012039 , 1.03021348]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9869745980731086,"{'CI': array([0.9745713 , 0.99948171]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97263282, 1.00145535]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.053423536144086,"{'CI': array([1.0360117 , 1.07103595]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03369297, 1.07341205]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.999009863246921,"{'CI': array([0.98251878, 1.01568394]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98251878, 1.01568394]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0358041380827285,"{'CI': array([1.02296356, 1.04875424]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02125079, 1.05049834]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0014347177636405,"{'CI': array([0.9887646 , 1.01421266]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9887646 , 1.01421266]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0378036297436197,"{'CI': array([1.02075467, 1.05504608]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01848405, 1.05737204]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9885753997663733,"{'CI': array([0.97231016, 1.00501954]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97231016, 1.00501954]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0868174967584205,"{'CI': array([1.03959606, 1.13552704]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03337331, 1.14217577]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0035721606190857,"{'CI': array([0.96014546, 1.04828937]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96014546, 1.04828937]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0623829964201084,"{'CI': array([1.01504723, 1.11122644]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0088104 , 1.11789487]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9783044810551914,"{'CI': array([0.93478846, 1.02312776]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93478846, 1.02312776]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,0.9752201730591237,"{'CI': array([0.95597633, 0.99471634]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95341583, 0.99734902]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0109734587278751,"{'CI': array([0.99087246, 1.03134657]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99087246, 1.03134657]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
