,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9988528443544861,"{'CI': array([0.96707498, 1.03005737]), 'Gelman-Rubin': 0.9998684032369826}",No,0.9978510412389072,"{'CI': array([0.9510111 , 1.04912104]), 'Gelman-Rubin': 1.0000367268673136}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9984936211774738,"{'CI': array([0.96911535, 1.03383305]), 'Gelman-Rubin': 0.9999413309383278}",No,0.9949477785212317,"{'CI': array([0.94591557, 1.04132194]), 'Gelman-Rubin': 0.9997862123901372}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9964242882612414,"{'CI': array([0.96561265, 1.02689829]), 'Gelman-Rubin': 0.9998942578947209}",No,1.0076632835890529,"{'CI': array([0.96104164, 1.05162062]), 'Gelman-Rubin': 0.9998860117330408}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9945451827235303,"{'CI': array([0.96744054, 1.02024186]), 'Gelman-Rubin': 1.000186115794212}",No,1.0011109273129664,"{'CI': array([0.96329124, 1.03651964]), 'Gelman-Rubin': 0.9998863990807387}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0046714010077757,"{'CI': array([0.97932843, 1.02739535]), 'Gelman-Rubin': 1.0000060345839619}",No,0.9801729247995162,"{'CI': array([0.94947698, 1.01440668]), 'Gelman-Rubin': 1.0000855544147198}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9992854873621373,"{'CI': array([0.96983671, 1.03309056]), 'Gelman-Rubin': 0.9998024646901492}",No,1.0033803707213649,"{'CI': array([0.95931038, 1.05444211]), 'Gelman-Rubin': 1.0001306555960718}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0035374183138084,"{'CI': array([0.97127841, 1.03696658]), 'Gelman-Rubin': 0.9999809550981359}",No,1.0015774437361518,"{'CI': array([0.95219275, 1.05304488]), 'Gelman-Rubin': 1.0000309637466487}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0010163256871045,"{'CI': array([0.9698055 , 1.03442113]), 'Gelman-Rubin': 0.9997769563538011}",No,1.0137988387356467,"{'CI': array([0.96577946, 1.06063841]), 'Gelman-Rubin': 0.999935761209457}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.001571017799179,"{'CI': array([0.97633409, 1.02924851]), 'Gelman-Rubin': 0.9998313717223826}",No,1.0035329064482674,"{'CI': array([0.96995472, 1.03888561]), 'Gelman-Rubin': 0.9997720334699179}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0117945705739573,"{'CI': array([0.98987686, 1.03661011]), 'Gelman-Rubin': 1.0017020966201802}",No,0.9875183443011644,"{'CI': array([0.95701271, 1.01978588]), 'Gelman-Rubin': 1.0000436849499212}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9991056359651634,"{'CI': array([0.96433988, 1.03139787]), 'Gelman-Rubin': 0.9999681087661972}",No,1.007610724103196,"{'CI': array([0.95843276, 1.05826837]), 'Gelman-Rubin': 0.9999658595711282}",No
11,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9991690043616801,"{'CI': array([0.97082446, 1.03005991]), 'Gelman-Rubin': 0.9997932681065986}",No,1.00017355637522,"{'CI': array([0.95115676, 1.05387338]), 'Gelman-Rubin': 0.9998846481148457}",No
12,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9959837393478618,"{'CI': array([0.96484261, 1.02785004]), 'Gelman-Rubin': 0.9999150484090457}",No,0.999240014633498,"{'CI': array([0.95395845, 1.04893687]), 'Gelman-Rubin': 0.9998604673184297}",No
13,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9968961198492634,"{'CI': array([0.96554435, 1.02824123]), 'Gelman-Rubin': 0.9998920807569776}",No,0.9989517865529722,"{'CI': array([0.95632895, 1.0415304 ]), 'Gelman-Rubin': 0.9998260556937327}",No
14,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9974865369655757,"{'CI': array([0.9705232 , 1.02555698]), 'Gelman-Rubin': 0.9998097546302515}",No,1.000950088152787,"{'CI': array([0.96020012, 1.044179  ]), 'Gelman-Rubin': 0.9999564180564888}",No
15,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0010364009456905,"{'CI': array([0.96901132, 1.0323213 ]), 'Gelman-Rubin': 0.9999020731781231}",No,1.0006466041974842,"{'CI': array([0.95021645, 1.0516817 ]), 'Gelman-Rubin': 0.9997657889446422}",No
16,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0012166235741191,"{'CI': array([0.96882889, 1.02908283]), 'Gelman-Rubin': 0.9997830041131892}",No,1.0041765844546136,"{'CI': array([0.95449449, 1.05369189]), 'Gelman-Rubin': 1.0001164534704856}",No
17,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9994800077610329,"{'CI': array([0.97145771, 1.02986498]), 'Gelman-Rubin': 0.9998323644330955}",No,0.99502032861193,"{'CI': array([0.94591941, 1.04263703]), 'Gelman-Rubin': 0.9999554897375057}",No
18,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9967037041860435,"{'CI': array([0.9664768 , 1.02554722]), 'Gelman-Rubin': 1.0000124346989172}",No,0.9939342239451001,"{'CI': array([0.9533729, 1.0344746]), 'Gelman-Rubin': 0.9999526031718974}",No
19,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0016078525107754,"{'CI': array([0.97329872, 1.02955513]), 'Gelman-Rubin': 0.9997870498237043}",No,0.9907637280358654,"{'CI': array([0.95231715, 1.03207644]), 'Gelman-Rubin': 0.9999304895492561}",No
20,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9987144136259949,"{'CI': array([0.96741445, 1.03077788]), 'Gelman-Rubin': 0.9998006213100776}",No,1.0005955368331272,"{'CI': array([0.9555653 , 1.05576366]), 'Gelman-Rubin': 0.9999704935979244}",No
21,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0011536048386216,"{'CI': array([0.97110572, 1.0318527 ]), 'Gelman-Rubin': 0.999754831257482}",No,0.9989942673757868,"{'CI': array([0.94785936, 1.05044019]), 'Gelman-Rubin': 0.999870530915982}",No
22,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0018036957566396,"{'CI': array([0.97080008, 1.03534163]), 'Gelman-Rubin': 0.9997930101773975}",No,0.9952877247504756,"{'CI': array([0.94326704, 1.04432144]), 'Gelman-Rubin': 0.9998943753531099}",No
23,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.0004709930674776,"{'CI': array([0.97213158, 1.03337246]), 'Gelman-Rubin': 0.9998694750265985}",No,0.9991665836383493,"{'CI': array([0.95094157, 1.04868442]), 'Gelman-Rubin': 0.9999327878212191}",No
24,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0052037867258516,"{'CI': array([0.97415778, 1.03664172]), 'Gelman-Rubin': 0.9999386475043434}",No,0.9993610286546549,"{'CI': array([0.95249777, 1.05006953]), 'Gelman-Rubin': 0.9998089776103203}",No
25,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9979275916468296,"{'CI': array([0.9686381 , 1.02579256]), 'Gelman-Rubin': 0.9999226251174742}",No,1.0142132348730555,"{'CI': array([0.97222048, 1.06063569]), 'Gelman-Rubin': 0.9999161800704899}",No
26,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.0013568444665486,"{'CI': array([0.97092894, 1.03469522]), 'Gelman-Rubin': 0.9998495960702528}",No,1.0016502185581044,"{'CI': array([0.95698976, 1.05308511]), 'Gelman-Rubin': 0.9998515878706038}",No
27,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9964054929979483,"{'CI': array([0.96352688, 1.02529405]), 'Gelman-Rubin': 1.0000242304729126}",No,0.9958528992522105,"{'CI': array([0.94975635, 1.0445889 ]), 'Gelman-Rubin': 0.99980280191348}",No
28,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0015445669356309,"{'CI': array([0.9711494 , 1.03148906]), 'Gelman-Rubin': 0.999826683822094}",No,0.9999665017659979,"{'CI': array([0.95369769, 1.04563757]), 'Gelman-Rubin': 0.9998840192208437}",No
29,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9987448907988137,"{'CI': array([0.97033679, 1.02685992]), 'Gelman-Rubin': 1.0001703277923952}",No,1.0011843293395049,"{'CI': array([0.95504735, 1.05186797]), 'Gelman-Rubin': 0.9997908344345061}",No
30,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0035558214215095,"{'CI': array([0.97405985, 1.03552211]), 'Gelman-Rubin': 1.0004111479725712}",No,1.0026841661602193,"{'CI': array([0.95382784, 1.05552422]), 'Gelman-Rubin': 0.9998725290057884}",No
31,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$11-20","bacterial infections, and other intestinal infectious diseases, and stds",0.9986729091889951,"{'CI': array([0.96535221, 1.02899107]), 'Gelman-Rubin': 0.9998026510907606}",No,1.0010036873080317,"{'CI': array([0.94989994, 1.0564414 ]), 'Gelman-Rubin': 1.0004355159981857}",No
32,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9987637723380532,"{'CI': array([0.97043789, 1.02869092]), 'Gelman-Rubin': 0.9999239036555426}",No,0.9931092229201264,"{'CI': array([0.94512041, 1.04175473]), 'Gelman-Rubin': 0.9999392668230452}",No
33,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.00050231509601,"{'CI': array([0.9721756 , 1.03143297]), 'Gelman-Rubin': 0.9999232586328075}",No,0.9938908554301048,"{'CI': array([0.94727066, 1.04081636]), 'Gelman-Rubin': 0.9998265130355324}",No
34,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0032800005257965,"{'CI': array([0.97236763, 1.03326466]), 'Gelman-Rubin': 0.9998500318251785}",No,0.9968491062454857,"{'CI': array([0.95272091, 1.04291904]), 'Gelman-Rubin': 0.9998413108518497}",No
35,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.002302889285428,"{'CI': array([0.97163545, 1.03301119]), 'Gelman-Rubin': 0.9999431862635352}",No,1.0020225388266455,"{'CI': array([0.95422796, 1.05273739]), 'Gelman-Rubin': 0.9997984342579109}",No
36,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$11-20","bacterial infections, and other intestinal infectious diseases, and stds",0.9999313352228393,"{'CI': array([0.96752728, 1.03223349]), 'Gelman-Rubin': 0.9999573229779647}",No,0.9988269341029354,"{'CI': array([0.94847509, 1.05448009]), 'Gelman-Rubin': 0.9999541946692175}",No
37,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9994932688920953,"{'CI': array([0.96840972, 1.0300165 ]), 'Gelman-Rubin': 0.9999233042077528}",No,1.0036893493667354,"{'CI': array([0.95693371, 1.05444611]), 'Gelman-Rubin': 1.0000223182388674}",No
38,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9997784886174044,"{'CI': array([0.96897886, 1.0307636 ]), 'Gelman-Rubin': 1.0000659764870625}",No,0.994662907382085,"{'CI': array([0.94634566, 1.04206446]), 'Gelman-Rubin': 1.0001244581560322}",No
39,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9971269956997478,"{'CI': array([0.96791128, 1.02967886]), 'Gelman-Rubin': 0.9998593854207177}",No,0.9935914178888459,"{'CI': array([0.94941512, 1.04377838]), 'Gelman-Rubin': 0.9998568691686553}",No
40,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",0.998810614506355,"{'CI': array([0.96753966, 1.02874572]), 'Gelman-Rubin': 0.9998090196482455}",No,0.9974624985861881,"{'CI': array([0.94608511, 1.04464285]), 'Gelman-Rubin': 0.9998147995581032}",No
41,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$11-20","bacterial infections, and other intestinal infectious diseases, and stds",1.000783354238105,"{'CI': array([0.97022352, 1.03216935]), 'Gelman-Rubin': 0.9998249720924939}",No,1.0003777447507212,"{'CI': array([0.95076856, 1.04780161]), 'Gelman-Rubin': 0.9997762321071109}",No
42,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.0008939524717142,"{'CI': array([0.9712065 , 1.03215828]), 'Gelman-Rubin': 1.0000753970500589}",No,0.9951863956500393,"{'CI': array([0.94493325, 1.04052566]), 'Gelman-Rubin': 0.9998871092066023}",No
