,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9849929584919038,"{'CI': array([0.85697512, 1.12503308]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.85697512, 1.12503308]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9719208021177369,"{'CI': array([0.83305254, 1.12510483]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83305254, 1.12510483]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9552599047444281,"{'CI': array([0.78728359, 1.14478022]), 'Error Bound': 1.7932423990468598e-213, 'Reliable CI?': 'Yes'}","{'CI': array([0.78728359, 1.14478022]), 'Error Bound': 1.7932423990468598e-213, 'Reliable CI?': 'Yes'}",No,0.9160306395958634,"{'CI': array([0.74940218, 1.10414638]), 'Error Bound': 1.980390678433362e-205, 'Reliable CI?': 'Yes'}","{'CI': array([0.74940218, 1.10414638]), 'Error Bound': 1.980390678433362e-205, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9755287340290271,"{'CI': array([0.89415822, 1.06160804]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89415822, 1.06160804]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0209040132169362,"{'CI': array([0.93155996, 1.11586161]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93155996, 1.11586161]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9870379645537111,"{'CI': array([0.94007805, 1.03552229]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94007805, 1.03552229]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9909482920411449,"{'CI': array([0.94088182, 1.04274811]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94088182, 1.04274811]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0187547590474442,"{'CI': array([0.97952118, 1.05903428]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97952118, 1.05903428]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9546615982019725,"{'CI': array([0.91432617, 0.99612783]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90137326, 1.00994155]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9951035297597418,"{'CI': array([0.88391784, 1.11521498]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88391784, 1.11521498]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0144332402172365,"{'CI': array([0.88955232, 1.15059569]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88955232, 1.15059569]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.136074505339448,"{'CI': array([0.94975314, 1.34752063]), 'Error Bound': 1.3294261074648394e-217, 'Reliable CI?': 'Yes'}","{'CI': array([0.94975314, 1.34752063]), 'Error Bound': 1.3294261074648394e-217, 'Reliable CI?': 'Yes'}",No,1.0113664289156827,"{'CI': array([0.83645278, 1.20925698]), 'Error Bound': 5.962324300682814e-212, 'Reliable CI?': 'Yes'}","{'CI': array([0.83645278, 1.20925698]), 'Error Bound': 5.962324300682814e-212, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0194115035494673,"{'CI': array([0.92436325, 1.12084682]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92436325, 1.12084682]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0626379492116655,"{'CI': array([0.95749361, 1.17552963]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95749361, 1.17552963]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.011664748229325,"{'CI': array([0.96559848, 1.05918467]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96559848, 1.05918467]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9955805172429033,"{'CI': array([0.94686344, 1.04593468]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94686344, 1.04593468]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0380106122632113,"{'CI': array([0.99832989, 1.07875446]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99832989, 1.07875446]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9671649692461789,"{'CI': array([0.92662928, 1.00883781]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92662928, 1.00883781]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
