,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.033095885018714,"{'CI': array([0.94539077, 1.12618894]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94539077, 1.12618894]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.010256023714224,"{'CI': array([0.92218602, 1.10379663]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92218602, 1.10379663]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.007729264909062,"{'CI': array([0.93146926, 1.08806607]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93146926, 1.08806607]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9892062511378119,"{'CI': array([0.91210454, 1.07049955]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91210454, 1.07049955]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0169549900424153,"{'CI': array([0.86467126, 1.18634687]), 'Error Bound': 1.4865683036144712e-284, 'Reliable CI?': 'Yes'}","{'CI': array([0.86467126, 1.18634687]), 'Error Bound': 1.4865683036144712e-284, 'Reliable CI?': 'Yes'}",No,1.0280252806489192,"{'CI': array([0.87210748, 1.20183526]), 'Error Bound': 3.2991744700869273e-275, 'Reliable CI?': 'Yes'}","{'CI': array([0.87210748, 1.20183526]), 'Error Bound': 3.2991744700869273e-275, 'Reliable CI?': 'Yes'}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0176791814426212,"{'CI': array([0.87351502, 1.17708129]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87351502, 1.17708129]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9744251410511162,"{'CI': array([0.83419467, 1.12924593]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83419467, 1.12924593]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9373506101924554,"{'CI': array([0.76191638, 1.13660394]), 'Error Bound': 5.370721224848378e-190, 'Reliable CI?': 'Yes'}","{'CI': array([0.76191638, 1.13660394]), 'Error Bound': 5.370721224848378e-190, 'Reliable CI?': 'Yes'}",No,0.9820568303546768,"{'CI': array([0.80793217, 1.17919231]), 'Error Bound': 1.1930140247764253e-205, 'Reliable CI?': 'Yes'}","{'CI': array([0.80793217, 1.17919231]), 'Error Bound': 1.1930140247764253e-205, 'Reliable CI?': 'Yes'}",No
5,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0290480415388572,"{'CI': array([0.97390815, 1.08627317]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97390815, 1.08627317]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0229205077888672,"{'CI': array([0.95752618, 1.09127017]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95752618, 1.09127017]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0187644517575665,"{'CI': array([0.96825369, 1.07102569]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96825369, 1.07102569]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0074815848296972,"{'CI': array([0.9474812 , 1.06997381]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9474812 , 1.06997381]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",0.9950078445032514,"{'CI': array([0.87051377, 1.13079874]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87051377, 1.13079874]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9248125722405172,"{'CI': array([0.80714506, 1.05276957]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.80714506, 1.05276957]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0020170957859784,"{'CI': array([0.88575053, 1.12805168]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88575053, 1.12805168]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0496847353842005,"{'CI': array([0.92674418, 1.18340151]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92674418, 1.18340151]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Birth trauma|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,1.0453965231420106,"{'CI': array([0.88002986, 1.23091794]), 'Error Bound': 6.579272452800252e-249, 'Reliable CI?': 'Yes'}","{'CI': array([0.88002986, 1.23091794]), 'Error Bound': 6.579272452800252e-249, 'Reliable CI?': 'Yes'}",No,1.0377547499435462,"{'CI': array([0.86051425, 1.23839941]), 'Error Bound': 1.7802415815444415e-213, 'Reliable CI?': 'Yes'}","{'CI': array([0.86051425, 1.23839941]), 'Error Bound': 1.7802415815444415e-213, 'Reliable CI?': 'Yes'}",No
