,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9998680177276035,"{'CI': array([0.98431461, 1.01653561]), 'Gelman-Rubin': 1.001385368712207}",No,1.0077048351772246,"{'CI': array([0.95960782, 1.0592695 ]), 'Gelman-Rubin': 0.9998745075765938}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.999999368723947,"{'CI': array([0.98626587, 1.01720572]), 'Gelman-Rubin': 0.9997927223422578}",No,1.0023826975999497,"{'CI': array([0.95002459, 1.05738504]), 'Gelman-Rubin': 0.9997567545526413}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9998012116312953,"{'CI': array([0.98336655, 1.01299565]), 'Gelman-Rubin': 1.003211498333675}",No,1.0025222861880039,"{'CI': array([0.95449742, 1.04879897]), 'Gelman-Rubin': 0.9999162215139981}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9999404772974796,"{'CI': array([0.98453002, 1.01639138]), 'Gelman-Rubin': 1.0007326583912293}",No,0.9990800723133257,"{'CI': array([0.96168213, 1.03654885]), 'Gelman-Rubin': 0.999865188969687}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0002017352210066,"{'CI': array([0.98594688, 1.01407703]), 'Gelman-Rubin': 1.003161146262461}",No,0.991690227516502,"{'CI': array([0.95857481, 1.02562136]), 'Gelman-Rubin': 0.9999220603182698}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9996180704113423,"{'CI': array([0.98489965, 1.01044046]), 'Gelman-Rubin': 1.0184328736928163}",No,1.009159661521099,"{'CI': array([0.96425234, 1.06296649]), 'Gelman-Rubin': 1.0002296045737513}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0000415653013344,"{'CI': array([0.98508715, 1.01907829]), 'Gelman-Rubin': 1.000001877449634}",No,0.9993314691716078,"{'CI': array([0.94756903, 1.05585662]), 'Gelman-Rubin': 0.9998372430567165}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9994190420256989,"{'CI': array([0.98261556, 1.01121789]), 'Gelman-Rubin': 1.0472856208418992}",No,1.0031027089963078,"{'CI': array([0.95613843, 1.05544703]), 'Gelman-Rubin': 0.9998124901315596}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.00088916420639,"{'CI': array([0.98977461, 1.0178416 ]), 'Gelman-Rubin': 1.0944778491810911}",No,0.9987129189756745,"{'CI': array([0.96340727, 1.0365482 ]), 'Gelman-Rubin': 0.9999950683889355}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0007966725728703,"{'CI': array([0.98813635, 1.01609041]), 'Gelman-Rubin': 1.0736061310319183}",No,0.999862319036312,"{'CI': array([0.96660732, 1.03154365]), 'Gelman-Rubin': 0.9998872957050964}",No
