,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9809970324680247,"{'CI': array([0.8497729 , 1.12489473]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8497729 , 1.12489473]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0235182037042043,"{'CI': array([0.88118118, 1.18065917]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88118118, 1.18065917]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9941973229346246,"{'CI': array([0.82257055, 1.18803804]), 'Error Bound': 1.9830694748103666e-215, 'Reliable CI?': 'Yes'}","{'CI': array([0.82257055, 1.18803804]), 'Error Bound': 1.9830694748103666e-215, 'Reliable CI?': 'Yes'}",No,0.9938156682708064,"{'CI': array([0.8150432 , 1.19681868]), 'Error Bound': 8.042512091446845e-198, 'Reliable CI?': 'Yes'}","{'CI': array([0.8150432 , 1.19681868]), 'Error Bound': 8.042512091446845e-198, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9863164419808087,"{'CI': array([0.90370543, 1.07376378]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90370543, 1.07376378]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9707743957663929,"{'CI': array([0.88597016, 1.06071188]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88597016, 1.06071188]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0034928738331472,"{'CI': array([0.95540843, 1.05316729]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95540843, 1.05316729]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.960112650607385,"{'CI': array([0.91184103, 1.01001099]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91184103, 1.01001099]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0099043643961736,"{'CI': array([0.9702316 , 1.05064923]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9702316 , 1.05064923]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9490212746906557,"{'CI': array([0.90906882, 0.990084  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90112402, 0.99852314]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9359979356268298,"{'CI': array([0.82470477, 1.05642445]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82470477, 1.05642445]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0194633683930054,"{'CI': array([0.89464332, 1.15553999]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89464332, 1.15553999]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0408525533866444,"{'CI': array([0.86572764, 1.23876365]), 'Error Bound': 8.913076259091246e-220, 'Reliable CI?': 'Yes'}","{'CI': array([0.86572764, 1.23876365]), 'Error Bound': 8.913076259091246e-220, 'Reliable CI?': 'Yes'}",No,0.9563350662204245,"{'CI': array([0.79283626, 1.14015353]), 'Error Bound': 2.6846203670803142e-226, 'Reliable CI?': 'Yes'}","{'CI': array([0.79283626, 1.14015353]), 'Error Bound': 2.6846203670803142e-226, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9373471102662579,"{'CI': array([0.84723036, 1.03335209]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84723036, 1.03335209]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9758918288020688,"{'CI': array([0.87921295, 1.07928545]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87921295, 1.07928545]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.032343949712052,"{'CI': array([0.98477429, 1.08145392]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98477429, 1.08145392]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9594708999385637,"{'CI': array([0.91247214, 1.00801062]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91247214, 1.00801062]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.023263173907178,"{'CI': array([0.9831707 , 1.06444594]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9831707 , 1.06444594]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9614483741160689,"{'CI': array([0.92129394, 1.00271954]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92129394, 1.00271954]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9859130592985667,"{'CI': array([0.78209105, 1.22197736]), 'Error Bound': 1.1100659161519773e-148, 'Reliable CI?': 'Yes'}","{'CI': array([0.78209105, 1.22197736]), 'Error Bound': 1.1100659161519773e-148, 'Reliable CI?': 'Yes'}",No,1.0722009992895212,"{'CI': array([0.83867693, 1.34762298]), 'Error Bound': 3.435513872984294e-125, 'Reliable CI?': 'Yes'}","{'CI': array([0.83867693, 1.34762298]), 'Error Bound': 3.435513872984294e-125, 'Reliable CI?': 'Yes'}",No
11,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.2919509223629877,"{'CI': array([0.99986519, 1.64702384]), 'Error Bound': 2.939596255067325e-101, 'Reliable CI?': 'Yes'}","{'CI': array([0.99986519, 1.64702384]), 'Error Bound': 2.939596255067325e-101, 'Reliable CI?': 'Yes'}",No,1.0753598680882388,"{'CI': array([0.82023749, 1.38119715]), 'Error Bound': 1.5994986920363078e-104, 'Reliable CI?': 'Yes'}","{'CI': array([0.82023749, 1.38119715]), 'Error Bound': 1.5994986920363078e-104, 'Reliable CI?': 'Yes'}",No
12,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0001427348071856,"{'CI': array([0.89027111, 1.11869424]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89027111, 1.11869424]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9752187852725241,"{'CI': array([0.86428599, 1.09508791]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86428599, 1.09508791]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9542588975968539,"{'CI': array([0.88315097, 1.02896169]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88315097, 1.02896169]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.931185921699506,"{'CI': array([0.86074461, 1.00518218]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86074461, 1.00518218]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
14,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0130568722530915,"{'CI': array([0.94678282, 1.08237455]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94678282, 1.08237455]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9106137628694125,"{'CI': array([0.84697991, 0.97715061]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83444175, 0.9909832 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
15,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0418610358758784,"{'CI': array([0.84411848, 1.26916635]), 'Error Bound': 1.210127648680105e-170, 'Reliable CI?': 'Yes'}","{'CI': array([0.84411848, 1.26916635]), 'Error Bound': 1.210127648680105e-170, 'Reliable CI?': 'Yes'}",No,1.0376583300538011,"{'CI': array([0.82659115, 1.28281463]), 'Error Bound': 4.993867530186197e-148, 'Reliable CI?': 'Yes'}","{'CI': array([0.82659115, 1.28281463]), 'Error Bound': 4.993867530186197e-148, 'Reliable CI?': 'Yes'}",No
16,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9968093585227153,"{'CI': array([0.76355131, 1.2730524 ]), 'Error Bound': 7.041419825757748e-114, 'Reliable CI?': 'Yes'}","{'CI': array([0.76355131, 1.2730524 ]), 'Error Bound': 7.041419825757748e-114, 'Reliable CI?': 'Yes'}",No,0.832551249192864,"{'CI': array([0.62794167, 1.07168747]), 'Error Bound': 3.1356235660234874e-118, 'Reliable CI?': 'Yes'}","{'CI': array([0.62794167, 1.07168747]), 'Error Bound': 3.1356235660234874e-118, 'Reliable CI?': 'Yes'}",No
17,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0211202497988707,"{'CI': array([0.8882435 , 1.16680693]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8882435 , 1.16680693]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9325428274398736,"{'CI': array([0.80687531, 1.0699841 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.80687531, 1.0699841 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
18,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9951698822520051,"{'CI': array([0.92431476, 1.06954263]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92431476, 1.06954263]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9446009315397548,"{'CI': array([0.87471393, 1.01796888]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87471393, 1.01796888]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
