,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9810079827327659,"{'CI': array([0.84982023, 1.12486189]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84982023, 1.12486189]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.023502079774396,"{'CI': array([0.88121168, 1.1805863 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88121168, 1.1805863 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9942037876287363,"{'CI': array([0.8226594 , 1.18793937]), 'Error Bound': 1.202143232957895e-215, 'Reliable CI?': 'Yes'}","{'CI': array([0.8226594 , 1.18793937]), 'Error Bound': 1.202143232957895e-215, 'Reliable CI?': 'Yes'}",No,0.9938234586616755,"{'CI': array([0.81514427, 1.19670613]), 'Error Bound': 4.8751852995537546e-198, 'Reliable CI?': 'Yes'}","{'CI': array([0.81514427, 1.19670613]), 'Error Bound': 4.8751852995537546e-198, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9863196589025693,"{'CI': array([0.90371756, 1.073757  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90371756, 1.073757  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9707816187728701,"{'CI': array([0.88598702, 1.06070825]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88598702, 1.06070825]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.003492656041105,"{'CI': array([0.95540995, 1.05316522]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95540995, 1.05316522]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9601158178677677,"{'CI': array([0.91184595, 1.01001228]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91184595, 1.01001228]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0099040150453351,"{'CI': array([0.97023222, 1.05064786]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97023222, 1.05064786]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9490241914288355,"{'CI': array([0.90907272, 0.99008588]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90112811, 0.9985248 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9360263983773642,"{'CI': array([0.82475513, 1.05642718]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82475513, 1.05642718]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0194531072901183,"{'CI': array([0.89466433, 1.15549261]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89466433, 1.15549261]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0408123405874883,"{'CI': array([0.86577489, 1.23861208]), 'Error Bound': 5.403194452468359e-220, 'Reliable CI?': 'Yes'}","{'CI': array([0.86577489, 1.23861208]), 'Error Bound': 5.403194452468359e-220, 'Reliable CI?': 'Yes'}",No,0.9563782605457448,"{'CI': array([0.79295018, 1.14010699]), 'Error Bound': 1.6274647006831575e-226, 'Reliable CI?': 'Yes'}","{'CI': array([0.79295018, 1.14010699]), 'Error Bound': 1.6274647006831575e-226, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9373654094291733,"{'CI': array([0.84726018, 1.03335728]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84726018, 1.03335728]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.97589968829754,"{'CI': array([0.87923515, 1.0792769 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87923515, 1.0792769 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0323417564505035,"{'CI': array([0.98477378, 1.08144993]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98477378, 1.08144993]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9594739549156821,"{'CI': array([0.91247681, 1.00801195]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91247681, 1.00801195]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0232621633952768,"{'CI': array([0.98317069, 1.06444388]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98317069, 1.06444388]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9614506120568992,"{'CI': array([0.92129718, 1.00272072]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92129718, 1.00272072]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
