,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0131144392645353,"{'CI': array([0.96152547, 1.0744539 ]), 'Gelman-Rubin': 0.9998434514383377}",No,1.0009765764841323,"{'CI': array([0.96585811, 1.0360077 ]), 'Gelman-Rubin': 1.0000117772116557}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.003948750238096,"{'CI': array([0.95299137, 1.05781634]), 'Gelman-Rubin': 0.9998571494815882}",No,0.9973044538647754,"{'CI': array([0.96326677, 1.03403674]), 'Gelman-Rubin': 0.9998112791559401}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0027183232399053,"{'CI': array([0.93637501, 1.07024921]), 'Gelman-Rubin': 0.9999573065178515}",No,1.0012876036283875,"{'CI': array([0.9617507, 1.0415092]), 'Gelman-Rubin': 0.9997584947241849}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0031042006791895,"{'CI': array([0.93870655, 1.06673894]), 'Gelman-Rubin': 0.9997828787371222}",No,0.9979470352259233,"{'CI': array([0.95962887, 1.03570474]), 'Gelman-Rubin': 0.999826814815305}",No
4,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9926355629958575,"{'CI': array([0.92097313, 1.06120681]), 'Gelman-Rubin': 1.0000048583513468}",No,0.9990033014938854,"{'CI': array([0.95792273, 1.03918443]), 'Gelman-Rubin': 0.9999143067592494}",No
5,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.018633804878507,"{'CI': array([0.97330523, 1.06312234]), 'Gelman-Rubin': 0.9998398318814735}",No,1.00503633079929,"{'CI': array([0.97251404, 1.04271434]), 'Gelman-Rubin': 0.9998178763998155}",No
6,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0132215313461939,"{'CI': array([0.96898597, 1.05862148]), 'Gelman-Rubin': 1.0003548679588228}",No,1.0013320393769292,"{'CI': array([0.96785243, 1.036326  ]), 'Gelman-Rubin': 0.9999400274335105}",No
7,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",0.9989693721812986,"{'CI': array([0.93856179, 1.06121225]), 'Gelman-Rubin': 0.9998198070701626}",No,0.9932504848031938,"{'CI': array([0.94912205, 1.03118568]), 'Gelman-Rubin': 1.0002261419036726}",No
8,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0006595014262791,"{'CI': array([0.93989827, 1.06061644]), 'Gelman-Rubin': 0.9998066022652069}",No,1.0041045367934325,"{'CI': array([0.96439927, 1.04979297]), 'Gelman-Rubin': 0.9998512691494029}",No
9,Birth trauma|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,1.0064423331616172,"{'CI': array([0.94443134, 1.06905285]), 'Gelman-Rubin': 1.0000027760811825}",No,1.0014905696271805,"{'CI': array([0.96104167, 1.04342127]), 'Gelman-Rubin': 0.9997712263335053}",No
10,Birth trauma|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,0.9917896189737007,"{'CI': array([0.92719994, 1.05625434]), 'Gelman-Rubin': 0.9998586726807561}",No,1.0060342816495262,"{'CI': array([0.96611049, 1.0520201 ]), 'Gelman-Rubin': 1.0002184105607888}",No
