,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0331040063743329,"{'CI': array([0.94538818, 1.12620912]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94538818, 1.12620912]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0102584422766794,"{'CI': array([0.92217761, 1.10381127]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92217761, 1.10381127]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0077308355435484,"{'CI': array([0.93146381, 1.08807544]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93146381, 1.08807544]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9892040285783638,"{'CI': array([0.91209508, 1.07050538]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91209508, 1.07050538]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0169686122922026,"{'CI': array([0.8646275 , 1.18643141]), 'Error Bound': 2.4522668410074457e-284, 'Reliable CI?': 'Yes'}","{'CI': array([0.8646275 , 1.18643141]), 'Error Bound': 2.4522668410074457e-284, 'Reliable CI?': 'Yes'}",No,1.0280471807870775,"{'CI': array([0.8720679 , 1.20193341]), 'Error Bound': 5.4423455968552825e-275, 'Reliable CI?': 'Yes'}","{'CI': array([0.8720679 , 1.20193341]), 'Error Bound': 5.4423455968552825e-275, 'Reliable CI?': 'Yes'}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0176918005033462,"{'CI': array([0.87347909, 1.17715319]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87347909, 1.17715319]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9744071718882057,"{'CI': array([0.83413225, 1.12928224]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83413225, 1.12928224]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9372787839290276,"{'CI': array([0.76175667, 1.13664616]), 'Error Bound': 8.860821191396901e-190, 'Reliable CI?': 'Yes'}","{'CI': array([0.76175667, 1.13664616]), 'Error Bound': 8.860821191396901e-190, 'Reliable CI?': 'Yes'}",No,0.9820370109587779,"{'CI': array([0.80782615, 1.17928316]), 'Error Bound': 1.9681957680490982e-205, 'Reliable CI?': 'Yes'}","{'CI': array([0.80782615, 1.17928316]), 'Error Bound': 1.9681957680490982e-205, 'Reliable CI?': 'Yes'}",No
5,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0290508239608427,"{'CI': array([0.97390829, 1.0862788 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97390829, 1.0862788 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.022923489122994,"{'CI': array([0.95752476, 1.09127795]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95752476, 1.09127795]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.018765994622326,"{'CI': array([0.96825321, 1.0710294 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96825321, 1.0710294 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0074823728385938,"{'CI': array([0.94747859, 1.06997828]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94747859, 1.06997828]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",0.9950056122836799,"{'CI': array([0.87048048, 1.13083347]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87048048, 1.13083347]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9247738313883908,"{'CI': array([0.8070805, 1.0527615]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8070805, 1.0527615]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0020183110744338,"{'CI': array([0.88572652, 1.12808254]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88572652, 1.12808254]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0497079108967282,"{'CI': array([0.92673762, 1.18345977]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92673762, 1.18345977]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Birth trauma|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,1.0454372282798827,"{'CI': array([0.8799969 , 1.23105106]), 'Error Bound': 1.08536344867046e-248, 'Reliable CI?': 'Yes'}","{'CI': array([0.8799969 , 1.23105106]), 'Error Bound': 1.08536344867046e-248, 'Reliable CI?': 'Yes'}",No,1.0377930929926245,"{'CI': array([0.86046167, 1.23855395]), 'Error Bound': 2.9369397779740192e-213, 'Reliable CI?': 'Yes'}","{'CI': array([0.86046167, 1.23855395]), 'Error Bound': 2.9369397779740192e-213, 'Reliable CI?': 'Yes'}",No
