,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9753903217987624,"{'CI': array([0.88729142, 1.06903602]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88729142, 1.06903602]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0182585950508098,"{'CI': array([0.92689825, 1.11550707]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92689825, 1.11550707]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0232169864280436,"{'CI': array([0.94304482, 1.10788043]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94304482, 1.10788043]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0123480703967618,"{'CI': array([0.93187728, 1.09736109]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93187728, 1.09736109]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9415106070177278,"{'CI': array([0.79683038, 1.10198077]), 'Error Bound': 2.012716015315306e-285, 'Reliable CI?': 'Yes'}","{'CI': array([0.79683038, 1.10198077]), 'Error Bound': 2.012716015315306e-285, 'Reliable CI?': 'Yes'}",No,1.070907025118757,"{'CI': array([0.90947631, 1.2513119 ]), 'Error Bound': 2.00362285367364e-270, 'Reliable CI?': 'Yes'}","{'CI': array([0.90947631, 1.2513119 ]), 'Error Bound': 2.00362285367364e-270, 'Reliable CI?': 'Yes'}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0284115704162757,"{'CI': array([0.88235188, 1.19006404]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88235188, 1.19006404]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0521234034716151,"{'CI': array([0.90254235, 1.21796425]), 'Error Bound': 2.50722753103954e-309, 'Reliable CI?': 'Yes'}","{'CI': array([0.90254235, 1.21796425]), 'Error Bound': 2.50722753103954e-309, 'Reliable CI?': 'Yes'}",No
4,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.044388033360068,"{'CI': array([0.85095312, 1.26598127]), 'Error Bound': 2.423134464099674e-179, 'Reliable CI?': 'Yes'}","{'CI': array([0.85095312, 1.26598127]), 'Error Bound': 2.423134464099674e-179, 'Reliable CI?': 'Yes'}",No,0.8630713560184996,"{'CI': array([0.70266321, 1.0437244 ]), 'Error Bound': 1.9746114305612338e-205, 'Reliable CI?': 'Yes'}","{'CI': array([0.70266321, 1.0437244 ]), 'Error Bound': 1.9746114305612338e-205, 'Reliable CI?': 'Yes'}",No
5,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.011035434966771,"{'CI': array([0.95014132, 1.07449813]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95014132, 1.07449813]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.991609520726426,"{'CI': array([0.92364265, 1.06281196]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92364265, 1.06281196]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",0.9742455049641516,"{'CI': array([0.91905692, 1.03156252]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91905692, 1.03156252]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0124948530556723,"{'CI': array([0.94826357, 1.07958724]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94826357, 1.07958724]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0022454270502799,"{'CI': array([0.87266502, 1.14407182]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87266502, 1.14407182]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0095810477178895,"{'CI': array([0.87937151, 1.15212629]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87937151, 1.15212629]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",0.9911641284953097,"{'CI': array([0.871959  , 1.12069647]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.871959  , 1.12069647]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0062260329724126,"{'CI': array([0.88100351, 1.14283115]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88100351, 1.14283115]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Birth trauma|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,0.9717238589835948,"{'CI': array([0.81867718, 1.14234688]), 'Error Bound': 5.426971754694913e-265, 'Reliable CI?': 'Yes'}","{'CI': array([0.81867718, 1.14234688]), 'Error Bound': 5.426971754694913e-265, 'Reliable CI?': 'Yes'}",No,1.0150810415530904,"{'CI': array([0.8472674 , 1.20392573]), 'Error Bound': 5.949680756862508e-232, 'Reliable CI?': 'Yes'}","{'CI': array([0.8472674 , 1.20392573]), 'Error Bound': 5.949680756862508e-232, 'Reliable CI?': 'Yes'}",No
10,Birth trauma|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,0.9779136646388337,"{'CI': array([0.84220718, 1.12722759]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84220718, 1.12722759]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.019476746790852,"{'CI': array([0.87522931, 1.17896807]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87522931, 1.17896807]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
11,Conditions involving the integument and temperature regulation of fetus and newborn|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,0.9714157636022586,"{'CI': array([0.83063981, 1.12693059]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83063981, 1.12693059]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9373576790009817,"{'CI': array([0.79951961, 1.089478  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.79951961, 1.089478  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
12,Conditions involving the integument and temperature regulation of fetus and newborn|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,1.029404557328772,"{'CI': array([0.91169976, 1.15702827]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91169976, 1.15702827]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.051220457117494,"{'CI': array([0.93189351, 1.18067661]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93189351, 1.18067661]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,Digestive system disorders of fetus and newborn|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,1.0311672499886004,"{'CI': array([0.76387382, 1.35569263]), 'Error Bound': 1.6719952611515568e-89, 'Reliable CI?': 'Yes'}","{'CI': array([0.76387382, 1.35569263]), 'Error Bound': 1.6719952611515568e-89, 'Reliable CI?': 'Yes'}",No,0.9676347892027116,"{'CI': array([0.71471185, 1.27253178]), 'Error Bound': 2.4741980530300187e-92, 'Reliable CI?': 'Yes'}","{'CI': array([0.71471185, 1.27253178]), 'Error Bound': 2.4741980530300187e-92, 'Reliable CI?': 'Yes'}",No
14,Digestive system disorders of fetus and newborn|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,0.9135226197645752,"{'CI': array([0.67284565, 1.20184886]), 'Error Bound': 6.045623053845841e-95, 'Reliable CI?': 'Yes'}","{'CI': array([0.67284565, 1.20184886]), 'Error Bound': 6.045623053845841e-95, 'Reliable CI?': 'Yes'}",No,1.0845061246648398,"{'CI': array([0.81928441, 1.40483551]), 'Error Bound': 2.439551580693075e-97, 'Reliable CI?': 'Yes'}","{'CI': array([0.81928441, 1.40483551]), 'Error Bound': 2.439551580693075e-97, 'Reliable CI?': 'Yes'}",No
15,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,0.9942720365009308,"{'CI': array([0.93887188, 1.05180132]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93887188, 1.05180132]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0217889965854414,"{'CI': array([0.96440878, 1.08143521]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96440878, 1.08143521]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
16,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,1.0004816555154572,"{'CI': array([0.94920542, 1.05357276]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94920542, 1.05357276]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0395599812826086,"{'CI': array([0.98572247, 1.09537526]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98572247, 1.09537526]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
