,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9999586194430496,"{'CI': array([0.92640156, 1.07939236]), 'Gelman-Rubin': 0.9999119028245241}",No,1.0140548596623253,"{'CI': array([0.94489612, 1.09302574]), 'Gelman-Rubin': 0.9998347159326146}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.010588681469404,"{'CI': array([0.93996483, 1.08937531]), 'Gelman-Rubin': 1.0001699807045419}",No,1.01684232071588,"{'CI': array([0.9480813 , 1.08591844]), 'Gelman-Rubin': 0.9998868434480225}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.967847845054461,"{'CI': array([0.92968715, 1.00454294]), 'Gelman-Rubin': 0.9999780175106419}",No,1.0085010948515187,"{'CI': array([0.97209613, 1.04383395]), 'Gelman-Rubin': 0.9999296148558537}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0011807192159945,"{'CI': array([0.98322969, 1.02034941]), 'Gelman-Rubin': 0.9998248337289584}",No,0.9958121132022605,"{'CI': array([0.97866579, 1.0152562 ]), 'Gelman-Rubin': 0.9998701199150101}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0074553691265533,"{'CI': array([0.97859099, 1.03384652]), 'Gelman-Rubin': 0.9998106553375693}",No,0.981519538597524,"{'CI': array([0.95715803, 1.0085754 ]), 'Gelman-Rubin': 0.9998267748565582}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0181455036687044,"{'CI': array([0.94865364, 1.09949056]), 'Gelman-Rubin': 0.9997962615283457}",No,1.0037918346880672,"{'CI': array([0.94028424, 1.07022306]), 'Gelman-Rubin': 0.9997840677294764}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.019587200190566,"{'CI': array([0.94533407, 1.09441719]), 'Gelman-Rubin': 1.0000421389463257}",No,1.0068401492051826,"{'CI': array([0.93990648, 1.07167388]), 'Gelman-Rubin': 0.9997795752646448}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0026285542684852,"{'CI': array([0.95270572, 1.05371399]), 'Gelman-Rubin': 0.9998609680170697}",No,0.976782870562367,"{'CI': array([0.92988362, 1.02606539]), 'Gelman-Rubin': 0.9998736806141587}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9802058559971639,"{'CI': array([0.95008749, 1.01061007]), 'Gelman-Rubin': 0.9997650035222239}",No,0.9903219781020155,"{'CI': array([0.96069049, 1.01972291]), 'Gelman-Rubin': 0.9997911249565617}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0077044960446484,"{'CI': array([0.97667721, 1.04280609]), 'Gelman-Rubin': 0.9997815946316835}",No,0.9838192680123071,"{'CI': array([0.95430423, 1.01738075]), 'Gelman-Rubin': 0.9999125759501136}",No
