,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0116942502382311,"{'CI': array([0.88417311, 1.15101539]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88417311, 1.15101539]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.041548418083636,"{'CI': array([0.90763562, 1.18838233]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90763562, 1.18838233]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.037453030414972,"{'CI': array([0.92452567, 1.15944731]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92452567, 1.15944731]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0386598218242014,"{'CI': array([0.92407528, 1.1625819 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92407528, 1.1625819 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9728995395315462,"{'CI': array([0.93327969, 1.01360425]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93327969, 1.01360425]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9996818322327006,"{'CI': array([0.9581606, 1.0423838]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9581606, 1.0423838]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0119077619866819,"{'CI': array([0.99234689, 1.03172596]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99234689, 1.03172596]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9845457678968808,"{'CI': array([0.96589731, 1.00343001]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96589731, 1.00343001]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0187611763807243,"{'CI': array([0.99116374, 1.0468722 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99116374, 1.0468722 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9689159661884882,"{'CI': array([0.943766  , 0.99449826]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9398528 , 0.99855801]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0567709136799566,"{'CI': array([0.93691951, 1.1868212 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93691951, 1.1868212 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0029247345862058,"{'CI': array([0.88459033, 1.13137598]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88459033, 1.13137598]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0609131776518321,"{'CI': array([0.94014264, 1.19202467]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94014264, 1.19202467]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0105082463697228,"{'CI': array([0.89735637, 1.13284769]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89735637, 1.13284769]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0143463432113966,"{'CI': array([0.95591329, 1.07513563]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95591329, 1.07513563]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9536250894671883,"{'CI': array([0.89476507, 1.01492535]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89476507, 1.01492535]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9884658466625414,"{'CI': array([0.95635697, 1.02127945]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95635697, 1.02127945]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9778096108086516,"{'CI': array([0.94506266, 1.01129235]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94506266, 1.01129235]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.019695343370023,"{'CI': array([0.98383693, 1.05642514]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98383693, 1.05642514]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9702615974140943,"{'CI': array([0.93636044, 1.00495273]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93636044, 1.00495273]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
