,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.011687902955643,"{'CI': array([0.88420013, 1.15096925]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88420013, 1.15096925]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.04152530446946,"{'CI': array([0.90765107, 1.18831296]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90765107, 1.18831296]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0374382722955242,"{'CI': array([0.92453389, 1.15940578]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92453389, 1.15940578]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0386444073905963,"{'CI': array([0.92408386, 1.16253848]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92408386, 1.16253848]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9729009393993282,"{'CI': array([0.93328207, 1.01360462]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93328207, 1.01360462]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9996819490001218,"{'CI': array([0.95816183, 1.04238273]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95816183, 1.04238273]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0119076283007444,"{'CI': array([0.99234687, 1.03172571]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99234687, 1.03172571]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9845459533337887,"{'CI': array([0.9658976 , 1.00343009]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9658976 , 1.00343009]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0187607663697291,"{'CI': array([0.99116366, 1.04687145]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99116366, 1.04687145]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9689166854964004,"{'CI': array([0.94376697, 0.99449872]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93985381, 0.99855843]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0567457081667906,"{'CI': array([0.93692182, 1.18676368]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93692182, 1.18676368]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0029238427319083,"{'CI': array([0.88461596, 1.13134384]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88461596, 1.13134384]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0608862456577737,"{'CI': array([0.94014381, 1.19196472]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94014381, 1.19196472]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.010504430822376,"{'CI': array([0.89737568, 1.13281686]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89737568, 1.13281686]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.014344839035891,"{'CI': array([0.95591492, 1.07513073]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95591492, 1.07513073]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9536307759742012,"{'CI': array([0.89477394, 1.01492757]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89477394, 1.01492757]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9884662530617755,"{'CI': array([0.95635789, 1.02127932]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95635789, 1.02127932]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.97781042669558,"{'CI': array([0.94506402, 1.01129259]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94506402, 1.01129259]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.019694627684113,"{'CI': array([0.98383693, 1.05642366]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98383693, 1.05642366]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9702628522622953,"{'CI': array([0.9363623 , 1.00495335]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9363623 , 1.00495335]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0766261363741878,"{'CI': array([0.88203793, 1.2993969 ]), 'Error Bound': 1.4092090043438698e-184, 'Reliable CI?': 'Yes'}","{'CI': array([0.88203793, 1.2993969 ]), 'Error Bound': 1.4092090043438698e-184, 'Reliable CI?': 'Yes'}",No,1.1417348977933512,"{'CI': array([0.9161719 , 1.40508947]), 'Error Bound': 5.93166688849168e-147, 'Reliable CI?': 'Yes'}","{'CI': array([0.9161719 , 1.40508947]), 'Error Bound': 5.93166688849168e-147, 'Reliable CI?': 'Yes'}",No
11,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0707076831682725,"{'CI': array([0.93631793, 1.21798221]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93631793, 1.21798221]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.016368672467473,"{'CI': array([0.8847792 , 1.16052424]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8847792 , 1.16052424]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
12,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0244929022960483,"{'CI': array([0.9726917 , 1.07813136]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9726917 , 1.07813136]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9734070041376801,"{'CI': array([0.92256699, 1.0260448 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92256699, 1.0260448 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
