,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9544561075510407,"{'CI': array([0.92733248, 0.98207202]), 'Gelman-Rubin': 0.9998044519483258}",Yes,1.050665137825754,"{'CI': array([1.01758834, 1.0828113 ]), 'Gelman-Rubin': 0.9999653135162412}",Yes
1,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9433244824987351,"{'CI': array([0.90686846, 0.98120126]), 'Gelman-Rubin': 0.9998519067278563}",Yes,1.0456088653277935,"{'CI': array([1.00599512, 1.08896287]), 'Gelman-Rubin': 1.0000030662700707}",Yes
2,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0429131613838838,"{'CI': array([1.031858  , 1.05448138]), 'Gelman-Rubin': 1.000341964019729}",Yes,0.9739072572680338,"{'CI': array([0.96385506, 0.98533337]), 'Gelman-Rubin': 0.999832164625681}",Yes
3,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0192656343984767,"{'CI': array([1.00837667, 1.03140583]), 'Gelman-Rubin': 1.0001410372625394}",Yes,0.9785040397150286,"{'CI': array([0.96798908, 0.98963646]), 'Gelman-Rubin': 0.9997701043414866}",Yes
4,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.037719086674263,"{'CI': array([1.02597866, 1.05154149]), 'Gelman-Rubin': 0.9998331793632239}",Yes,0.9669995183781369,"{'CI': array([0.95607009, 0.97828144]), 'Gelman-Rubin': 0.9999569098839642}",Yes
5,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$F$41-60",diseases of the digestive system,0.9695694044544869,"{'CI': array([0.95298089, 0.98783543]), 'Gelman-Rubin': 0.9998650245869825}",Yes,1.0315547831013112,"{'CI': array([1.01352357, 1.05034248]), 'Gelman-Rubin': 1.0000079139904985}",Yes
6,Disorders of choroid and retina|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.054906602828922,"{'CI': array([1.02720747, 1.08395174]), 'Gelman-Rubin': 0.9999022051386607}",Yes,0.9672261278430903,"{'CI': array([0.94412527, 0.99225647]), 'Gelman-Rubin': 0.9998457338831414}",Yes
7,Disorders of choroid and retina|diseases of the eye and adnexa$M$61-,diseases of the eye and adnexa,1.0383524587668531,"{'CI': array([1.00733611, 1.07094266]), 'Gelman-Rubin': 0.9997920469950696}",Yes,0.9605654878203314,"{'CI': array([0.93248758, 0.98902407]), 'Gelman-Rubin': 0.9998099223747657}",Yes
8,Glaucoma|diseases of the eye and adnexa$M$61-,diseases of the eye and adnexa,1.090238868465508,"{'CI': array([1.05853297, 1.12061256]), 'Gelman-Rubin': 0.9998689713324767}",Yes,0.9751428635642484,"{'CI': array([0.9508341 , 0.99951824]), 'Gelman-Rubin': 0.9999473750272935}",Yes
9,"Diseases of male genital organs|diseases of the genitourinary system: pelvis, genitals and breasts$M$61-","diseases of the genitourinary system: pelvis, genitals and breasts",1.0403788336269162,"{'CI': array([1.01792644, 1.0646398 ]), 'Gelman-Rubin': 0.9998454791074607}",Yes,0.9579552075902745,"{'CI': array([0.93892392, 0.97734514]), 'Gelman-Rubin': 0.9998888641681946}",Yes
10,Renal failure|diseases of the genitourinary system: urinary system$F$21-40,diseases of the genitourinary system: urinary system,0.9119457786198981,"{'CI': array([0.85057931, 0.96779932]), 'Gelman-Rubin': 0.9999862034868169}",Yes,1.0728049982378354,"{'CI': array([1.01334131, 1.13683792]), 'Gelman-Rubin': 0.9998145955564635}",Yes
11,Renal failure|diseases of the genitourinary system: urinary system$F$41-60,diseases of the genitourinary system: urinary system,0.8912210511079758,"{'CI': array([0.86144089, 0.92277621]), 'Gelman-Rubin': 0.999845662032872}",Yes,1.1050870743211674,"{'CI': array([1.07270684, 1.13897436]), 'Gelman-Rubin': 0.9998087162734164}",Yes
12,Renal failure|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,0.8517170153877622,"{'CI': array([0.83175687, 0.87169739]), 'Gelman-Rubin': 0.9999469521196808}",Yes,1.0471317089195136,"{'CI': array([1.02092932, 1.0722805 ]), 'Gelman-Rubin': 0.999814460091713}",Yes
