,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0481122437879848,"{'CI': array([1.01745081, 1.07940319]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01228191, 1.08480521]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9625638375380958,"{'CI': array([0.93308189, 0.99264371]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92850227, 0.99742603]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9597479843574647,"{'CI': array([0.92852469, 0.99164382]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92326382, 0.99715378]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0474490365978057,"{'CI': array([1.01334175, 1.08233663]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00805111, 1.08789183]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$61-",diseases of the circulatory system,1.0419142564172352,"{'CI': array([1.016386, 1.067878]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01207427, 1.07235097]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.967742190270379,"{'CI': array([0.94380066, 0.99207533]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9400738 , 0.99593494]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Hypertensive diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,1.0231658454324342,"{'CI': array([1.01175932, 1.03465907]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00982254, 1.03662795]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9807139888829086,"{'CI': array([0.96949559, 0.99201739]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96774079, 0.993801  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0545600825264632,"{'CI': array([1.04328234, 1.06592173]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.04136725, 1.06786788]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9627321943520344,"{'CI': array([0.95254573, 0.97298897]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95095173, 0.97460679]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0303750504487077,"{'CI': array([1.01929619, 1.04153549]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01741478, 1.04344709]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.967357688888526,"{'CI': array([0.9566274 , 0.97816606]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95494866, 0.97987127]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0494017373420006,"{'CI': array([1.03691569, 1.06199084]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0347964 , 1.06414828]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9556950924903246,"{'CI': array([0.94446035, 0.96701562]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94270304, 0.968802  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.033356742432458,"{'CI': array([1.0182297 , 1.04863606]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01566478, 1.05125736]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9802554769107874,"{'CI': array([0.96583284, 0.99481871]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96357956, 0.99711964]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0240503605153815,"{'CI': array([1.01096396, 1.03725094]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00874336, 1.03951382]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9661464922091514,"{'CI': array([0.95356469, 0.97883563]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95159767, 0.98083903]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.033967600335185,"{'CI': array([1.02153038, 1.04650758]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01941938, 1.04865661]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9779816012663731,"{'CI': array([0.96608679, 0.98997194]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96422665, 0.99186446]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
