,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.048110909056496,"{'CI': array([1.01744993, 1.07940138]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0122811 , 1.08480333]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.96256496542576,"{'CI': array([0.93308342, 0.99264442]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92850386, 0.99742668]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.959749314067513,"{'CI': array([0.9285265 , 0.99164466]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9232657 , 0.99715453]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0474474465295855,"{'CI': array([1.01334078, 1.08233439]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00805024, 1.08788949]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$61-",diseases of the circulatory system,1.0419134672296733,"{'CI': array([1.01638547, 1.06787694]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01207379, 1.07234987]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9677428649286247,"{'CI': array([0.94380155, 0.99207579]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94007472, 0.99593536]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Hypertensive diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,1.023165756039149,"{'CI': array([1.01175926, 1.03465896]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00982248, 1.03662784]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9807140718668133,"{'CI': array([0.9694957 , 0.99201745]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9677409 , 0.99380106]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0545598814266406,"{'CI': array([1.04328216, 1.0659215 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.04136707, 1.06786765]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9627323358391073,"{'CI': array([0.95254589, 0.97298909]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9509519 , 0.97460691]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.030374940961095,"{'CI': array([1.0192961 , 1.04153536]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0174147 , 1.04344696]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.967357816702174,"{'CI': array([0.95662754, 0.97816617]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95494881, 0.97987137]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0494015150629787,"{'CI': array([1.0369155 , 1.06199059]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03479622, 1.06414802]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9556952956860227,"{'CI': array([0.94446058, 0.9670158 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94270327, 0.96880217]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.033356522612086,"{'CI': array([1.01822954, 1.04863578]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01566462, 1.05125707]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9802556332279678,"{'CI': array([0.96583304, 0.99481882]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96357977, 0.99711974]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0240502406469767,"{'CI': array([1.01096388, 1.03725079]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00874329, 1.03951365]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9661466878738154,"{'CI': array([0.95356492, 0.97883579]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95159791, 0.98083919]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0339674479826548,"{'CI': array([1.02153026, 1.04650739]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01941926, 1.04865642]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9779817188537007,"{'CI': array([0.96608693, 0.98997203]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9642268 , 0.99186454]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
