,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0338341462985894,"{'CI': array([1.00471925, 1.06087763]), 'Gelman-Rubin': 0.9998655660557206}",Yes,0.9763468443633522,"{'CI': array([0.9490735 , 1.00313965]), 'Gelman-Rubin': 0.9999183790939877}",No
1,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9434725785433994,"{'CI': array([0.88834261, 0.99937603]), 'Gelman-Rubin': 0.9998090998825506}",Yes,0.9847026643406228,"{'CI': array([0.93645092, 1.03624975]), 'Gelman-Rubin': 1.0000154218005572}",No
2,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9295425967754883,"{'CI': array([0.90421201, 0.95337721]), 'Gelman-Rubin': 0.9998296813932257}",Yes,0.9976721672909277,"{'CI': array([0.97512976, 1.02250141]), 'Gelman-Rubin': 0.9998178869515156}",No
3,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9078936816864718,"{'CI': array([0.88355909, 0.93026179]), 'Gelman-Rubin': 0.9997571494921537}",Yes,1.0143880035127608,"{'CI': array([0.99017597, 1.03925239]), 'Gelman-Rubin': 0.9998869363862871}",No
4,Certain disorders involving the immune mechanism|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.054878439043998,"{'CI': array([1.00048152, 1.10790718]), 'Gelman-Rubin': 0.9998511880266312}",Yes,1.0181452723819875,"{'CI': array([0.96885438, 1.07008585]), 'Gelman-Rubin': 0.9999066752388478}",No
5,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.935583509121013,"{'CI': array([0.90119716, 0.96798493]), 'Gelman-Rubin': 0.9999146744643365}",Yes,0.9746725163308639,"{'CI': array([0.94192562, 1.00633119]), 'Gelman-Rubin': 1.000189786368112}",No
6,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.8803381247022505,"{'CI': array([0.84861841, 0.91407482]), 'Gelman-Rubin': 0.9998799968584767}",Yes,1.0100518448382652,"{'CI': array([0.97696046, 1.0458269 ]), 'Gelman-Rubin': 0.9998687671006384}",No
7,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$61-",diseases of the circulatory system,1.029022607023537,"{'CI': array([1.00287133, 1.05356725]), 'Gelman-Rubin': 0.9998579675935932}",Yes,0.9802509347984635,"{'CI': array([0.95831863, 1.00349513]), 'Gelman-Rubin': 0.999985807944207}",No
8,Ischemic heart diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,0.9792550618704481,"{'CI': array([0.96111215, 0.9981473 ]), 'Gelman-Rubin': 0.9998345347191713}",Yes,0.9944982974854881,"{'CI': array([0.97605131, 1.01484382]), 'Gelman-Rubin': 0.9998124272090194}",No
9,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0219358065749224,"{'CI': array([1.00697878, 1.03679255]), 'Gelman-Rubin': 0.9997888336979156}",Yes,0.9914625055658859,"{'CI': array([0.97842769, 1.00618122]), 'Gelman-Rubin': 0.999907875970537}",No
10,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0226656140666095,"{'CI': array([1.00937052, 1.03468644]), 'Gelman-Rubin': 0.9999264079720723}",Yes,0.9891180674921661,"{'CI': array([0.97674797, 1.00135837]), 'Gelman-Rubin': 0.9998679837758344}",No
11,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$M$41-60",diseases of the digestive system,0.9773445637519423,"{'CI': array([0.95488096, 0.99814587]), 'Gelman-Rubin': 0.9999735443599624}",Yes,1.0133124415891788,"{'CI': array([0.99151863, 1.03612235]), 'Gelman-Rubin': 1.0000784080524225}",No
12,Diseases of external ear|diseases of the ear and mastoid process$M$61-,diseases of the ear and mastoid process,1.0656926562828581,"{'CI': array([1.01375071, 1.11627407]), 'Gelman-Rubin': 0.9999704434464386}",Yes,0.9846213182893561,"{'CI': array([0.93646198, 1.03154125]), 'Gelman-Rubin': 0.999795679170349}",No
13,Disorders of lens|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.033265682606899,"{'CI': array([1.00997336, 1.05526318]), 'Gelman-Rubin': 1.0000287694727588}",Yes,0.984912191809004,"{'CI': array([0.96531269, 1.00449579]), 'Gelman-Rubin': 0.9998105302187096}",No
14,Glaucoma|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.109562498329566,"{'CI': array([1.08414384, 1.13658644]), 'Gelman-Rubin': 0.9998389556886425}",Yes,0.9771457091615925,"{'CI': array([0.95597059, 1.00133842]), 'Gelman-Rubin': 0.9998855958666374}",No
15,Glaucoma|diseases of the eye and adnexa$M$41-60,diseases of the eye and adnexa,1.0423518838448578,"{'CI': array([1.01073936, 1.07727395]), 'Gelman-Rubin': 0.9999069025627075}",Yes,0.9818644823956062,"{'CI': array([0.95342565, 1.01462818]), 'Gelman-Rubin': 0.9998106037604758}",No
16,"Disorders of breast|diseases of the genitourinary system: pelvis, genitals and breasts$F$61-","diseases of the genitourinary system: pelvis, genitals and breasts",1.037456262126286,"{'CI': array([1.00329309, 1.07217772]), 'Gelman-Rubin': 0.9998191397862293}",Yes,0.9902466706796611,"{'CI': array([0.95670713, 1.0188443 ]), 'Gelman-Rubin': 0.9999570096165735}",No
