,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9348567782175676,"{'CI': array([0.91055807, 0.95956416]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90645339, 0.96382016]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.986536928502132,"{'CI': array([0.96115836, 1.01235314]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96115836, 1.01235314]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9111892538834494,"{'CI': array([0.88680929, 0.93598387]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8826913 , 0.94025541]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0046261863422656,"{'CI': array([0.97806677, 1.03166244]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97806677, 1.03166244]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,Certain disorders involving the immune mechanism|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.094742810447042,"{'CI': array([1.02236548, 1.1706675 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01034235, 1.18400667]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.01842993636191,"{'CI': array([0.95318234, 1.08661905]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95318234, 1.08661905]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9374857478821081,"{'CI': array([0.90389865, 0.97185804]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89824502, 0.97780249]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9594932496010865,"{'CI': array([0.92511941, 0.99468242]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91978964, 1.00028865]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9415015398035063,"{'CI': array([0.89832073, 0.98598765]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89107839, 0.99371362]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.048637192150511,"{'CI': array([1.00074174, 1.09808507]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99334925, 1.10600416]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.8725501376156204,"{'CI': array([0.83807466, 0.90787218]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83227495, 0.91398547]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0009858641808211,"{'CI': array([0.96232184, 1.04066996]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96232184, 1.04066996]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$M$61-",diseases of the circulatory system,1.0298841299510593,"{'CI': array([1.00538688, 1.05478362]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00124783, 1.05907161]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9792927621841162,"{'CI': array([0.9558651 , 1.00309384]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9558651 , 1.00309384]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$F$21-40",diseases of the circulatory system,1.0647077937919802,"{'CI': array([1.0105564 , 1.12084293]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00150476, 1.13062982]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9698491413242271,"{'CI': array([0.91746292, 1.02414863]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91746292, 1.02414863]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$F$11-20",diseases of the digestive system,1.0894140721381032,"{'CI': array([1.01887908, 1.16332249]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00715512, 1.17629784]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0195994413711198,"{'CI': array([0.94752432, 1.09528455]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94752432, 1.09528455]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Other diseases of intestines|diseases of the digestive system$F$11-20,diseases of the digestive system,1.1123848998663988,"{'CI': array([1.0331829 , 1.19583196]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02005569, 1.21053466]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9798557760145341,"{'CI': array([0.90499008, 1.05867853]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90499008, 1.05867853]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,Diseases of external ear|diseases of the ear and mastoid process$F$61-,diseases of the ear and mastoid process,1.0687850660221219,"{'CI': array([1.01297212, 1.12670319]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00364793, 1.13680771]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9715851882440301,"{'CI': array([0.92116199, 1.02377528]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92116199, 1.02377528]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
11,Diseases of external ear|diseases of the ear and mastoid process$M$61-,diseases of the ear and mastoid process,1.1015249662990472,"{'CI': array([1.04006171, 1.16552217]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02981209, 1.17671126]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.967070221013891,"{'CI': array([0.91334413, 1.02281026]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91334413, 1.02281026]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
12,Disorders of lens|diseases of the eye and adnexa$M$61-,diseases of the eye and adnexa,1.0363857751522467,"{'CI': array([1.00862842, 1.06465957]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00394416, 1.06953506]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9854370153229376,"{'CI': array([0.96062189, 1.01067064]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96062189, 1.01067064]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,Disorders of vitreous body and globe|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.062915156496478,"{'CI': array([1.01045775, 1.11723164]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00168389, 1.12669451]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.988131303055533,"{'CI': array([0.94222858, 1.03548532]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94222858, 1.03548532]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
14,Glaucoma|diseases of the eye and adnexa$F$41-60,diseases of the eye and adnexa,1.0413043149034724,"{'CI': array([1.00975322, 1.07352368]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0044362 , 1.07908818]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9802541382975127,"{'CI': array([0.95039859, 1.01071957]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95039859, 1.01071957]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
15,Glaucoma|diseases of the eye and adnexa$M$41-60,diseases of the eye and adnexa,1.0590617446125108,"{'CI': array([1.0228585 , 1.09614222]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01676753, 1.10255809]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9679752649058989,"{'CI': array([0.934504  , 1.00221822]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.934504  , 1.00221822]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
16,"Disorders of breast|diseases of the genitourinary system: pelvis, genitals and breasts$F$41-60","diseases of the genitourinary system: pelvis, genitals and breasts",1.0238490087613203,"{'CI': array([1.00480706, 1.04313376]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00158319, 1.04644753]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9923642180583375,"{'CI': array([0.97397801, 1.01097899]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97397801, 1.01097899]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
17,"Disorders of breast|diseases of the genitourinary system: pelvis, genitals and breasts$F$61-","diseases of the genitourinary system: pelvis, genitals and breasts",1.0541482778753593,"{'CI': array([1.01551252, 1.09378615]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00901821, 1.10065165]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9776573040904298,"{'CI': array([0.94351942, 1.01259434]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94351942, 1.01259434]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
18,"Inflammatory diseases of female pelvic organs|diseases of the genitourinary system: pelvis, genitals and breasts$F$11-20","diseases of the genitourinary system: pelvis, genitals and breasts",1.1141652518837313,"{'CI': array([1.04463806, 1.18694062]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03307561, 1.19970784]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9766252328969726,"{'CI': array([0.91211112, 1.04405972]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91211112, 1.04405972]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
19,"Noninflammatory disorders of female genital tract|diseases of the genitourinary system: pelvis, genitals and breasts$F$11-20","diseases of the genitourinary system: pelvis, genitals and breasts",1.0992053445623906,"{'CI': array([1.06206806, 1.13725422]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.05582109, 1.14383883]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.013350942977245,"{'CI': array([0.97679763, 1.0508123 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97679763, 1.0508123 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
20,Other disorders of kidney and ureter|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,0.8828845087628726,"{'CI': array([0.83770064, 0.92952898]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83013021, 0.93764069]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9653067600025313,"{'CI': array([0.91646814, 1.01580448]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91646814, 1.01580448]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
21,Other disorders of kidney and ureter|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,0.8657595701945348,"{'CI': array([0.82744218, 0.90512819]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82100588, 0.91195395]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9781418095979157,"{'CI': array([0.9355925 , 1.02193945]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9355925 , 1.02193945]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
22,Chondropathies|diseases of the musculoskeletal system and connective tissue$F$61-,diseases of the musculoskeletal system and connective tissue,1.056695512227728,"{'CI': array([1.01377996, 1.10085003]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00657745, 1.10851154]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9708387944927316,"{'CI': array([0.93447153, 1.00811653]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93447153, 1.00811653]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
23,Disorders of muscles|diseases of the musculoskeletal system and connective tissue$M$61-,diseases of the musculoskeletal system and connective tissue,0.9375549918930534,"{'CI': array([0.90452392, 0.97134496]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89896269, 0.97718728]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9874881090400962,"{'CI': array([0.95350992, 1.02225523]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95350992, 1.02225523]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
24,Inflammatory polyarthropathies|diseases of the musculoskeletal system and connective tissue$M$61-,diseases of the musculoskeletal system and connective tissue,1.047528386660594,"{'CI': array([1.00856666, 1.08751142]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0020185 , 1.09443789]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9585568306210853,"{'CI': array([0.92262111, 0.99538508]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91705244, 1.00125639]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
25,Osteopathies|diseases of the musculoskeletal system and connective tissue$F$61-,diseases of the musculoskeletal system and connective tissue,1.0413941719682023,"{'CI': array([1.01612452, 1.06709053]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01185607, 1.07151699]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9742629356385784,"{'CI': array([0.95179099, 0.99707879]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94829089, 1.00069546]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
26,Other disorders of the musculoskeletal system and connective tissue|diseases of the musculoskeletal system and connective tissue$F$11-20,diseases of the musculoskeletal system and connective tissue,1.0594334262602034,"{'CI': array([1.0245913 , 1.09508735]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01872641, 1.1012529 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9927161494152107,"{'CI': array([0.95828798, 1.02795433]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95828798, 1.02795433]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
27,Other joint disorders|diseases of the musculoskeletal system and connective tissue$M$0-10,diseases of the musculoskeletal system and connective tissue,1.0830982539055225,"{'CI': array([1.01680709, 1.15236847]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00577272, 1.16450768]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9940247059857894,"{'CI': array([0.93160553, 1.05915793]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93160553, 1.05915793]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
