,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9348581236131049,"{'CI': array([0.91055964, 0.95956527]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.906455  , 0.96382123]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9865372811001792,"{'CI': array([0.96115897, 1.01235322]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96115897, 1.01235322]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9111911632777893,"{'CI': array([0.88681143, 0.93598555]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88269347, 0.94025704]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0046261622834207,"{'CI': array([0.97806704, 1.03166211]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97806704, 1.03166211]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,Certain disorders involving the immune mechanism|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0947288862092657,"{'CI': array([1.02235747, 1.17064709]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0103353 , 1.18398508]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0184279557579625,"{'CI': array([0.95318471, 1.08661231]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95318471, 1.08661231]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9374882179641754,"{'CI': array([0.90390171, 0.97185989]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89824817, 0.97780423]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9594949873389104,"{'CI': array([0.92512178, 0.9946835 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9197921 , 1.00028962]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9415053360928146,"{'CI': array([0.89832577, 0.98599011]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89108364, 0.99371585]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0486339544774919,"{'CI': array([1.00074021, 1.09808   ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99334798, 1.1059988 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.8725559319692484,"{'CI': array([0.83808108, 0.90787732]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83228147, 0.91399049]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0009859852878933,"{'CI': array([0.96232286, 1.04066913]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96232286, 1.04066913]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$M$61-",diseases of the circulatory system,1.0298836166869354,"{'CI': array([1.0053866 , 1.05478287]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00124759, 1.05907081]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9792931915948613,"{'CI': array([0.95586573, 1.00309406]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95586573, 1.00309406]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$F$21-40",diseases of the circulatory system,1.0647022348188406,"{'CI': array([1.01055332, 1.1208347 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00150209, 1.13062113]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9698520527868371,"{'CI': array([0.91746807, 1.02414913]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91746807, 1.02414913]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$F$11-20",diseases of the digestive system,1.089401401452793,"{'CI': array([1.01887189, 1.16330381]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00714882, 1.17627807]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0195964626195007,"{'CI': array([0.94752725, 1.09527506]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94752725, 1.09527506]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Other diseases of intestines|diseases of the digestive system$F$11-20,diseases of the digestive system,1.1123652494200085,"{'CI': array([1.033171  , 1.19580373]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02004504, 1.21050488]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9798597791522276,"{'CI': array([0.9050007 , 1.05867519]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9050007 , 1.05867519]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,Diseases of external ear|diseases of the ear and mastoid process$F$61-,diseases of the ear and mastoid process,1.0687789209872882,"{'CI': array([1.01296869, 1.12669413]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00364494, 1.13679812]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9715878851110333,"{'CI': array([0.92116668, 1.02377583]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92116668, 1.02377583]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
11,Diseases of external ear|diseases of the ear and mastoid process$M$61-,diseases of the ear and mastoid process,1.1015143542544883,"{'CI': array([1.04005471, 1.16550765]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02980568, 1.17669604]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9670737302060822,"{'CI': array([0.91335006, 1.02281116]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91335006, 1.02281116]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
12,Disorders of lens|diseases of the eye and adnexa$M$61-,diseases of the eye and adnexa,1.0363849710296245,"{'CI': array([1.00862795, 1.06465842]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00394375, 1.06953385]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9854373721595019,"{'CI': array([0.96062249, 1.01067074]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96062249, 1.01067074]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,Disorders of vitreous body and globe|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.06291017246641,"{'CI': array([1.01045503, 1.11722424]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00168153, 1.12668668]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9881323593132239,"{'CI': array([0.94223115, 1.03548477]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94223115, 1.03548477]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
14,Glaucoma|diseases of the eye and adnexa$F$41-60,diseases of the eye and adnexa,1.04130310629232,"{'CI': array([1.0097525 , 1.07352196]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00443556, 1.07908637]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9802547424342873,"{'CI': array([0.95039961, 1.01071974]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95039961, 1.01071974]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
15,Glaucoma|diseases of the eye and adnexa$M$41-60,diseases of the eye and adnexa,1.0590595144118067,"{'CI': array([1.02285701, 1.09613922]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01676616, 1.10255495]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9679764915133124,"{'CI': array([0.93450581, 1.00221884]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93450581, 1.00221884]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
16,"Disorders of breast|diseases of the genitourinary system: pelvis, genitals and breasts$F$41-60","diseases of the genitourinary system: pelvis, genitals and breasts",1.0238487528282805,"{'CI': array([1.00480692, 1.04313339]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00158306, 1.04644714]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9923643129559512,"{'CI': array([0.9739782 , 1.01097899]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9739782 , 1.01097899]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
17,"Disorders of breast|diseases of the genitourinary system: pelvis, genitals and breasts$F$61-","diseases of the genitourinary system: pelvis, genitals and breasts",1.054145950573878,"{'CI': array([1.0155111 , 1.09378287]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00901694, 1.10064821]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.97765828861924,"{'CI': array([0.94352103, 1.01259467]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94352103, 1.01259467]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
18,"Inflammatory diseases of female pelvic organs|diseases of the genitourinary system: pelvis, genitals and breasts$F$11-20","diseases of the genitourinary system: pelvis, genitals and breasts",1.114149990699705,"{'CI': array([1.04462803, 1.18691965]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03306643, 1.19968584]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9766286450428978,"{'CI': array([0.91211875, 1.04405851]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91211875, 1.04405851]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
19,"Noninflammatory disorders of female genital tract|diseases of the genitourinary system: pelvis, genitals and breasts$F$11-20","diseases of the genitourinary system: pelvis, genitals and breasts",1.0992015639955388,"{'CI': array([1.06206508, 1.13724961]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.05581824, 1.14383407]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0133504453672575,"{'CI': array([0.9767979, 1.050811 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9767979, 1.050811 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
20,Other disorders of kidney and ureter|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,0.8828935530660837,"{'CI': array([0.83771109, 0.92953652]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8301409 , 0.93764796]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9653098081270323,"{'CI': array([0.916473  , 1.01580559]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.916473  , 1.01580559]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
21,Other disorders of kidney and ureter|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,0.865767198606489,"{'CI': array([0.82745066, 0.90513492]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8210145 , 0.91196052]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9781433096025951,"{'CI': array([0.9355952 , 1.02193967]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9355952 , 1.02193967]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
