,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.991357618503716,"{'CI': array([0.93402074, 1.05044163]), 'Gelman-Rubin': 1.00013101602066}",No,0.9772567600778492,"{'CI': array([0.91986417, 1.03651654]), 'Gelman-Rubin': 0.9998011966911071}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9997915001908538,"{'CI': array([0.94755795, 1.05880386]), 'Gelman-Rubin': 1.0000240462175534}",No,0.9892583209096619,"{'CI': array([0.93375619, 1.05805369]), 'Gelman-Rubin': 0.9998510388800207}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9931734176047521,"{'CI': array([0.9263061 , 1.06354411]), 'Gelman-Rubin': 1.0002068169578924}",No,1.0097611855456228,"{'CI': array([0.93920414, 1.09636652]), 'Gelman-Rubin': 0.999841697271038}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.027016999116423,"{'CI': array([0.96309713, 1.09617288]), 'Gelman-Rubin': 0.9998155522280611}",No,1.0150583315621324,"{'CI': array([0.94481951, 1.08366008]), 'Gelman-Rubin': 0.9999548669681181}",No
4,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9933721885817512,"{'CI': array([0.924645  , 1.05884155]), 'Gelman-Rubin': 1.0000407317132813}",No,1.0072067102404503,"{'CI': array([0.92563308, 1.08408618]), 'Gelman-Rubin': 0.9998379309350539}",No
5,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.009645395798305,"{'CI': array([0.93604962, 1.07795336]), 'Gelman-Rubin': 1.0001469604677902}",No,1.0087793040645878,"{'CI': array([0.93291919, 1.10045141]), 'Gelman-Rubin': 0.9998771324752388}",No
6,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9870156186198449,"{'CI': array([0.91978681, 1.06463871]), 'Gelman-Rubin': 0.9998544465493894}",No,1.0173763033072363,"{'CI': array([0.94245976, 1.09291657]), 'Gelman-Rubin': 1.0002739837748649}",No
7,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9906735422903901,"{'CI': array([0.91977822, 1.0641004 ]), 'Gelman-Rubin': 0.999771986728534}",No,0.991881003375032,"{'CI': array([0.91679257, 1.07311296]), 'Gelman-Rubin': 0.9999011629047406}",No
8,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0206805334628506,"{'CI': array([0.93331416, 1.10587235]), 'Gelman-Rubin': 0.9999405685562901}",No,0.9942895892810449,"{'CI': array([0.89210239, 1.11642735]), 'Gelman-Rubin': 0.9997681051900483}",No
9,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0160316610152451,"{'CI': array([0.93278502, 1.10242216]), 'Gelman-Rubin': 0.9999396519984671}",No,1.0147491259859387,"{'CI': array([0.92410621, 1.11041474]), 'Gelman-Rubin': 0.9998967626297977}",No
