,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9634416802552647,"{'CI': array([0.89220932, 1.03827164]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89220932, 1.03827164]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9626503480716488,"{'CI': array([0.89407313, 1.03455262]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89407313, 1.03455262]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9769381249401321,"{'CI': array([0.90583918, 1.05160205]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90583918, 1.05160205]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9788604962354867,"{'CI': array([0.91035325, 1.05066685]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91035325, 1.05066685]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9626731394741264,"{'CI': array([0.85868595, 1.07451224]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.85868595, 1.07451224]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.013931053444773,"{'CI': array([0.90826168, 1.12756039]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90826168, 1.12756039]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0302906675045473,"{'CI': array([0.9411117 , 1.12504471]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9411117 , 1.12504471]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0181895843690867,"{'CI': array([0.93206239, 1.10952443]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93206239, 1.10952443]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9621066784702845,"{'CI': array([0.86637373, 1.06445599]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86637373, 1.06445599]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0066800366823943,"{'CI': array([0.90910663, 1.11101876]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90910663, 1.11101876]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0038259330570944,"{'CI': array([0.88853715, 1.12869691]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88853715, 1.12869691]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0122930219729862,"{'CI': array([0.89867245, 1.13517474]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89867245, 1.13517474]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9463766844113015,"{'CI': array([0.84347816, 1.05700295]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84347816, 1.05700295]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0276195829953518,"{'CI': array([0.91983858, 1.1436541 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91983858, 1.1436541 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9522329246713258,"{'CI': array([0.83768493, 1.07641297]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83768493, 1.07641297]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9778955013902145,"{'CI': array([0.86517968, 1.09983233]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86517968, 1.09983233]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.1886253373705589,"{'CI': array([0.90799112, 1.52922214]), 'Error Bound': 5.1674380952673e-98, 'Reliable CI?': 'Yes'}","{'CI': array([0.90799112, 1.52922214]), 'Error Bound': 5.1674380952673e-98, 'Reliable CI?': 'Yes'}",No,0.9583274632142064,"{'CI': array([0.71069055, 1.25569975]), 'Error Bound': 2.1161908703904896e-95, 'Reliable CI?': 'Yes'}","{'CI': array([0.71069055, 1.25569975]), 'Error Bound': 2.1161908703904896e-95, 'Reliable CI?': 'Yes'}",No
9,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.07087380173641,"{'CI': array([0.87596759, 1.29410796]), 'Error Bound': 1.066794583299413e-182, 'Reliable CI?': 'Yes'}","{'CI': array([0.87596759, 1.29410796]), 'Error Bound': 1.066794583299413e-182, 'Reliable CI?': 'Yes'}",No,1.0652159898314901,"{'CI': array([0.85674007, 1.30648047]), 'Error Bound': 1.1346686595368733e-157, 'Reliable CI?': 'Yes'}","{'CI': array([0.85674007, 1.30648047]), 'Error Bound': 1.1346686595368733e-157, 'Reliable CI?': 'Yes'}",No
10,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0406006608631466,"{'CI': array([0.82665919, 1.28955987]), 'Error Bound': 1.2713256653527389e-144, 'Reliable CI?': 'Yes'}","{'CI': array([0.82665919, 1.28955987]), 'Error Bound': 1.2713256653527389e-144, 'Reliable CI?': 'Yes'}",No,0.9301494096457352,"{'CI': array([0.72893797, 1.16335798]), 'Error Bound': 1.4109360943200278e-141, 'Reliable CI?': 'Yes'}","{'CI': array([0.72893797, 1.16335798]), 'Error Bound': 1.4109360943200278e-141, 'Reliable CI?': 'Yes'}",No
11,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0085996191853617,"{'CI': array([0.81156884, 1.2353286 ]), 'Error Bound': 1.2974495264434613e-164, 'Reliable CI?': 'Yes'}","{'CI': array([0.81156884, 1.2353286 ]), 'Error Bound': 1.2974495264434613e-164, 'Reliable CI?': 'Yes'}",No,1.0694307806743593,"{'CI': array([0.84606234, 1.33080408]), 'Error Bound': 3.402244785833527e-137, 'Reliable CI?': 'Yes'}","{'CI': array([0.84606234, 1.33080408]), 'Error Bound': 3.402244785833527e-137, 'Reliable CI?': 'Yes'}",No
