,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9634479548780195,"{'CI': array([0.89222135, 1.03827155]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89222135, 1.03827155]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9626565539485095,"{'CI': array([0.89408445, 1.0345532 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89408445, 1.0345532 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9769421045626022,"{'CI': array([0.90584891, 1.05159968]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90584891, 1.05159968]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9788640372066664,"{'CI': array([0.91036192, 1.05066475]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91036192, 1.05066475]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9626870700340399,"{'CI': array([0.85871788, 1.07450531]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.85871788, 1.07450531]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0139265653733693,"{'CI': array([0.90827607, 1.12753409]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90827607, 1.12753409]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0302832524502068,"{'CI': array([0.94111564, 1.12502448]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94111564, 1.12502448]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.018185649826275,"{'CI': array([0.93206868, 1.109509  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93206868, 1.109509  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.962118622508784,"{'CI': array([0.86639968, 1.06445189]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86639968, 1.06445189]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.006678437669874,"{'CI': array([0.90911986, 1.11100022]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90911986, 1.11100022]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0038244775869376,"{'CI': array([0.88856034, 1.12866655]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88856034, 1.12866655]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0122885047151253,"{'CI': array([0.89869146, 1.13514271]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89869146, 1.13514271]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9463967574205386,"{'CI': array([0.84351562, 1.05700287]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84351562, 1.05700287]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.027609929763012,"{'CI': array([0.91984895, 1.14362127]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91984895, 1.14362127]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9522554428302867,"{'CI': array([0.83773153, 1.0764071 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83773153, 1.0764071 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9779057667546767,"{'CI': array([0.86521292, 1.09981567]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86521292, 1.09981567]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.188197178424147,"{'CI': array([0.90792432, 1.5282716 ]), 'Error Bound': 3.129347946367245e-98, 'Reliable CI?': 'Yes'}","{'CI': array([0.90792432, 1.5282716 ]), 'Error Bound': 3.129347946367245e-98, 'Reliable CI?': 'Yes'}",No,0.9584281420868098,"{'CI': array([0.71104426, 1.25543361]), 'Error Bound': 1.281505999337067e-95, 'Reliable CI?': 'Yes'}","{'CI': array([0.71104426, 1.25543361]), 'Error Bound': 1.281505999337067e-95, 'Reliable CI?': 'Yes'}",No
9,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0707890275103251,"{'CI': array([0.876004  , 1.29386513]), 'Error Bound': 6.459487940949639e-183, 'Reliable CI?': 'Yes'}","{'CI': array([0.876004  , 1.29386513]), 'Error Bound': 6.459487940949639e-183, 'Reliable CI?': 'Yes'}",No,1.0651269818783706,"{'CI': array([0.85679986, 1.30619331]), 'Error Bound': 6.870634095633505e-158, 'Reliable CI?': 'Yes'}","{'CI': array([0.85679986, 1.30619331]), 'Error Bound': 6.870634095633505e-158, 'Reliable CI?': 'Yes'}",No
10,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0405396252013144,"{'CI': array([0.82676008, 1.28928041]), 'Error Bound': 7.697082720275041e-145, 'Reliable CI?': 'Yes'}","{'CI': array([0.82676008, 1.28928041]), 'Error Bound': 7.697082720275041e-145, 'Reliable CI?': 'Yes'}",No,0.9302607845848362,"{'CI': array([0.72918227, 1.1632894 ]), 'Error Bound': 8.542072397456924e-142, 'Reliable CI?': 'Yes'}","{'CI': array([0.72918227, 1.1632894 ]), 'Error Bound': 8.542072397456924e-142, 'Reliable CI?': 'Yes'}",No
11,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0085878403346549,"{'CI': array([0.81168318, 1.23514997]), 'Error Bound': 7.858550933409617e-165, 'Reliable CI?': 'Yes'}","{'CI': array([0.81168318, 1.23514997]), 'Error Bound': 7.858550933409617e-165, 'Reliable CI?': 'Yes'}",No,1.0693214276083334,"{'CI': array([0.8461367 , 1.33044478]), 'Error Bound': 2.060655074397183e-137, 'Reliable CI?': 'Yes'}","{'CI': array([0.8461367 , 1.33044478]), 'Error Bound': 2.060655074397183e-137, 'Reliable CI?': 'Yes'}",No
12,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0221706780376802,"{'CI': array([0.87885399, 1.18049813]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87885399, 1.18049813]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9864314680921341,"{'CI': array([0.83822201, 1.15095518]), 'Error Bound': 2.313010525544633e-289, 'Reliable CI?': 'Yes'}","{'CI': array([0.83822201, 1.15095518]), 'Error Bound': 2.313010525544633e-289, 'Reliable CI?': 'Yes'}",No
