,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Other diseases of intestines|diseases of the digestive system$M$21-40,diseases of the digestive system,0.8266578114510493,"{'CI': array([0.71234862, 0.95102811]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.68897084, 0.97920954]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0490510217069982,"{'CI': array([0.90646251, 1.20632618]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90646251, 1.20632618]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,Other diseases of the digestive system|diseases of the digestive system$M$41-60,diseases of the digestive system,0.7963694309771747,"{'CI': array([0.66215387, 0.94483775]), 'Error Bound': 9.189984516406851e-268, 'Reliable CI?': 'Yes'}","{'CI': array([0.63488946, 0.97893576]), 'Error Bound': 9.189984516406851e-268, 'Reliable CI?': 'Yes'}",Yes,0.9834668633579151,"{'CI': array([0.82551776, 1.16009924]), 'Error Bound': 1.5568082851942324e-252, 'Reliable CI?': 'Yes'}","{'CI': array([0.82551776, 1.16009924]), 'Error Bound': 1.5568082851942324e-252, 'Reliable CI?': 'Yes'}",No
2,Other disorders of kidney and ureter|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,0.8581167217133329,"{'CI': array([0.75666586, 0.96731425]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.73581972, 0.9918505 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9556532421428114,"{'CI': array([0.84478985, 1.07549648]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84478985, 1.07549648]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Renal tubulo-interstitial diseases|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,0.8438385976256599,"{'CI': array([0.73734315, 0.95895041]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.71550138, 0.98490013]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0432465422911485,"{'CI': array([0.92404822, 1.17256518]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92404822, 1.17256518]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Arthrosis|diseases of the musculoskeletal system and connective tissue$F$41-60,diseases of the musculoskeletal system and connective tissue,0.9075938831969509,"{'CI': array([0.84310364, 0.97507753]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82966771, 0.98993335]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0179802558671267,"{'CI': array([0.94941764, 1.08980312]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94941764, 1.08980312]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Arthrosis|diseases of the musculoskeletal system and connective tissue$M$61-,diseases of the musculoskeletal system and connective tissue,0.9126203959860302,"{'CI': array([0.84815579, 0.98006851]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83472439, 0.99491509]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.98559927784456,"{'CI': array([0.92147759, 1.05259568]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92147759, 1.05259568]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,Other dorsopathies|diseases of the musculoskeletal system and connective tissue$F$21-40,diseases of the musculoskeletal system and connective tissue,0.9561739523996621,"{'CI': array([0.92277899, 0.99034062]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91573579, 0.99774921]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9743846286382539,"{'CI': array([0.93958904, 1.01001225]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93958904, 1.01001225]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Other soft tissue disorders|diseases of the musculoskeletal system and connective tissue$F$41-60,diseases of the musculoskeletal system and connective tissue,0.9453940567390078,"{'CI': array([0.90859679, 0.98313408]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90084671, 0.99133058]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9873479511758335,"{'CI': array([0.94999129, 1.02566178]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94999129, 1.02566178]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,Acute upper respiratory infections|diseases of the respiratory system$F$0-10,diseases of the respiratory system,0.933265788872535,"{'CI': array([0.88482019, 0.98336657]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87466353, 0.99430747]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.06801884281564,"{'CI': array([1.01299485, 1.1250886 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99883381, 1.14046938]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Acute upper respiratory infections|diseases of the respiratory system$F$11-20,diseases of the respiratory system,0.9018385126924561,"{'CI': array([0.84067721, 0.96568978]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8279191 , 0.97972356]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0661237709610856,"{'CI': array([0.9946297 , 1.14111203]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9946297 , 1.14111203]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,Persons encountering health services for examination and investigation|external causes of morbidity and mortality$F$21-40,external causes of morbidity and mortality,0.9379240230082928,"{'CI': array([0.90709611, 0.96941236]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90058818, 0.97623296]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9834921513289525,"{'CI': array([0.95152732, 1.01615564]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95152732, 1.01615564]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
