,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Other diseases of intestines|diseases of the digestive system$M$21-40,diseases of the digestive system,0.826754437616006,"{'CI': array([0.71246772, 0.95109776]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.68909434, 0.97927262]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0490210901545032,"{'CI': array([0.90647925, 1.20623963]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90647925, 1.20623963]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,Other diseases of the digestive system|diseases of the digestive system$M$41-60,diseases of the digestive system,0.7965360180834891,"{'CI': array([0.66235571, 0.94496027]), 'Error Bound': 5.564388478912866e-268, 'Reliable CI?': 'Yes'}","{'CI': array([0.63509813, 0.97904714]), 'Error Bound': 5.564388478912866e-268, 'Reliable CI?': 'Yes'}",Yes,0.98348254748561,"{'CI': array([0.82559735, 1.16003489]), 'Error Bound': 9.42643530547704e-253, 'Reliable CI?': 'Yes'}","{'CI': array([0.82559735, 1.16003489]), 'Error Bound': 9.42643530547704e-253, 'Reliable CI?': 'Yes'}",No
2,Other disorders of kidney and ureter|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,0.8581759579774246,"{'CI': array([0.75674116, 0.96735471]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.73589818, 0.99188648]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9556730942221917,"{'CI': array([0.84483149, 1.07549079]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84483149, 1.07549079]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Renal tubulo-interstitial diseases|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,0.8439122364080998,"{'CI': array([0.73743517, 0.95900233]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.71559703, 0.98494682]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0432279255603578,"{'CI': array([0.92405679, 1.17251463]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92405679, 1.17251463]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Arthrosis|diseases of the musculoskeletal system and connective tissue$F$41-60,diseases of the musculoskeletal system and connective tissue,0.9076079457460275,"{'CI': array([0.84312191, 0.97508696]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82968684, 0.98994173]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0179778164961886,"{'CI': array([0.94942033, 1.08979505]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94942033, 1.08979505]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Arthrosis|diseases of the musculoskeletal system and connective tissue$M$61-,diseases of the musculoskeletal system and connective tissue,0.912633726872437,"{'CI': array([0.84817336, 0.98007718]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83474283, 0.9949227 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9856014337994966,"{'CI': array([0.92148398, 1.05259321]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92148398, 1.05259321]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,Other dorsopathies|diseases of the musculoskeletal system and connective tissue$F$21-40,diseases of the musculoskeletal system and connective tissue,0.9561756017421674,"{'CI': array([0.92278125, 0.99034162]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91573818, 0.99775007]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9743857453398204,"{'CI': array([0.93959085, 1.01001264]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93959085, 1.01001264]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Other soft tissue disorders|diseases of the musculoskeletal system and connective tissue$F$41-60,diseases of the musculoskeletal system and connective tissue,0.9453965870235865,"{'CI': array([0.90860013, 0.98313576]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90085022, 0.99133208]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9873485908132194,"{'CI': array([0.94999277, 1.02566153]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94999277, 1.02566153]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,Acute upper respiratory infections|diseases of the respiratory system$F$0-10,diseases of the respiratory system,0.9332712201631288,"{'CI': array([0.88482752, 0.98336997]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87467125, 0.99431042]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0680128983176198,"{'CI': array([1.01299164, 1.12507971]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99883129, 1.14045968]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Acute upper respiratory infections|diseases of the respiratory system$F$11-20,diseases of the respiratory system,0.9018520987745908,"{'CI': array([0.84069446, 0.96569936]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82793709, 0.97973223]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0661139735317295,"{'CI': array([0.99462579, 1.14109577]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99462579, 1.14109577]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,Persons encountering health services for examination and investigation|external causes of morbidity and mortality$F$21-40,external causes of morbidity and mortality,0.9379260698218483,"{'CI': array([0.90709864, 0.9694139 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90059082, 0.97623439]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.983492778474259,"{'CI': array([0.95152849, 1.0161557 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95152849, 1.0161557 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
