,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9966274451361906,"{'CI': array([0.93653502, 1.05482172]), 'Gelman-Rubin': 0.9998295894984249}",No,1.0151276430195535,"{'CI': array([0.96369733, 1.06849873]), 'Gelman-Rubin': 0.999954027803627}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0041263466090362,"{'CI': array([0.94535692, 1.06491937]), 'Gelman-Rubin': 0.9998035447943805}",No,1.0264127135322005,"{'CI': array([0.9755378 , 1.07703793]), 'Gelman-Rubin': 0.9997591588352037}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.98293563777473,"{'CI': array([0.95677363, 1.01349753]), 'Gelman-Rubin': 0.9998233938616811}",No,1.0004158798871043,"{'CI': array([0.97203085, 1.02940194]), 'Gelman-Rubin': 1.0000104426219745}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9979324046775522,"{'CI': array([0.98488104, 1.01083908]), 'Gelman-Rubin': 1.0000978607302484}",No,0.9905055880913568,"{'CI': array([0.97691766, 1.00447297]), 'Gelman-Rubin': 0.9998731471411683}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0027400561391484,"{'CI': array([0.98661719, 1.01962983]), 'Gelman-Rubin': 0.9998731907880972}",No,0.991915088569731,"{'CI': array([0.97740975, 1.00703761]), 'Gelman-Rubin': 0.9998773289282592}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0181059872495106,"{'CI': array([0.96057034, 1.07683612]), 'Gelman-Rubin': 0.9998739777564998}",No,1.0149069522083318,"{'CI': array([0.96217277, 1.06564404]), 'Gelman-Rubin': 0.9999166469061185}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.02542295279163,"{'CI': array([0.96646118, 1.08386704]), 'Gelman-Rubin': 0.9999530420296372}",No,1.0020018475382382,"{'CI': array([0.95082612, 1.05303701]), 'Gelman-Rubin': 0.9997810470852472}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9798398995402418,"{'CI': array([0.9423966 , 1.01637848]), 'Gelman-Rubin': 0.9998514501944987}",No,0.9903007397491748,"{'CI': array([0.95733222, 1.0306588 ]), 'Gelman-Rubin': 0.9999032159564233}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.002383966098396,"{'CI': array([0.97855052, 1.02439406]), 'Gelman-Rubin': 0.9999146725420052}",No,0.9996199890112591,"{'CI': array([0.97660837, 1.02253085]), 'Gelman-Rubin': 0.9999126811567877}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0156004619525143,"{'CI': array([0.99536902, 1.0369102 ]), 'Gelman-Rubin': 0.9998310111591872}",No,0.9908192717186745,"{'CI': array([0.97041505, 1.01043437]), 'Gelman-Rubin': 0.9998462360553927}",No
