,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0097539613137623,"{'CI': array([0.9241752 , 1.10049549]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9241752 , 1.10049549]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0404153639443894,"{'CI': array([0.94663464, 1.14035854]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94663464, 1.14035854]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0241145242045993,"{'CI': array([0.94704939, 1.10531749]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94704939, 1.10531749]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.057713055622499,"{'CI': array([0.97788991, 1.14192949]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97788991, 1.14192949]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9964638944328266,"{'CI': array([0.96652079, 1.02701758]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96652079, 1.02701758]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9954631746168473,"{'CI': array([0.96512472, 1.02642812]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96512472, 1.02642812]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0136154586311077,"{'CI': array([0.99946306, 1.02790202]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99946306, 1.02790202]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9853293851460394,"{'CI': array([0.971883 , 0.9988979]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96958998, 1.00123638]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0187587735322314,"{'CI': array([1.00105062, 1.03667701]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99871503, 1.0390721 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9866685241410216,"{'CI': array([0.97021612, 1.00330388]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97021612, 1.00330388]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0491082360380448,"{'CI': array([0.97020522, 1.13231974]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97020522, 1.13231974]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.031931185673736,"{'CI': array([0.95009446, 1.11843548]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95009446, 1.11843548]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.063948397494351,"{'CI': array([0.98194736, 1.1505858 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98194736, 1.1505858 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0003145770002673,"{'CI': array([0.922782  , 1.08206851]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.922782  , 1.08206851]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9901279712726193,"{'CI': array([0.94733888, 1.03417763]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94733888, 1.03417763]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9812501554229902,"{'CI': array([0.93648999, 1.02739428]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93648999, 1.02739428]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0183352880920027,"{'CI': array([0.99521202, 1.04181826]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99521202, 1.04181826]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9947410931429521,"{'CI': array([0.97135924, 1.01849356]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97135924, 1.01849356]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0326482039914036,"{'CI': array([1.01045408, 1.05517175]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00753153, 1.05818759]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9851100932399051,"{'CI': array([0.96398713, 1.00653575]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96398713, 1.00653575]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
