,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0097515152341379,"{'CI': array([0.92418271, 1.10048186]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92418271, 1.10048186]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.040404542028268,"{'CI': array([0.94663689, 1.14033289]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94663689, 1.14033289]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0241100944373125,"{'CI': array([0.94705219, 1.10530504]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94705219, 1.10530504]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0577022681037387,"{'CI': array([0.97788712, 1.14190982]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97788712, 1.14190982]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9964639968915584,"{'CI': array([0.96652132, 1.02701725]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96652132, 1.02701725]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9954633584958716,"{'CI': array([0.96512534, 1.02642786]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96512534, 1.02642786]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0136153769089427,"{'CI': array([0.99946302, 1.02790189]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99946302, 1.02790189]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9853294762727538,"{'CI': array([0.97188313, 0.99889795]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96959012, 1.00123643]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0187586039317469,"{'CI': array([1.00105054, 1.03667676]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99871496, 1.03907182]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9866686615169211,"{'CI': array([0.97021632, 1.00330395]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97021632, 1.00330395]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0490988332306004,"{'CI': array([0.97020358, 1.13230172]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97020358, 1.13230172]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0319246886161375,"{'CI': array([0.95009662, 1.11841932]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95009662, 1.11841932]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0639356212815798,"{'CI': array([0.98194327, 1.15056335]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98194327, 1.15056335]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0003147815520825,"{'CI': array([0.92278955, 1.08206054]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92278955, 1.08206054]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.99012855982252,"{'CI': array([0.9473407 , 1.03417692]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9473407 , 1.03417692]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.981251491628502,"{'CI': array([0.93649272, 1.02739413]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93649272, 1.02739413]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0183349947960012,"{'CI': array([0.99521192, 1.04181777]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99521192, 1.04181777]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.994741203894048,"{'CI': array([0.97135955, 1.01849347]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97135955, 1.01849347]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0326477397055762,"{'CI': array([1.01045379, 1.05517111]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00753126, 1.05818693]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.985110341990359,"{'CI': array([0.96398752, 1.00653585]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96398752, 1.00653585]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.029135349026842,"{'CI': array([0.8940626 , 1.17743923]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8940626 , 1.17743923]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.039953797664221,"{'CI': array([0.89149875, 1.20446836]), 'Error Bound': 1.471316185145325e-309, 'Reliable CI?': 'Yes'}","{'CI': array([0.89149875, 1.20446836]), 'Error Bound': 1.471316185145325e-309, 'Reliable CI?': 'Yes'}",No
11,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0851045221616797,"{'CI': array([0.98901324, 1.1875779 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98901324, 1.1875779 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9420839292652763,"{'CI': array([0.85474085, 1.03493497]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.85474085, 1.03493497]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
12,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0251368755477217,"{'CI': array([0.98751786, 1.06371532]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98751786, 1.06371532]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9837611179761783,"{'CI': array([0.94661935, 1.02185001]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94661935, 1.02185001]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0222407493346637,"{'CI': array([1.00058376, 1.04421258]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99773146, 1.04715404]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9976785579119798,"{'CI': array([0.97677625, 1.01887625]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97677625, 1.01887625]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
14,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0122053115923368,"{'CI': array([0.98493347, 1.03997974]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98493347, 1.03997974]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.986479027953441,"{'CI': array([0.96101488, 1.01238417]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96101488, 1.01238417]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
15,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0054584671974993,"{'CI': array([0.87726227, 1.14561549]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87726227, 1.14561549]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.079057386519608,"{'CI': array([0.93604192, 1.23671084]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93604192, 1.23671084]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
16,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.067011617139875,"{'CI': array([0.96250012, 1.17916502]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96250012, 1.17916502]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0157881702568952,"{'CI': array([0.91216525, 1.12705002]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91216525, 1.12705002]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
17,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0169606936746867,"{'CI': array([0.97556154, 1.05952794]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97556154, 1.05952794]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0145929888194383,"{'CI': array([0.97169924, 1.05874165]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97169924, 1.05874165]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
18,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0402754198065784,"{'CI': array([1.0179469 , 1.06293672]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01500675, 1.06597112]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9941359276874967,"{'CI': array([0.97244503, 1.01614547]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97244503, 1.01614547]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
19,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.049748095890555,"{'CI': array([1.02115645, 1.07888567]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01739999, 1.08279676]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9954012976111054,"{'CI': array([0.96899314, 1.02228264]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96899314, 1.02228264]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
20,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0470799363211494,"{'CI': array([1.02421567, 1.07029255]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02120552, 1.07340136]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9761686857996349,"{'CI': array([0.95404765, 0.99862311]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95028794, 1.00250695]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
21,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0644329046377878,"{'CI': array([1.03511228, 1.09432546]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03126089, 1.09833885]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9747097693196797,"{'CI': array([0.94831987, 1.00157597]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94831987, 1.00157597]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
