,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.962521576827463,"{'CI': array([0.94219265, 0.98223705]), 'Gelman-Rubin': 0.9998223978824813}",Yes,1.0311844184255572,"{'CI': array([1.00933953, 1.05359941]), 'Gelman-Rubin': 0.9999051821370465}",Yes
1,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9430541625395991,"{'CI': array([0.91604006, 0.9737112 ]), 'Gelman-Rubin': 0.9997978179777491}",Yes,1.031834917396458,"{'CI': array([1.00067552, 1.06218319]), 'Gelman-Rubin': 1.000109461805338}",Yes
2,Cerebrovascular diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,0.9723013179121232,"{'CI': array([0.9556075 , 0.98644544]), 'Gelman-Rubin': 0.999889145897342}",Yes,1.016475232909566,"{'CI': array([1.00137555, 1.03210866]), 'Gelman-Rubin': 0.9997697221462923}",Yes
3,Hypertensive diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,1.0149191912527422,"{'CI': array([1.00678427, 1.02355855]), 'Gelman-Rubin': 0.9997903048967849}",Yes,0.985809516249024,"{'CI': array([0.97747843, 0.99440054]), 'Gelman-Rubin': 0.9998692039393141}",Yes
4,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0347010113583928,"{'CI': array([1.02734561, 1.04237783]), 'Gelman-Rubin': 0.9998025743463996}",Yes,0.9728484433340572,"{'CI': array([0.96606378, 0.98029222]), 'Gelman-Rubin': 0.9998625274643511}",Yes
5,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.022164738959429,"{'CI': array([1.0137261, 1.030897 ]), 'Gelman-Rubin': 0.9997807556598097}",Yes,0.98597813458293,"{'CI': array([0.9777748 , 0.99370817]), 'Gelman-Rubin': 0.9999223769958149}",Yes
6,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0401694208949468,"{'CI': array([1.03053325, 1.04851417]), 'Gelman-Rubin': 0.999771139803596}",Yes,0.9799248242099473,"{'CI': array([0.97257671, 0.98721307]), 'Gelman-Rubin': 0.9998049765541752}",Yes
7,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.011117146910172,"{'CI': array([1.00321765, 1.01942016]), 'Gelman-Rubin': 0.9999526155420508}",Yes,0.9861837293248278,"{'CI': array([0.97809137, 0.99438961]), 'Gelman-Rubin': 0.9997903030753279}",Yes
8,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$F$61-",diseases of the digestive system,1.0196280115725662,"{'CI': array([1.00349194, 1.0361625 ]), 'Gelman-Rubin': 0.9998819966331719}",Yes,0.9815398751705396,"{'CI': array([0.96576907, 0.996631  ]), 'Gelman-Rubin': 0.9999655679324537}",Yes
9,Disorders of choroid and retina|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.064922210457634,"{'CI': array([1.04625767, 1.08443157]), 'Gelman-Rubin': 1.0002200149113303}",Yes,0.9782905291996462,"{'CI': array([0.96162489, 0.99691871]), 'Gelman-Rubin': 0.9999975825852925}",Yes
10,Glaucoma|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.101573088532804,"{'CI': array([1.08408761, 1.1202781 ]), 'Gelman-Rubin': 0.9998495280073377}",Yes,0.9733683109980658,"{'CI': array([0.95618821, 0.98894799]), 'Gelman-Rubin': 0.99990329222669}",Yes
11,Glaucoma|diseases of the eye and adnexa$M$61-,diseases of the eye and adnexa,1.095731182236978,"{'CI': array([1.07534959, 1.1162683 ]), 'Gelman-Rubin': 1.0000111942124725}",Yes,0.9724522239799223,"{'CI': array([0.9537865 , 0.99052897]), 'Gelman-Rubin': 0.9997630045154802}",Yes
12,"Diseases of male genital organs|diseases of the genitourinary system: pelvis, genitals and breasts$M$61-","diseases of the genitourinary system: pelvis, genitals and breasts",1.037154890590705,"{'CI': array([1.02087159, 1.05373142]), 'Gelman-Rubin': 0.9998437477163934}",Yes,0.9803891068561673,"{'CI': array([0.96583371, 0.99523796]), 'Gelman-Rubin': 0.9998260403840133}",Yes
13,"Noninflammatory disorders of female genital tract|diseases of the genitourinary system: pelvis, genitals and breasts$F$61-","diseases of the genitourinary system: pelvis, genitals and breasts",1.0256226897660756,"{'CI': array([1.00710385, 1.047764  ]), 'Gelman-Rubin': 0.9998600198877036}",Yes,0.9774831054599518,"{'CI': array([0.95938043, 0.99698853]), 'Gelman-Rubin': 0.999792532326103}",Yes
14,Renal failure|diseases of the genitourinary system: urinary system$F$21-40,diseases of the genitourinary system: urinary system,0.9150821080161439,"{'CI': array([0.87180172, 0.95726976]), 'Gelman-Rubin': 0.9998263713750101}",Yes,1.0569518183505242,"{'CI': array([1.00967747, 1.10639996]), 'Gelman-Rubin': 1.000179990520003}",Yes
15,Renal failure|diseases of the genitourinary system: urinary system$F$41-60,diseases of the genitourinary system: urinary system,0.8820516170658047,"{'CI': array([0.86293887, 0.90254252]), 'Gelman-Rubin': 0.9998676822273292}",Yes,1.076843027593645,"{'CI': array([1.05326199, 1.10045799]), 'Gelman-Rubin': 0.9998640619313559}",Yes
16,Renal failure|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,0.8544730081246589,"{'CI': array([0.84188597, 0.8665258 ]), 'Gelman-Rubin': 1.000019046743413}",Yes,1.0842014289681778,"{'CI': array([1.06825727, 1.09847536]), 'Gelman-Rubin': 0.999867810768255}",Yes
17,Renal failure|diseases of the genitourinary system: urinary system$M$41-60,diseases of the genitourinary system: urinary system,0.8737541182817825,"{'CI': array([0.85632222, 0.89010294]), 'Gelman-Rubin': 0.9999068596849631}",Yes,1.0825710232219237,"{'CI': array([1.06224586, 1.10054381]), 'Gelman-Rubin': 0.9998301438532792}",Yes
18,Renal failure|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,0.8380319193047494,"{'CI': array([0.82733242, 0.84928687]), 'Gelman-Rubin': 0.9999745976812796}",Yes,1.092803595878809,"{'CI': array([1.08051513, 1.10611174]), 'Gelman-Rubin': 0.9999523446470777}",Yes
19,Inflammatory polyarthropathies|diseases of the musculoskeletal system and connective tissue$F$61-,diseases of the musculoskeletal system and connective tissue,1.0293467014173046,"{'CI': array([1.01074042, 1.04916498]), 'Gelman-Rubin': 0.9998296623489015}",Yes,0.9752249791301838,"{'CI': array([0.95832318, 0.99170156]), 'Gelman-Rubin': 1.0001110395860158}",Yes
20,Other soft tissue disorders|diseases of the musculoskeletal system and connective tissue$F$61-,diseases of the musculoskeletal system and connective tissue,1.0106702785808148,"{'CI': array([1.0004318 , 1.02123969]), 'Gelman-Rubin': 1.0000558683282268}",Yes,0.989402641447365,"{'CI': array([0.97840545, 0.99915506]), 'Gelman-Rubin': 0.9998382998996227}",Yes
21,Episodic and paroxysmal disorders|diseases of the nervous system$F$41-60,diseases of the nervous system,0.9888174786511833,"{'CI': array([0.97755025, 0.99931856]), 'Gelman-Rubin': 0.9997696866386799}",Yes,0.9760707525956142,"{'CI': array([0.96542019, 0.98669358]), 'Gelman-Rubin': 1.0000124349869581}",Yes
22,Episodic and paroxysmal disorders|diseases of the nervous system$M$41-60,diseases of the nervous system,0.9591318939527717,"{'CI': array([0.94887391, 0.9699678 ]), 'Gelman-Rubin': 0.9998098526015269}",Yes,0.9692526076279799,"{'CI': array([0.95957885, 0.98114826]), 'Gelman-Rubin': 0.9999001070019428}",Yes
23,Episodic and paroxysmal disorders|diseases of the nervous system$M$61-,diseases of the nervous system,0.9833475802668237,"{'CI': array([0.96735782, 0.99770352]), 'Gelman-Rubin': 0.9999520076496994}",Yes,0.9741750993488251,"{'CI': array([0.96017215, 0.98667713]), 'Gelman-Rubin': 0.9998692630445973}",Yes
24,Acute upper respiratory infections|diseases of the respiratory system$F$0-10,diseases of the respiratory system,1.052685322030689,"{'CI': array([1.04251433, 1.0634428 ]), 'Gelman-Rubin': 0.9999944781489436}",Yes,1.0300231414823848,"{'CI': array([1.01893151, 1.04147453]), 'Gelman-Rubin': 0.9998668829110657}",Yes
25,Acute upper respiratory infections|diseases of the respiratory system$M$0-10,diseases of the respiratory system,1.0483494265997457,"{'CI': array([1.03817197, 1.05944632]), 'Gelman-Rubin': 0.9998580226869985}",Yes,1.0293333088953123,"{'CI': array([1.01795507, 1.03935549]), 'Gelman-Rubin': 0.999921342562754}",Yes
26,Chronic lower respiratory diseases|diseases of the respiratory system$F$61-,diseases of the respiratory system,0.9864904703621109,"{'CI': array([0.97641842, 0.99706085]), 'Gelman-Rubin': 0.9997981304121915}",Yes,0.9760383973856475,"{'CI': array([0.96536111, 0.98641534]), 'Gelman-Rubin': 0.9997787610725986}",Yes
27,Influenza and pneumonia|diseases of the respiratory system$F$0-10,diseases of the respiratory system,1.0564647788862997,"{'CI': array([1.02395686, 1.08940794]), 'Gelman-Rubin': 0.9998286723125761}",Yes,1.0835637874606283,"{'CI': array([1.04892565, 1.11345101]), 'Gelman-Rubin': 0.9998506196125961}",Yes
28,Influenza and pneumonia|diseases of the respiratory system$M$0-10,diseases of the respiratory system,1.0494269932608278,"{'CI': array([1.01776076, 1.07935594]), 'Gelman-Rubin': 0.9998269163098806}",Yes,1.1011189063584477,"{'CI': array([1.07186368, 1.12962665]), 'Gelman-Rubin': 1.0000350274792094}",Yes
