,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$11-20","bacterial infections, and other intestinal infectious diseases, and stds",1.1435900353086021,"{'CI': array([1.02545909, 1.27131778]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01039157, 1.2891173 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.8616428653954409,"{'CI': array([0.75473436, 0.97717616]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.73712636, 0.99801671]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$61-",diseases of the circulatory system,1.0276080180882183,"{'CI': array([1.01060674, 1.04480229]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00836376, 1.04709992]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9790315252626569,"{'CI': array([0.96286172, 0.99537847]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96010719, 0.99819895]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,Hypertensive diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,1.0310133901156853,"{'CI': array([1.0224799, 1.0395952]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02135055, 1.04073823]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.980827277792768,"{'CI': array([0.97253662, 0.98916427]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97111999, 0.99059815]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0512315474232874,"{'CI': array([1.04391639, 1.05858195]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.04294783, 1.05956049]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9678329101619233,"{'CI': array([0.96123342, 0.97446181]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96010503, 0.97560115]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0384276428662558,"{'CI': array([1.03023976, 1.0466599 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02915601, 1.04775621]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9810289681173204,"{'CI': array([0.97306535, 0.98903533]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97170443, 0.99041215]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0569042793395387,"{'CI': array([1.04859231, 1.0652617 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.04749216, 1.06637471]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9749073644438598,"{'CI': array([0.96741056, 0.98244206]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96612919, 0.98373754]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Ischemic heart diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0262149596409322,"{'CI': array([1.01375016, 1.03878324]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01210294, 1.04045976]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9775950872571469,"{'CI': array([0.96563214, 0.98965475]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96359094, 0.99173196]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0346974243808844,"{'CI': array([1.02499343, 1.04446385]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02370972, 1.04576524]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9881698894780967,"{'CI': array([0.97896851, 0.99742819]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9773968 , 0.99902108]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.018633836469918,"{'CI': array([1.0104776 , 1.02683437]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00939804, 1.02792647]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9773283765870552,"{'CI': array([0.96936634, 0.98533314]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96800569, 0.98670969]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Other forms of heart disease|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0196748700670517,"{'CI': array([1.00643923, 1.03302754]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00469066, 1.03480925]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9841413057961642,"{'CI': array([0.97099425, 0.99740514]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96875202, 0.99969084]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
