,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$11-20","bacterial infections, and other intestinal infectious diseases, and stds",1.1435347548193777,"{'CI': array([1.02542963, 1.27123249]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0103653 , 1.28902764]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.8617070991092051,"{'CI': array([0.75481727, 0.97721838]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.73721223, 0.99805471]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$61-",diseases of the circulatory system,1.0276077864820516,"{'CI': array([1.01060658, 1.04480198]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00836362, 1.0470996 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9790317234297845,"{'CI': array([0.96286199, 0.9953786 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96010746, 0.99819907]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,Hypertensive diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,1.0310133229740313,"{'CI': array([1.02247984, 1.03959513]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0213505 , 1.04073815]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9808273226200342,"{'CI': array([0.97253667, 0.98916431]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97112004, 0.99059818]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0512314676797292,"{'CI': array([1.04391632, 1.05858187]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.04294776, 1.05956041]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9678329602381583,"{'CI': array([0.96123348, 0.97446185]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96010509, 0.97560119]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0384275669173333,"{'CI': array([1.03023969, 1.04665981]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02915594, 1.04775613]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9810290090539301,"{'CI': array([0.9730654 , 0.98903536]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97170448, 0.99041219]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0569041661786798,"{'CI': array([1.04859221, 1.06526158]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.04749206, 1.06637459]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9749074152250231,"{'CI': array([0.96741062, 0.9824421 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96612925, 0.98373758]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Ischemic heart diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0262148413086358,"{'CI': array([1.01375007, 1.03878309]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01210286, 1.04045961]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.977595202583958,"{'CI': array([0.96563229, 0.98965484]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96359109, 0.99173204]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0346973295219968,"{'CI': array([1.02499335, 1.04446374]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02370964, 1.04576512]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9881699283060752,"{'CI': array([0.97896856, 0.99742821]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97739685, 0.9990211 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0186338003577493,"{'CI': array([1.01047757, 1.02683432]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00939802, 1.02792642]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9773284285466054,"{'CI': array([0.9693664 , 0.98533318]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96800576, 0.98670973]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Other forms of heart disease|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0196747673462019,"{'CI': array([1.00643916, 1.0330274 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0046906, 1.0348091]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9841413994583691,"{'CI': array([0.97099438, 0.9974052 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96875215, 0.99969089]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
