,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0226850764717672,"{'CI': array([1.00191019, 1.04272856]), 'Gelman-Rubin': 0.9998500436490361}",Yes,0.9990604760902904,"{'CI': array([0.9788299 , 1.01908169]), 'Gelman-Rubin': 0.9999465132836008}",No
1,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0303562529879773,"{'CI': array([1.00011168, 1.05588042]), 'Gelman-Rubin': 0.9998499413838706}",Yes,1.000141669324073,"{'CI': array([0.9756688 , 1.02373948]), 'Gelman-Rubin': 1.0000616472279795}",No
2,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0289037553901081,"{'CI': array([1.00687797, 1.05338823]), 'Gelman-Rubin': 1.0004908064405278}",Yes,0.9828914847242453,"{'CI': array([0.96281234, 1.00707749]), 'Gelman-Rubin': 0.9998072108672668}",No
3,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0431944201194323,"{'CI': array([1.01779385, 1.06912962]), 'Gelman-Rubin': 0.999887465261918}",Yes,0.9821828418092827,"{'CI': array([0.95890794, 1.00639003]), 'Gelman-Rubin': 0.9998582636560522}",No
4,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9588062568386456,"{'CI': array([0.91740907, 0.99746331]), 'Gelman-Rubin': 0.999812302267488}",Yes,1.006945283201552,"{'CI': array([0.97128652, 1.04873429]), 'Gelman-Rubin': 0.9998250571862316}",No
5,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.96145056510718,"{'CI': array([0.93216554, 0.98972503]), 'Gelman-Rubin': 0.999940865994661}",Yes,0.9880306996613152,"{'CI': array([0.96095249, 1.01770426]), 'Gelman-Rubin': 0.9998069255959823}",No
6,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9439467019860966,"{'CI': array([0.92956082, 0.95942669]), 'Gelman-Rubin': 1.0001134686966096}",Yes,1.011846219228421,"{'CI': array([0.99789382, 1.0275153 ]), 'Gelman-Rubin': 0.9997884808609179}",No
7,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9304379861175244,"{'CI': array([0.91483884, 0.94487953]), 'Gelman-Rubin': 1.0001144224989893}",Yes,1.0143794149849306,"{'CI': array([0.99962989, 1.03098461]), 'Gelman-Rubin': 0.9999404329863031}",No
8,Certain disorders involving the immune mechanism|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.041481496820889,"{'CI': array([1.00351522, 1.07957581]), 'Gelman-Rubin': 0.9998305176019363}",Yes,1.007462608768373,"{'CI': array([0.97216097, 1.04308453]), 'Gelman-Rubin': 0.9999431713471914}",No
9,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9790145808951746,"{'CI': array([0.95679759, 0.9999727 ]), 'Gelman-Rubin': 1.00009712877111}",Yes,1.0082297891578513,"{'CI': array([0.98592518, 1.03183965]), 'Gelman-Rubin': 1.0001696516560257}",No
10,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9489468497725019,"{'CI': array([0.92960914, 0.97099175]), 'Gelman-Rubin': 0.9998344807119973}",Yes,1.0016374362291096,"{'CI': array([0.98021492, 1.02461865]), 'Gelman-Rubin': 0.999768487137143}",No
11,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9050027127535242,"{'CI': array([0.88437522, 0.92850078]), 'Gelman-Rubin': 0.9999009257779079}",Yes,1.0147106708165097,"{'CI': array([0.99195579, 1.03774833]), 'Gelman-Rubin': 1.000038671307188}",No
12,Cerebrovascular diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,0.971107137916194,"{'CI': array([0.94764435, 0.99625373]), 'Gelman-Rubin': 1.0000222191876849}",Yes,1.0018994146294546,"{'CI': array([0.97668442, 1.02688815]), 'Gelman-Rubin': 0.9997889954845964}",No
13,Cerebrovascular diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,0.9740014709072925,"{'CI': array([0.95927537, 0.98859885]), 'Gelman-Rubin': 1.0000573786476168}",Yes,1.0106589894794227,"{'CI': array([0.99598848, 1.02618506]), 'Gelman-Rubin': 0.9999051166490631}",No
14,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0184412437538002,"{'CI': array([1.00917118, 1.02855736]), 'Gelman-Rubin': 1.000099531900269}",Yes,0.9931433910189813,"{'CI': array([0.98427382, 1.00213737]), 'Gelman-Rubin': 0.9998619501941939}",No
15,Noninfective enteritis and colitis|diseases of the digestive system$M$21-40,diseases of the digestive system,1.030536738143059,"{'CI': array([1.003403  , 1.05931342]), 'Gelman-Rubin': 0.9998084561725987}",Yes,0.9901225496733601,"{'CI': array([0.96227394, 1.01696913]), 'Gelman-Rubin': 1.000210799046862}",No
16,Other diseases of intestines|diseases of the digestive system$F$11-20,diseases of the digestive system,1.0504354415208164,"{'CI': array([1.00564744, 1.09861719]), 'Gelman-Rubin': 1.0002568137904193}",Yes,0.9958195142152411,"{'CI': array([0.95347634, 1.03473743]), 'Gelman-Rubin': 0.9999163056881244}",No
17,Diseases of external ear|diseases of the ear and mastoid process$M$61-,diseases of the ear and mastoid process,1.0494465886919015,"{'CI': array([1.01580644, 1.08768777]), 'Gelman-Rubin': 0.9998416513065671}",Yes,0.9919846361274682,"{'CI': array([0.96017272, 1.02419315]), 'Gelman-Rubin': 1.0001507063837027}",No
18,Diseases of middle ear and mastoid|diseases of the ear and mastoid process$F$11-20,diseases of the ear and mastoid process,1.0364087521144125,"{'CI': array([1.00725716, 1.06689617]), 'Gelman-Rubin': 0.9998074168960474}",Yes,1.007686343265575,"{'CI': array([0.97773591, 1.03985472]), 'Gelman-Rubin': 0.9997920956608152}",No
19,Other disorders of ear|diseases of the ear and mastoid process$F$21-40,diseases of the ear and mastoid process,1.038779080901436,"{'CI': array([1.00482173, 1.07423027]), 'Gelman-Rubin': 0.999826120329746}",Yes,0.9803694733670083,"{'CI': array([0.9450104, 1.0164242]), 'Gelman-Rubin': 0.9998463537826687}",No
20,Disorders of choroid and retina|diseases of the eye and adnexa$M$61-,diseases of the eye and adnexa,1.0604914221867863,"{'CI': array([1.0365361 , 1.08179963]), 'Gelman-Rubin': 0.9997576006842382}",Yes,0.9875004013533236,"{'CI': array([0.96788348, 1.00712766]), 'Gelman-Rubin': 0.999798543135883}",No
21,Disorders of conjunctiva|diseases of the eye and adnexa$M$0-10,diseases of the eye and adnexa,0.9536571468733637,"{'CI': array([0.92308343, 0.98409129]), 'Gelman-Rubin': 0.999760693474342}",Yes,0.9964664490323031,"{'CI': array([0.96195544, 1.02968819]), 'Gelman-Rubin': 0.9998185003214779}",No
22,"Disorders of eyelid, lacrimal system and orbit|diseases of the eye and adnexa$M$61-",diseases of the eye and adnexa,1.035988331326515,"{'CI': array([1.00210731, 1.07190266]), 'Gelman-Rubin': 0.9997766881700618}",Yes,0.9921120817520779,"{'CI': array([0.96263811, 1.02304667]), 'Gelman-Rubin': 0.9997738838752971}",No
23,Disorders of lens|diseases of the eye and adnexa$F$41-60,diseases of the eye and adnexa,1.033840016050157,"{'CI': array([1.00179034, 1.0631889 ]), 'Gelman-Rubin': 0.9998126197939772}",Yes,1.0065090312362568,"{'CI': array([0.97865365, 1.03251289]), 'Gelman-Rubin': 0.9998416581015779}",No
24,Disorders of lens|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.0392817538584338,"{'CI': array([1.02242629, 1.05455746]), 'Gelman-Rubin': 1.0000890625307621}",Yes,0.9995352623618643,"{'CI': array([0.98680677, 1.01337746]), 'Gelman-Rubin': 0.9998361977529387}",No
25,Disorders of lens|diseases of the eye and adnexa$M$41-60,diseases of the eye and adnexa,1.0312804177747048,"{'CI': array([1.00039073, 1.06493117]), 'Gelman-Rubin': 1.0002088851413395}",Yes,1.0040486491523688,"{'CI': array([0.97725629, 1.03543068]), 'Gelman-Rubin': 0.9998311180056165}",No
26,Disorders of lens|diseases of the eye and adnexa$M$61-,diseases of the eye and adnexa,1.0330450588134925,"{'CI': array([1.01223291, 1.05028716]), 'Gelman-Rubin': 0.9998955497359611}",Yes,1.0068947575476663,"{'CI': array([0.99180026, 1.02274016]), 'Gelman-Rubin': 0.9998364492655749}",No
27,Disorders of sclera and cornea|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.0448559452118689,"{'CI': array([1.00594232, 1.08577175]), 'Gelman-Rubin': 0.9998985670998636}",Yes,0.9947712290529171,"{'CI': array([0.96141712, 1.03040159]), 'Gelman-Rubin': 0.9998092073864895}",No
28,Disorders of vitreous body and globe|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.0380199129214924,"{'CI': array([1.00433274, 1.07351493]), 'Gelman-Rubin': 0.9998623795505354}",Yes,0.997708918142893,"{'CI': array([0.97078939, 1.02987919]), 'Gelman-Rubin': 0.9998185676510675}",No
29,Glaucoma|diseases of the eye and adnexa$F$41-60,diseases of the eye and adnexa,1.0429809022541199,"{'CI': array([1.01918312, 1.06709397]), 'Gelman-Rubin': 0.999941552589422}",Yes,0.9858727505129018,"{'CI': array([0.96321484, 1.0091582 ]), 'Gelman-Rubin': 0.999818339440129}",No
30,Glaucoma|diseases of the eye and adnexa$M$41-60,diseases of the eye and adnexa,1.0417485887869535,"{'CI': array([1.01454039, 1.06872123]), 'Gelman-Rubin': 1.0000199216870098}",Yes,0.9827867777974222,"{'CI': array([0.95849595, 1.0078608 ]), 'Gelman-Rubin': 0.999813390832982}",No
31,"Noninflammatory disorders of female genital tract|diseases of the genitourinary system: pelvis, genitals and breasts$F$11-20","diseases of the genitourinary system: pelvis, genitals and breasts",1.0432940037477676,"{'CI': array([1.02155186, 1.06774934]), 'Gelman-Rubin': 0.999801062753861}",Yes,0.9977467498538292,"{'CI': array([0.9751442 , 1.02069121]), 'Gelman-Rubin': 0.9999170014444312}",No
32,"Noninflammatory disorders of female genital tract|diseases of the genitourinary system: pelvis, genitals and breasts$F$21-40","diseases of the genitourinary system: pelvis, genitals and breasts",1.0118351247880644,"{'CI': array([1.0019374 , 1.02251465]), 'Gelman-Rubin': 0.9997808722079433}",Yes,1.0009930781387417,"{'CI': array([0.99121624, 1.01009626]), 'Gelman-Rubin': 1.000091861075913}",No
33,Other disorders of kidney and ureter|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,0.9282414453715804,"{'CI': array([0.90143337, 0.95499592]), 'Gelman-Rubin': 0.9997618449948336}",Yes,0.990651765110129,"{'CI': array([0.96555769, 1.02041764]), 'Gelman-Rubin': 1.0000079912172195}",No
34,Other disorders of kidney and ureter|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,0.8942703045936126,"{'CI': array([0.87213663, 0.91788613]), 'Gelman-Rubin': 0.9997523889905817}",Yes,0.9789746682617677,"{'CI': array([0.95399839, 1.00307677]), 'Gelman-Rubin': 1.0000258934436919}",No
35,Renal failure|diseases of the genitourinary system: urinary system$M$21-40,diseases of the genitourinary system: urinary system,0.8913927892873297,"{'CI': array([0.85262367, 0.93040317]), 'Gelman-Rubin': 1.0001528238393524}",Yes,1.0419466725079194,"{'CI': array([0.99907073, 1.08300961]), 'Gelman-Rubin': 1.000003062069216}",No
36,Renal tubulo-interstitial diseases|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,1.0413278080618156,"{'CI': array([1.00591896, 1.07453487]), 'Gelman-Rubin': 0.9997977991090979}",Yes,0.9875612586855179,"{'CI': array([0.95603908, 1.01766201]), 'Gelman-Rubin': 0.9997675321977602}",No
37,Chondropathies|diseases of the musculoskeletal system and connective tissue$F$61-,diseases of the musculoskeletal system and connective tissue,1.0274169457364792,"{'CI': array([1.00057918, 1.05461599]), 'Gelman-Rubin': 0.9998497803419912}",Yes,0.9927355823667913,"{'CI': array([0.9685589 , 1.01514288]), 'Gelman-Rubin': 0.9998989890264327}",No
38,Disorders of muscles|diseases of the musculoskeletal system and connective tissue$F$61-,diseases of the musculoskeletal system and connective tissue,0.914045215239075,"{'CI': array([0.89884109, 0.931711  ]), 'Gelman-Rubin': 0.999948944606162}",Yes,0.9882413081949475,"{'CI': array([0.97126118, 1.00604839]), 'Gelman-Rubin': 0.9998972192546617}",No
39,Disorders of muscles|diseases of the musculoskeletal system and connective tissue$M$61-,diseases of the musculoskeletal system and connective tissue,0.9243365525371332,"{'CI': array([0.90420671, 0.94637685]), 'Gelman-Rubin': 0.9997715483346963}",Yes,1.0005258158839905,"{'CI': array([0.97714102, 1.0241608 ]), 'Gelman-Rubin': 1.0000010627737}",No
40,Inflammatory polyarthropathies|diseases of the musculoskeletal system and connective tissue$M$61-,diseases of the musculoskeletal system and connective tissue,1.030642165222757,"{'CI': array([1.0074666 , 1.05402801]), 'Gelman-Rubin': 0.9997647037296328}",Yes,0.9805923651252394,"{'CI': array([0.95943634, 1.00251013]), 'Gelman-Rubin': 0.9998239952537601}",No
41,Other joint disorders|diseases of the musculoskeletal system and connective tissue$F$21-40,diseases of the musculoskeletal system and connective tissue,0.9854962234061901,"{'CI': array([0.97443725, 0.99810381]), 'Gelman-Rubin': 0.9999602634957951}",Yes,1.004830603721036,"{'CI': array([0.99162762, 1.018714  ]), 'Gelman-Rubin': 0.9997718819615196}",No
42,Systemic connective tissue disorders|diseases of the musculoskeletal system and connective tissue$M$61-,diseases of the musculoskeletal system and connective tissue,1.0564670155531146,"{'CI': array([1.00327135, 1.10577079]), 'Gelman-Rubin': 0.999836534947468}",Yes,0.9849279948932683,"{'CI': array([0.94162988, 1.02740819]), 'Gelman-Rubin': 0.999766568380023}",No
43,Episodic and paroxysmal disorders|diseases of the nervous system$M$21-40,diseases of the nervous system,0.9816239570297947,"{'CI': array([0.96471292, 0.99815074]), 'Gelman-Rubin': 0.9997578298489875}",Yes,0.9950269217656792,"{'CI': array([0.97840263, 1.01163613]), 'Gelman-Rubin': 0.999758315098282}",No
44,Other degenerative diseases of the nervous system|diseases of the nervous system$F$61-,diseases of the nervous system,0.9518047679921996,"{'CI': array([0.92180195, 0.98202434]), 'Gelman-Rubin': 0.9999238460159132}",Yes,1.0003660979689657,"{'CI': array([0.97255226, 1.03189662]), 'Gelman-Rubin': 0.999837729027506}",No
