,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0326482039914036,"{'CI': array([1.01045408, 1.05517175]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00753153, 1.05818759]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9851100932399051,"{'CI': array([0.96398713, 1.00653575]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96398713, 1.00653575]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0402760100436064,"{'CI': array([1.01794732, 1.06293749]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01500714, 1.06597191]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.994135823419286,"{'CI': array([0.97244477, 1.01614553]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97244477, 1.01614553]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0497492630867369,"{'CI': array([1.02115726, 1.07888721]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01740075, 1.08279836]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.995401139452946,"{'CI': array([0.96899269, 1.02228278]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96899269, 1.02228278]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.047080659685086,"{'CI': array([1.02421621, 1.07029346]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02120603, 1.0734023 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9761682811125217,"{'CI': array([0.95404708, 0.99862288]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95028734, 1.00250675]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0644344971092097,"{'CI': array([1.03511348, 1.09432746]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03126204, 1.09834091]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9747091711608169,"{'CI': array([0.94831899, 1.00157567]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94831899, 1.00157567]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.085894941027759,"{'CI': array([1.01185265, 1.16366631]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00227585, 1.17430133]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0217319386213557,"{'CI': array([0.95376411, 1.09289557]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95376411, 1.09289557]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$M$11-20","bacterial infections, and other intestinal infectious diseases, and stds",1.2601234221349267,"{'CI': array([1.04301316, 1.5105849 ]), 'Error Bound': 1.3149326278444018e-182, 'Reliable CI?': 'Yes'}","{'CI': array([1.01608534, 1.54711716]), 'Error Bound': 1.3149326278444018e-182, 'Reliable CI?': 'Yes'}",Yes,0.8459681853455239,"{'CI': array([0.68516961, 1.02723067]), 'Error Bound': 2.3860126357901608e-199, 'Reliable CI?': 'Yes'}","{'CI': array([0.68516961, 1.02723067]), 'Error Bound': 2.3860126357901608e-199, 'Reliable CI?': 'Yes'}",No
7,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.073036068293796,"{'CI': array([1.01072298, 1.13798446]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00263192, 1.14682289]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0168341731690371,"{'CI': array([0.92920172, 1.10986851]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92920172, 1.10986851]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9569781982948287,"{'CI': array([0.94181325, 0.97230016]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93981145, 0.97434643]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0076179683684567,"{'CI': array([0.9920002 , 1.02339935]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9920002 , 1.02339935]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9426341189924784,"{'CI': array([0.92702368, 0.95841177]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92496347, 0.96051933]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0103969945482136,"{'CI': array([0.99402963, 1.02694399]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99402963, 1.02694399]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
