,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0326477397055762,"{'CI': array([1.01045379, 1.05517111]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00753126, 1.05818693]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.985110341990359,"{'CI': array([0.96398752, 1.00653585]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96398752, 1.00653585]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0402754198065784,"{'CI': array([1.0179469 , 1.06293672]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01500675, 1.06597112]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9941359276874967,"{'CI': array([0.97244503, 1.01614547]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97244503, 1.01614547]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.049748095890555,"{'CI': array([1.02115645, 1.07888567]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01739999, 1.08279676]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9954012976111054,"{'CI': array([0.96899314, 1.02228264]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96899314, 1.02228264]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0470799363211494,"{'CI': array([1.02421567, 1.07029255]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02120552, 1.07340136]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9761686857996349,"{'CI': array([0.95404765, 0.99862311]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95028794, 1.00250695]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0644329046377878,"{'CI': array([1.03511228, 1.09432546]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03126089, 1.09833885]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9747097693196797,"{'CI': array([0.94831987, 1.00157597]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94831987, 1.00157597]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0858815354775786,"{'CI': array([1.01184559, 1.16364592]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00226959, 1.17427997]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0217291792118512,"{'CI': array([0.95376628, 1.09288742]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95376628, 1.09288742]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$M$11-20","bacterial infections, and other intestinal infectious diseases, and stds",1.2598103856846923,"{'CI': array([1.04285944, 1.51006355]), 'Error Bound': 7.970024237856061e-183, 'Reliable CI?': 'Yes'}","{'CI': array([1.0159503 , 1.54656283]), 'Error Bound': 7.970024237856061e-183, 'Reliable CI?': 'Yes'}",Yes,0.8461395084769484,"{'CI': array([0.68540489, 1.02731934]), 'Error Bound': 1.4462605457371937e-199, 'Reliable CI?': 'Yes'}","{'CI': array([0.68540489, 1.02731934]), 'Error Bound': 1.4462605457371937e-199, 'Reliable CI?': 'Yes'}",No
7,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0730277205059582,"{'CI': array([1.01071843, 1.137972  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00262785, 1.14680985]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.016830232865436,"{'CI': array([0.92920844, 1.10985256]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92920844, 1.10985256]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9569785336369913,"{'CI': array([0.94181364, 0.97230044]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93981184, 0.9743467 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.007617930806031,"{'CI': array([0.99200022, 1.02339925]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99200022, 1.02339925]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9426346014740273,"{'CI': array([0.92702422, 0.95841219]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92496402, 0.96051974]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0103969299555784,"{'CI': array([0.99402963, 1.02694385]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99402963, 1.02694385]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
