,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0165462650763937,"{'CI': array([0.96212156, 1.07276206]), 'Gelman-Rubin': 1.0001070443416171}",No,1.0025597884286908,"{'CI': array([0.95410441, 1.05119309]), 'Gelman-Rubin': 0.999784081653668}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0191342936474512,"{'CI': array([0.96671631, 1.07386217]), 'Gelman-Rubin': 0.9998710332638466}",No,0.9974195287244835,"{'CI': array([0.95084875, 1.04426841]), 'Gelman-Rubin': 0.999894226115188}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0034564642141417,"{'CI': array([0.98085744, 1.02583838]), 'Gelman-Rubin': 0.9997690011168875}",No,1.0065058715651924,"{'CI': array([0.98439708, 1.03169036]), 'Gelman-Rubin': 1.0001204707921851}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0024189512288513,"{'CI': array([0.99095921, 1.01429407]), 'Gelman-Rubin': 1.0001596120590621}",No,1.0001984295437092,"{'CI': array([0.98884796, 1.01199851]), 'Gelman-Rubin': 1.000126192904471}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0174323878934817,"{'CI': array([1.00095548, 1.03352086]), 'Gelman-Rubin': 0.9998708543653445}",Yes,0.993883125345528,"{'CI': array([0.97805851, 1.00896706]), 'Gelman-Rubin': 0.9998749557589608}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0157528542418648,"{'CI': array([0.96284083, 1.06815105]), 'Gelman-Rubin': 0.9998134785090103}",No,1.0013254324005258,"{'CI': array([0.95210053, 1.04855752]), 'Gelman-Rubin': 1.0002378955584952}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9959181460835063,"{'CI': array([0.94431773, 1.04754883]), 'Gelman-Rubin': 0.9998263094729672}",No,1.0094756252410007,"{'CI': array([0.96125072, 1.05945298]), 'Gelman-Rubin': 0.9997639854877524}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0020550998856104,"{'CI': array([0.97150775, 1.03318162]), 'Gelman-Rubin': 0.9997888624332593}",No,0.9905700484645138,"{'CI': array([0.95978199, 1.02317419]), 'Gelman-Rubin': 0.999760954173913}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9987462197556131,"{'CI': array([0.98132833, 1.01627926]), 'Gelman-Rubin': 0.9998397946868344}",No,0.9897775190036235,"{'CI': array([0.97262066, 1.00771518]), 'Gelman-Rubin': 0.9997903213802486}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.030214647615359,"{'CI': array([1.00878165, 1.04916346]), 'Gelman-Rubin': 0.9997739139567139}",Yes,0.9855535996386283,"{'CI': array([0.96623738, 1.00563894]), 'Gelman-Rubin': 0.9998960515005837}",No
