,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.024413506664141,"{'CI': array([0.94944112, 1.10330011]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94944112, 1.10330011]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0009840850931206,"{'CI': array([0.92472647, 1.08132211]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92472647, 1.08132211]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.026396499017716,"{'CI': array([0.95780952, 1.09824029]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95780952, 1.09824029]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9899491992329336,"{'CI': array([0.92337335, 1.05962484]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92337335, 1.05962484]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9954452238875808,"{'CI': array([0.97116385, 1.02012687]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97116385, 1.02012687]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0024945479277645,"{'CI': array([0.97793673, 1.02746027]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97793673, 1.02746027]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9941216945196283,"{'CI': array([0.98221584, 1.006123  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98221584, 1.006123  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9951662468124353,"{'CI': array([0.98366224, 1.00675924]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98366224, 1.00675924]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0097309544952282,"{'CI': array([0.99305095, 1.0265978 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99305095, 1.0265978 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9885137908781094,"{'CI': array([0.97280249, 1.00439177]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97280249, 1.00439177]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0199704905161135,"{'CI': array([0.95283211, 1.09023558]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95283211, 1.09023558]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9978689494618386,"{'CI': array([0.92965137, 1.06933703]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92965137, 1.06933703]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9846764031132647,"{'CI': array([0.91640221, 1.0562243 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91640221, 1.0562243 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0150491871057752,"{'CI': array([0.94580942, 1.08761862]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94580942, 1.08761862]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9941151183249248,"{'CI': array([0.959476  , 1.02957496]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.959476  , 1.02957496]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9828887574450207,"{'CI': array([0.94714958, 1.01950424]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94714958, 1.01950424]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9903829260597354,"{'CI': array([0.97150276, 1.00950457]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97150276, 1.00950457]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9839311797152057,"{'CI': array([0.96490879, 1.00319903]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96490879, 1.00319903]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.023888767428438,"{'CI': array([1.00283583, 1.04523881]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99950838, 1.04866849]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9793123617506793,"{'CI': array([0.95904879, 0.99985491]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95568959, 1.00331514]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0039526207460097,"{'CI': array([0.88917546, 1.1282344 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88917546, 1.1282344 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.98608568135808,"{'CI': array([0.86841292, 1.11381983]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86841292, 1.11381983]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
