,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.02440900743323,"{'CI': array([0.94944329, 1.10328823]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94944329, 1.10328823]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.000984067511169,"{'CI': array([0.92473345, 1.08131433]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92473345, 1.08131433]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0263926032758413,"{'CI': array([0.95781071, 1.09823082]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95781071, 1.09823082]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9899508636429819,"{'CI': array([0.92337965, 1.05962143]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92337965, 1.05962143]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9954452997772126,"{'CI': array([0.97116415, 1.02012671]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97116415, 1.02012671]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0024945350932009,"{'CI': array([0.97793694, 1.02746002]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97793694, 1.02746002]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9941217199403968,"{'CI': array([0.98221589, 1.006123  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98221589, 1.006123  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.995166271721983,"{'CI': array([0.98366229, 1.00675924]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98366229, 1.00675924]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0097308788715762,"{'CI': array([0.99305095, 1.02659765]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99305095, 1.02659765]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9885138991334896,"{'CI': array([0.97280266, 1.00439182]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97280266, 1.00439182]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0199675060702356,"{'CI': array([0.95283391, 1.09022737]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95283391, 1.09022737]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9978694061338593,"{'CI': array([0.92965682, 1.06933201]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92965682, 1.06933201]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9846787217759074,"{'CI': array([0.91640955, 1.05622111]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91640955, 1.05622111]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0150471414201112,"{'CI': array([0.94581259, 1.08761084]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94581259, 1.08761084]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9941153248032597,"{'CI': array([0.95947685, 1.02957449]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95947685, 1.02957449]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9828895385321955,"{'CI': array([0.94715107, 1.01950428]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94715107, 1.01950428]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9903830320409472,"{'CI': array([0.97150297, 1.00950457]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97150297, 1.00950457]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9839313791942174,"{'CI': array([0.9649091 , 1.00319912]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9649091 , 1.00319912]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.023888458858618,"{'CI': array([1.00283567, 1.04523836]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99950824, 1.04866801]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9793126670354488,"{'CI': array([0.95904923, 0.99985508]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95569005, 1.00331529]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
