,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9518378794322209,"{'CI': array([0.93832029, 0.9658723 ]), 'Gelman-Rubin': 0.9998978780640094}",Yes,1.0193604876152724,"{'CI': array([1.00361303, 1.0347071 ]), 'Gelman-Rubin': 0.9998908086358173}",Yes
1,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9631014075851453,"{'CI': array([0.94431935, 0.98127495]), 'Gelman-Rubin': 0.9998526097130078}",Yes,1.0427723655044734,"{'CI': array([1.02525854, 1.06101514]), 'Gelman-Rubin': 0.999849980677408}",Yes
2,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9439083445097981,"{'CI': array([0.92916985, 0.95856266]), 'Gelman-Rubin': 1.0000053135275833}",Yes,1.0199417014461274,"{'CI': array([1.00398427, 1.03499985]), 'Gelman-Rubin': 0.9999458398612733}",Yes
3,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.946160665765857,"{'CI': array([0.9226041 , 0.96957024]), 'Gelman-Rubin': 1.000025746394226}",Yes,1.0656352449827917,"{'CI': array([1.03876859, 1.08950437]), 'Gelman-Rubin': 0.9998200408001137}",Yes
4,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9169769539312468,"{'CI': array([0.89869089, 0.93619101]), 'Gelman-Rubin': 0.9997582600486559}",Yes,1.031330293999418,"{'CI': array([1.01010874, 1.05276079]), 'Gelman-Rubin': 0.9999528753898035}",Yes
5,Hypertensive diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,1.0130103624662439,"{'CI': array([1.00694663, 1.02011087]), 'Gelman-Rubin': 0.9997652222490953}",Yes,0.988261594516212,"{'CI': array([0.98231029, 0.9947089 ]), 'Gelman-Rubin': 0.9998117322653272}",Yes
6,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0264180939103973,"{'CI': array([1.01953541, 1.03272112]), 'Gelman-Rubin': 0.9997822006575827}",Yes,0.981511877392591,"{'CI': array([0.97518627, 0.98848342]), 'Gelman-Rubin': 0.9997727148643554}",Yes
7,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0268777067628303,"{'CI': array([1.01930976, 1.03423787]), 'Gelman-Rubin': 0.9998239274172427}",Yes,0.978797544182562,"{'CI': array([0.9719873 , 0.98625328]), 'Gelman-Rubin': 1.0001484193174903}",Yes
8,Ischemic heart diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,0.9768880613202109,"{'CI': array([0.96056828, 0.99234727]), 'Gelman-Rubin': 0.999867485017292}",Yes,1.017021094803965,"{'CI': array([1.00091822, 1.03317608]), 'Gelman-Rubin': 0.9999999115056857}",Yes
9,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0219335281192348,"{'CI': array([1.0129996 , 1.03008523]), 'Gelman-Rubin': 0.9997752505547786}",Yes,0.9832961468717574,"{'CI': array([0.97519681, 0.99142139]), 'Gelman-Rubin': 0.9998455971635001}",Yes
10,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.02630649182975,"{'CI': array([1.01822811, 1.03364809]), 'Gelman-Rubin': 0.9998878305450062}",Yes,0.984685529546234,"{'CI': array([0.97745449, 0.99276006]), 'Gelman-Rubin': 0.9997874683136089}",Yes
11,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$F$41-60",diseases of the digestive system,0.9877809377783475,"{'CI': array([0.97732014, 0.99848365]), 'Gelman-Rubin': 0.9999313959859232}",Yes,1.011404604552833,"{'CI': array([1.00067976, 1.02242071]), 'Gelman-Rubin': 0.9998301175860814}",Yes
12,Noninfective enteritis and colitis|diseases of the digestive system$F$21-40,diseases of the digestive system,1.0296774035903737,"{'CI': array([1.0094285 , 1.05166381]), 'Gelman-Rubin': 0.9997862405569726}",Yes,0.9790284521814194,"{'CI': array([0.9598495 , 0.99993122]), 'Gelman-Rubin': 0.9997678734414709}",Yes
13,Glaucoma|diseases of the eye and adnexa$F$41-60,diseases of the eye and adnexa,1.0416836257168036,"{'CI': array([1.02177945, 1.06384877]), 'Gelman-Rubin': 0.9999700919858009}",Yes,0.9787047122484875,"{'CI': array([0.96108183, 0.99869346]), 'Gelman-Rubin': 0.9997516585140461}",Yes
14,Glaucoma|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.076217170620512,"{'CI': array([1.05814255, 1.0939388 ]), 'Gelman-Rubin': 0.9999463426665165}",Yes,0.9740618608770336,"{'CI': array([0.95920909, 0.99032101]), 'Gelman-Rubin': 0.9999058765445669}",Yes
15,Glaucoma|diseases of the eye and adnexa$M$41-60,diseases of the eye and adnexa,1.0293782600139154,"{'CI': array([1.00418899, 1.05256506]), 'Gelman-Rubin': 0.99983152408922}",Yes,0.9740355541505872,"{'CI': array([0.9525124, 0.9964723]), 'Gelman-Rubin': 0.999807473535136}",Yes
16,Glaucoma|diseases of the eye and adnexa$M$61-,diseases of the eye and adnexa,1.0831537616730462,"{'CI': array([1.06133318, 1.10281136]), 'Gelman-Rubin': 0.9998806559796924}",Yes,0.9682046687253667,"{'CI': array([0.95124611, 0.98579539]), 'Gelman-Rubin': 0.9999682680284817}",Yes
17,Renal failure|diseases of the genitourinary system: urinary system$F$21-40,diseases of the genitourinary system: urinary system,0.9169657036793551,"{'CI': array([0.88696696, 0.94846127]), 'Gelman-Rubin': 0.9998585887376509}",Yes,1.0788238560736039,"{'CI': array([1.04617303, 1.11577444]), 'Gelman-Rubin': 0.9999217470975711}",Yes
18,Renal failure|diseases of the genitourinary system: urinary system$F$41-60,diseases of the genitourinary system: urinary system,0.8932593322827247,"{'CI': array([0.87923247, 0.90778623]), 'Gelman-Rubin': 0.9998146903424882}",Yes,1.1044479595015977,"{'CI': array([1.08771339, 1.12165273]), 'Gelman-Rubin': 0.9998486961084687}",Yes
19,Renal failure|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,0.8806661079245243,"{'CI': array([0.86829876, 0.89358072]), 'Gelman-Rubin': 0.9999308942628556}",Yes,1.0826025652127067,"{'CI': array([1.06857926, 1.09738373]), 'Gelman-Rubin': 0.999770856273164}",Yes
20,Renal failure|diseases of the genitourinary system: urinary system$M$21-40,diseases of the genitourinary system: urinary system,0.9031842264772798,"{'CI': array([0.87665493, 0.93559106]), 'Gelman-Rubin': 0.9998072314356672}",Yes,1.1000484956567342,"{'CI': array([1.0664969 , 1.13242359]), 'Gelman-Rubin': 0.9999037634936696}",Yes
21,Renal failure|diseases of the genitourinary system: urinary system$M$41-60,diseases of the genitourinary system: urinary system,0.8902060885929889,"{'CI': array([0.87784282, 0.90381881]), 'Gelman-Rubin': 0.9998719859119926}",Yes,1.1003599191866318,"{'CI': array([1.08605656, 1.11642755]), 'Gelman-Rubin': 1.0001261212942654}",Yes
22,Renal failure|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,0.8722123588690183,"{'CI': array([0.86101762, 0.8841642 ]), 'Gelman-Rubin': 0.9998683569494704}",Yes,1.0910793886633061,"{'CI': array([1.0772932 , 1.10280845]), 'Gelman-Rubin': 0.9997683353110633}",Yes
