,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$21-40,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9515130115238418,"{'CI': array([0.91216541, 0.99193879]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90599044, 0.99848494]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0750734828943922,"{'CI': array([1.03042232, 1.12105847]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02308433, 1.12887981]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9530119205833614,"{'CI': array([0.93522851, 0.97101215]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93241481, 0.97390045]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0409548430743218,"{'CI': array([1.02178495, 1.06036932]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0186053 , 1.06363754]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9324436214360429,"{'CI': array([0.90796372, 0.95733922]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90410064, 0.96134535]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0707756018209686,"{'CI': array([1.04343968, 1.09860664]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03891894, 1.1033067 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9028371388191412,"{'CI': array([0.88246778, 0.92349616]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87924851, 0.9268151 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0298110734576977,"{'CI': array([1.0070371 , 1.05293208]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00326483, 1.05683003]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.018069336013071,"{'CI': array([1.01154308, 1.02462392]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01050594, 1.02567082]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9764398727705391,"{'CI': array([0.97023727, 0.98266838]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96920346, 0.98371158]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0185575944903023,"{'CI': array([1.01133896, 1.02581091]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01019209, 1.02696971]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9737023409945299,"{'CI': array([0.96685801, 0.98057826]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96571752, 0.98173018]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Ischemic heart diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,0.9863585306297068,"{'CI': array([0.97521146, 0.99758945]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97344317, 0.99938659]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9818246381225865,"{'CI': array([0.97046324, 0.99327321]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96857336, 0.99519465]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0136565580352943,"{'CI': array([1.0053521 , 1.02200702]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00403326, 1.02334168]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9781048143729953,"{'CI': array([0.96996848, 0.98628577]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96861338, 0.98765703]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0180071780691224,"{'CI': array([1.01024404, 1.02581044]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00901091, 1.02705738]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9795735055220822,"{'CI': array([0.9720052 , 0.98718038]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97074442, 0.98845513]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Other diseases of intestines|diseases of the digestive system$M$41-60,diseases of the digestive system,0.9790412480265215,"{'CI': array([0.96712569, 0.9910529 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96523607, 0.99297558]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9839554164028799,"{'CI': array([0.97206778, 0.99593845]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97009076, 0.99795001]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
