,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$21-40,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9515155234843541,"{'CI': array([0.91216887, 0.9919403 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90599405, 0.99848629]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.075069289668636,"{'CI': array([1.03041951, 1.12105282]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02308174, 1.1288739 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9530124126060119,"{'CI': array([0.93522909, 0.97101255]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93241541, 0.97390084]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0409544114783786,"{'CI': array([1.02178463, 1.06036877]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.018605  , 1.06363698]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9324450084522313,"{'CI': array([0.90796533, 0.95734037]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90410228, 0.96134646]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0707741161373057,"{'CI': array([1.04343851, 1.09860483]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03891782, 1.10330484]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9028385954467217,"{'CI': array([0.88246937, 0.92349749]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87925012, 0.9268164 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0298106468852632,"{'CI': array([1.00703686, 1.05293147]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00326462, 1.05682939]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0180693133891285,"{'CI': array([1.01154307, 1.0246239 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01050592, 1.02567079]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9764399052389853,"{'CI': array([0.97023731, 0.98266841]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9692035, 0.9837116]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0185575660722093,"{'CI': array([1.01133894, 1.02581087]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01019206, 1.02696968]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9737023849929727,"{'CI': array([0.96685806, 0.9805783 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96571757, 0.98173022]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Ischemic heart diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,0.9863585835330984,"{'CI': array([0.97521154, 0.99758948]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97344325, 0.99938662]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9818247179309078,"{'CI': array([0.97046334, 0.99327326]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96857346, 0.9951947 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0136565308978176,"{'CI': array([1.00535208, 1.02200698]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00403324, 1.02334164]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9781048661425235,"{'CI': array([0.96996854, 0.98628582]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96861344, 0.98765707]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.018007146299299,"{'CI': array([1.01024402, 1.0258104 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00901089, 1.02705734]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9795735478374943,"{'CI': array([0.97200525, 0.98718042]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97074447, 0.98845516]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Other diseases of intestines|diseases of the digestive system$M$41-60,diseases of the digestive system,0.9790413423495741,"{'CI': array([0.96712581, 0.99105297]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9652362 , 0.99297565]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9839554939607373,"{'CI': array([0.97206789, 0.9959385 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97009087, 0.99795006]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
